0 ['kaufen', 'geschäft', 'verkaufen', 'trinken', 'geld', 'laden', 'rauchen', 'kaffee', 'bier', 'flasche', 'zigarett', 'krieg', 'einkaufen', 'markt', 'schön', 'schnaps', 'wein', 'kennen', 'glas', 'lachen', 'lebensmittel', 'teuer', 'paket', 'pfennig', 'kunde', 'zigarette', 'tabak', 'bezahlen', 'konsum', 'schokolade', 'marke', 'kosten', 'schicken', 'ware', 'auto', 'tauschen', 'zeit', 'verkäuferin', 'billig', 'schwarzmarkt', 'essen', 'tasse', 'stadt', 'bestellen', 'straße', 'schenken', 'weihnachten', 'pfund', 'erinnern', 'abends', 'nennen', 'abgeben', 'ecke', 'mitbringen', 'kneipe', 'butter', 'zucker', 'schwarz', 'alkohol', 'tasche', 'normal', 'friseur', 'tisch', 'aufmachen', 'richtig', 'besorgen', 'anbieten', 'firma', 'handel', 'verdienen', 'feiern', 'bruder', 'lokal', 'päckchen', 'preis', 'eier', 'kiste', 'herr', 'zigaretten', 'verkauf', 'währungsreform', 'straßenbahn', 'gaststätte', 'wohnen', 'liefern', 'mussen', 'einladen', 'wert', 'cola', 'gerne', 'händler', 'keller', 'bedienen', 'mensch', 'kuchen', 'schachtel', 'papier', 'holland', 'tafel', 'organisieren']

6 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'prinzip', 'westberlin', 'lachen', 'relativ', 'passieren', 'erinnern', 'erleben', 'land', 'zeit', 'deutschland', 'grenze', 'richtig', 'drüben', 'spannend', 'kennen', 'politisch', 'system', 'schön', '89', 'merken', 'freund', 'wiedervereinigung', 'leipzig', 'familie', 'west', 'ostberlin', 'interessant', 'dresden', 'rüber', 'stadt', 'mitbekommen', 'staat', 'kind', 'kontakt', 'westdeutschland', 'fernsehen', 'welt', 'gefühl', 'mensch', 'super', 'stasi', 'auto', 'berliner', 'normal', 'bundesrepublik', 'brd', 'ost', 'bild', 'geschichte', 'angucken', 'straße', 'funktionieren', 'verändern', 'richtung', 'ungarn', 'fühlen', 'echt', 'mitkriegen', 'ahnung', '90', 'wahrnehmen', 'schlecht', 'wahnsinnig', 'fallen', 'überlegen', 'komisch', 'besuchen', 'wohnen', 'gehören', 'westdeutsch', 'spät', 'treffen', 'sachsen', 'unterschied', 'reisen', 'ddrzeit', 'offen', 'freiheit', 'kaufen', 'diskutieren', 'unterhalten', 'meinung', 'ostdeutschland', 'jugendlich', 'aufwachsen', 'aufarbeitung', 'reden', 'schule', 'verwandtschaft', 'urlaub', 'ort', 'besuch', 'wussen']

7 ['trinken', 'richtig', 'merken', 'gruppe', 'alkohol', 'freund', 'zeit', 'problem', 'gefühl', 'lernen', 'trocken', 'therapie', 'synanon', 'krise', 'reden', 'nüchtern', 'droge', 'alkoholiker', 'kennen', 'passieren', 'kontakt', 'beziehung', 'mensch', 'verändern', 'tag', 'schaffen', 'anfang', 'abstinenz', 'ändern', 'situation', 'phase', 'woche', 'gerne', 'angst', 'freundin', 'normal', 'versuchen', 'moment', 'fühlen', 'erfahrung', 'sinn', 'schön', 'süchtig', 'abhängig', 'jüdisch', 'helfen', 'ziel', 'bier', 'zufrieden', 'umgehen', 'rauchen', 'funktionieren', 'bewusst', 'entwickeln', 'beruflich', 'schritt', 'abstinent', 'familie', 'job', 'mitkriegen', 'schlimm', 'positiv', 'überlegen', 'letzter', 'offen', 'körperlich', 'saufen', 'akzeptieren', 'zwischendurch', 'partner', 'gedanke', 'partnerschaft', 'kopf', 'freundeskreis', 'geschichte', 'grund', 'ansprechen', 'anrufen', 'krankenhaus', 'schlecht', 'schwer', 'druck', 'eng', 'hingehen', 'wohnung', 'treffen', 'glück', 'schwierigkeit', 'ständig', 'lust', 'dauern', 'rolle', 'rückfall', 'verlieren', 'spaß', 'ehrlich', 'fähigkeit', 'stunde', 'bewältigen', 'gesoffen']

8 ['stimme', 'heben', 'lachen', 'hauchen', 'stöhnen', 'lübben', 'betonen', 'räusperen', 'wahr', 'jamlitz', 'stocken', 'murmeln', 'lieberose', 'verhalten', 'jemacht', 'uff', 'cottbus', 'nuschelen', 'geräusch', 'lieberos', 'russe', 'brechen', 'stockend', 'husten', 'schleppend', 'klopfen', 'flüstern', 'luft', 'richtig', 'keene', 'schreien', 'aufgeregt', 'dehnen', 'berlin', 'blättern', 'nuschelt', 'iss', 'stöhnend', 'jekriegt', 'klatschen', 'pusten', 'jaipks', 'jesacht', 'drüben', 'frage', 'zwee', 'forst', 'nischen', 'nüscht', 'autogeräusch', 'jekommen', 'wende', 'jawoll', 'gloobe', 'letzter', 'geschirrklapper', 'eenmal', 'papierraschel', 'jearbeitet', 'poltern', 'günter', 'rüber', 'erstaunt', 'unjefähr', 'lager', 'klacken', 'eko', 'mensch', 'kleene', 'sin', 'lübbenau', 'gube', 'dömitz', 'abgehacken', 'jegeben', 'tot', 'gesehn', 'jenau', '45', 'ahaipks', 'hase', 'kenn', 'polizei', 'stehn', 'sachten', 'fahrn', 'druff', 'keutel', 'jeholt', 'ruhig', 'beeskow', 'schildern', 'jelernt', 'lübbener', 'ran', 'abholen', 'kopp', 'ipehefrau', 'tag', 'globe']

9 ['nähen', 'waschen', 'schön', 'anziehen', 'kleidung', 'mädchen', 'wäsche', 'mutter', 'wasser', 'schuh', 'winter', 'kaufen', 'hose', 'kleid', 'schwarz', 'stoff', 'stricken', 'kleider', 'rot', 'blau', 'kalt', 'sauber', 'haare', 'warm', 'haar', 'zeit', 'anzug', 'mantel', 'stiefel', 'hemd', 'hand', 'jacke', 'erinnern', 'seife', 'läuse', 'farbe', 'arbeit', 'baden', 'bett', 'rock', 'bluse', 'pullover', 'dick', 'strümpf', 'sommer', 'waschmaschine', 'uniform', 'hosen', 'lernen', 'zeigen', 'holz', 'grün', 'tag', 'kind', 'kochen', 'stopfen', 'putzen', 'heiß', 'klamotte', 'woche', 'schneider', 'mussen', 'braun', 'aussehen', 'mitbringen', 'füße', 'leder', 'decken', 'ausziehen', 'dreckig', 'richtig', 'kopf', 'nähmaschine', 'schnee', 'tuch', 'maschine', 'geschnitten', 'geld', 'fallen', 'schenken', 'bügeln', 'grau', 'arm', 'passen', 'schwester', 'duschen', 'essen', 'nackt', 'schwer', 'schneiden', 'abschneiden', 'kittel', 'kaputt', 'tasche', 'wechseln', 'schürze', 'sticken', 'ordentlich', 'art', 'spät']

10 ['krieg', 'soldat', 'einziehen', 'arbeitsdienst', '43', 'melden', 'offizier', 'einheit', '44', 'russland', 'tag', 'wehrmacht', 'freiwillig', 'ausbildung', '42', 'einsatz', 'front', 'dienst', 'zeit', 'verwunden', 'einsetzen', 'uniform', 'militärisch', 'militär', '41', 'lazarett', 'frankreich', 'ausbilden', 'urlaub', 'general', 'stellung', 'entlassen', 'berlin', 'woche', 'truppe', 'leutnant', 'letzter', 'marine', 'kompanie', 'schwer', 'kaserne', 'bundeswehr', '45', 'unteroffizier', 'mitmachen', 'armee', '40', 'anfang', 'hauptmann', 'gefangenschaft', '39', 'nennen', 'flak', 'spät', 'glück', 'stalingrad', 'waffe', '1944', 'sogenannter', 'luftwaffe', '1943', 'befehl', 'mussen', 'division', 'schießen', 'feldwebel', 'angriff', 'batterie', 'kamerad', 'fallen', 'schicken', 'versetzen', 'marschieren', 'winter', 'bataillon', 'oberst', 'gehören', '1942', 'osten', 'gießen', 'ostpreuß', 'rückzug', 'kreuz', 'polen', 'verlegen', 'mädchen', 'lehrgang', 'major', 'wahr', 'waffenss', 'dienen', '1940', 'einberufung', 'schluss', 'panzer', 'führerin', 'kommandeur', 'oberleutnant', 'artillerie', 'jahrgang']
