0 ['kaufen', 'geschäft', 'verkaufen', 'trinken', 'geld', 'laden', 'rauchen', 'kaffee', 'bier', 'flasche', 'zigarett', 'krieg', 'einkaufen', 'markt', 'schön', 'schnaps', 'wein', 'kennen', 'glas', 'lachen', 'lebensmittel', 'teuer', 'paket', 'pfennig', 'kunde', 'zigarette', 'tabak', 'bezahlen', 'konsum', 'schokolade', 'marke', 'kosten', 'schicken', 'ware', 'auto', 'tauschen', 'zeit', 'verkäuferin', 'billig', 'schwarzmarkt', 'essen', 'tasse', 'stadt', 'bestellen', 'straße', 'schenken', 'weihnachten', 'pfund', 'erinnern', 'abends', 'nennen', 'abgeben', 'ecke', 'mitbringen', 'kneipe', 'butter', 'zucker', 'schwarz', 'alkohol', 'tasche', 'normal', 'friseur', 'tisch', 'aufmachen', 'richtig', 'besorgen', 'anbieten', 'firma', 'handel', 'verdienen', 'feiern', 'bruder', 'lokal', 'päckchen', 'preis', 'eier', 'kiste', 'herr', 'zigaretten', 'verkauf', 'währungsreform', 'straßenbahn', 'gaststätte', 'wohnen', 'liefern', 'mussen', 'einladen', 'wert', 'cola', 'gerne', 'händler', 'keller', 'bedienen', 'mensch', 'kuchen', 'schachtel', 'papier', 'holland', 'tafel', 'organisieren']

16 ['arzt', 'krankenhaus', 'krank', 'sterben', 'tag', 'schwer', 'woche', 'krankheit', 'bein', 'spät', 'doktor', 'operieren', 'zeit', 'helfen', 'untersuchen', 'gesund', 'schwester', 'medikament', 'behandeln', 'operation', 'schlimm', 'ärztin', 'krankenschwester', 'klinik', 'schlecht', 'bett', 'patient', 'professor', 'blut', 'letzter', 'fieber', 'arbeit', 'auge', 'stunde', 'schmerz', 'behandlung', 'medizinisch', 'zweiter', 'fallen', 'herz', 'feststellen', 'kopf', 'spritze', 'untersuchung', 'tot', 'körper', 'gott', 'station', 'lunge', 'typhu', 'glück', 'kümmern', 'pflegen', 'krebs', 'ärzten', 'spritzen', 'abnehmen', 'wussen', 'ärztlich', 'anrufen', 'körperlich', 'medizin', 'lazarett', 'ordnung', 'tuberkulose', 'schaffen', 'tod', 'hand', 'passieren', 'besuchen', 'kur', 'arm', 'gesundheitlich', 'verlieren', 'erkranken', 'zimmer', 'weh', 'normal', 'luft', 'unfall', 'leiden', 'herzinfarkt', 'praxis', 'zustand', 'warten', 'erholen', 'tablette', 'hilfe', 'brechen', 'angst', 'hausarzt', 'magen', 'dauern', 'überleben', 'kind', 'rente', 'schwach', 'überstehen', 'heilen', 'rufen']

17 ['deutsch', 'lager', 'deutsche', 'dorf', 'stadt', 'erinnern', 'deutschland', 'mensch', 'tag', 'arbeit', 'soldat', 'russisch', 'russe', 'spät', 'erschießen', 'wald', 'schicken', 'krieg', 'mädchen', 'haus', 'essen', 'polen', 'fliehen', 'verstecken', 'führen', 'treiben', 'waggon', 'armee', 'front', 'fabrik', 'straße', 'wussten', 'polizist', 'partisan', 'baracke', 'angst', 'schauen', 'befreien', 'werk', 'franzose', 'pole', 'wohnen', 'partisane', 'truppe', 'amerikaner', 'zeit', 'jungs', 'zug', 'barack', 'treffen', 'schlagen', 'kennen', 'brot', 'fuß', 'polizei', 'nähe', 'kleidung', 'ukraine', 'töten', 'sowjetisch', 'erfahren', 'verschieden', 'zweiter', 'ort', 'russland', 'zeigen', 'wussen', 'werfen', 'trennen', 'abholen', 'kriegsgefangen', 'fluss', 'art', '1943', 'nennen', 'polnisch', '1942', 'kilometer', 'verschleppen', 'hören', 'geraten', 'unterwegs', 'schaffen', 'schlecht', 'jude', 'gott', 'zurückkehren', 'fangen', 'gebiet', 'dörfer', 'gefängnis', 'gruppe', 'auto', 'nachts', 'bauer', 'stacheldraht', 'helfen', 'versammeln', 'gebäude', 'verlassen']

18 ['lernen', 'zeit', 'arbeit', 'beruf', 'ausbildung', 'lehre', 'firma', 'stelle', 'studieren', 'spät', 'chef', 'abteilung', 'büro', 'schule', 'studium', 'prüfung', 'betrieb', 'gerne', 'übernehmen', 'arbeitsamt', 'zweiter', 'abitur', 'verdienen', 'richtig', 'tätigkeit', 'beruflich', 'beworben', 'beschäftigen', 'kaufmännisch', 'einstellen', 'schwer', 'woche', 'gebären', 'anfang', 'geld', 'technisch', 'lehrling', 'rente', 'wechseln', 'entlassen', 'damalig', 'kollege', 'verschieden', 'schaffen', 'heiraten', 'abschließen', 'möglichkeit', 'abschluss', 'besuchen', 'lehrstelle', 'dienst', 'annehmen', 'klappen', 'tag', 'arbeitslos', 'spaß', 'ausbilden', 'meister', 'kündigen', 'selbständig', 'verwaltung', 'mittlerer', 'schwierigkeit', 'sohn', 'sekretärin', 'direktor', 'berufsschule', '1950', 'nennen', '65', '50', 'privat', '58', 'frage', 'beenden', 'job', 'anstellen', '51', 'aufnehmen', '63', 'angestellter', 'ingenieur', 'leiter', 'melden', '68', 'relativ', '64', 'lehrlinge', 'haushalt', '62', 'letzter', 'mitarbeiter', 'kurs', 'nebenbei', '53', 'handelsschule', '52', '72', 'glück', '71']

19 ['keller', 'bombe', 'flugzeug', 'haus', 'bunker', 'fliegen', 'krieg', 'straße', 'schießen', 'fallen', 'angriff', 'stadt', 'hören', 'bombardieren', 'panzer', 'treffen', 'tag', 'bauen', 'bombenangriff', 'brennen', 'tot', 'meter', 'passieren', 'zerstören', 'wasser', 'alarm', 'angst', 'kaputt', 'brücke', 'spät', 'friedhof', 'schlimm', 'richtung', 'nähe', 'berg', 'erleben', 'erinnern', 'verbrennen', 'flieger', 'luft', 'erde', 'wald', 'zeit', 'feuer', 'nachts', 'schrecklich', 'graben', 'evakuieren', 'soldat', 'werfen', 'nah', 'letzter', '43', 'kilometer', 'umkommen', 'sprengen', 'fliegeralarm', 'schwer', 'amerikaner', 'luftschutzkeller', 'mensch', 'zweiter', 'explodieren', 'rannen', 'retten', 'waffe', 'furchtbar', 'bomben', 'pilot', '44', 'front', 'gebäude', 'tiefflieger', 'splitter', 'wohnen', 'zerbombt', 'boden', 'abschießen', 'dach', 'stelle', 'fangen', 'himmel', '45', 'maschinengewehr', 'ecke', 'luftangriffe', 'dorf', 'beschießen', 'richtig', 'verletzen', 'angreifen', 'ufer', 'dresden', 'ausgebombt', 'flamme', 'minen', 'fenster', 'munition', 'fluss', 'gehören']

20 ['partei', 'politisch', 'wählen', 'spd', 'kommunist', 'mitglied', 'cdu', 'politik', 'kommunistisch', 'wahl', 'kpd', 'sozialdemokrat', 'sozialistisch', 'genosse', 'spät', 'rot', 'deutsch', 'ddr', 'mensch', 'diskutieren', 'jugend', 'sed', 'meinung', 'fdj', 'deutschland', 'arbeiter', 'demokratisch', 'diskussion', 'gruppe', 'kennen', 'versammlung', 'frage', 'staat', 'zeitung', 'republik', 'sowjetunion', 'adenauer', 'zeit', 'lachen', 'sozialismus', 'sozialdemokratisch', 'vorsitzend', 'zentrum', 'richtig', 'gehören', '45', 'gründen', 'organisation', 'regierung', 'linker', 'fdp', 'national', 'gewerkschaft', 'organisieren', 'nennen', 'kollektiv', 'wahr', '33', 'stalin', 'treffen', 'bürgermeister', 'rolle', 'funktion', 'überzeugen', 'verbieten', 'mehrheit', 'richtung', 'veranstaltung', 'anfang', 'auseinandersetzung', 'karl', 'faschismus', 'demonstration', 'mitmachen', 'fallen', 'heinz', 'einstellung', 'sozial', 'weimarer', 'demokratie', 'reden', 'vertreten', 'damalig', 'kommunismus', 'bürgerlich', 'politiker', 'absolut', 'nazi', 'freund', 'rat', 'walter', 'sowjetisch', 'international', 'christlich', 'schmidt', 'grund', 'hamburg', 'bundesrepublik', '50er', 'position']

21 ['zeitung', 'herr', 'köln', 'rundfunk', 'hagen', 'dortmund', 'journalist', 'verlag', 'redaktion', 'sendung', 'lachen', 'kennen', 'westfalenpost', 'spät', 'redakteur', 'berlin', 'deutsch', 'chefredakteur', 'sträter', 'dr', 'düsseldorf', 'nachricht', 'wdr', 'sender', 'fernsehen', 'artikel', 'doktor', 'gehören', 'franz', 'hamburg', 'lizenz', 'westfälisch', 'presse', 'richtig', '49', 'frage', 'drucken', 'kölner', 'soest', 'technisch', 'westdeutsch', 'programm', 'druckerei', 'butz', 'kammer', 'papier', 'hanke', 'chef', '46', '48', 'handelsblatt', '50', 'präsident', 'lensing', 'engländer', 'anfang', 'siegen', 'verleger', 'rundschau', 'mitarbeiter', 'zeitschrift', 'lachend', '47', 'fritz', 'dritter', 'westfalen', 'herrn', 'nennen', 'westdruck', 'ausgabe', 'weiss', 'verband', 'vertrag', 'büchler', 'politisch', 'druck', 'intendant', 'technik', 'vogel', 'ordner', 'hamm', 'übernehmen', 'gründen', 'karl', 'bonn', 'gebiet', 'werner', 'hören', 'interviewpartnerin', 'schmelzer', 'schließen', 'anzeige', 'studio', 'krieg', 'jahrgang', 'redakteure', 'altverleger', 'kurier', 'schulz', 'bericht']

22 ['arbeit', 'bauen', 'maschine', 'fabrik', 'meister', 'schwer', 'tag', 'werk', 'stunde', 'schicht', 'stein', 'betrieb', 'meter', 'zeit', 'hand', 'werkstatt', 'nennen', 'holz', 'mussen', 'arbeiter', 'wasser', 'eisen', 'lernen', 'kohle', 'richtig', 'bau', 'verschieden', 'herstellen', 'nachtschicht', 'reparieren', 'schaffen', 'material', 'ofen', 'schlosser', 'ingenieur', 'vorarbeiter', 'halle', 'abteilung', 'arbeitsplatz', 'kaputt', 'bohren', 'norm', 'hart', 'motor', 'einsetzen', 'chef', 'kran', 'brigade', 'anlage', 'drehen', 'werkzeug', 'woche', 'dick', 'tonne', 'hochofen', 'zement', 'öfen', 'spät', 'büro', 'metall', 'verdienen', 'produktion', 'form', 'kennen', 'plan', 'löcher', 'draht', 'elektriker', 'fallen', 'baustelle', 'bedienen', 'blech', 'firma', 'elektrisch', 'wagen', 'leitung', 'zeigen', 'sand', 'winter', 'rohre', 'ordnung', 'zweiter', 'reparatur', 'zeichnung', 'akkord', 'riesig', 'aufgabe', 'betreiben', 'dreher', 'beruf', 'platte', 'morgens', 'nägel', 'heiß', 'verlegen', 'stelle', 'anfang', 'millimeter', 'laden', 'liefern']

23 ['deutsch', 'polen', 'deutschland', 'polnisch', 'hamburg', 'sprache', 'italiener', 'italienisch', 'heimat', 'familie', 'pole', 'deutsche', 'italien', 'land', 'friedland', 'kennen', 'lernen', 'ausländer', 'türkei', 'russisch', 'stadt', 'flüchtling', 'anfang', 'russland', 'türkisch', 'türke', 'herr', 'grenze', 'gehören', 'wohnen', 'besuchen', 'schlesien', 'zeit', 'kontakt', 'arbeiter', 'österreich', 'zweiter', 'gebären', 'problem', 'jugoslawien', 'gebiet', 'weltkrieg', 'tschechisch', 'litauen', 'bayern', 'ort', 'ausländisch', 'arbeit', 'richtig', 'verschieden', 'krieg', 'spät', 'warschau', 'sogenannter', 'breslau', 'tscheche', 'fühlen', 'hamburger', 'behörde', 'bahn', 'organisieren', 'möglichkeit', 'konsulat', 'lager', 'schule', 'frage', 'libyen', 'staatsangehörigkeit', 'kultur', 'kasachstan', 'flüchten', 'staatsbürgerschaft', 'ungarn', 'gegend', 'regierung', 'versuchen', 'mitarbeiter', 'mensch', 'gruppe', 'schwierigkeit', 'pos', 'kühn', 'ostpreuß', 'studieren', 'zuhause', 'pass', 'nähe', 'dialekt', 'militär', 'rumänien', 'altona', 'auswandern', 'letzter', 'firma', 'gewohnen', 'gastarbeiter', 'gründen', 'geschichte', 'stammen', 'woche']

24 ['krieg', 'hitler', 'nazi', 'vater', 'jude', 'zeit', '33', 'deutsch', 'partei', 'gehören', 'politisch', 'lachen', 'bdm', 'erinnern', 'nationalsozialismus', 'uniform', 'spät', 'hitlerjugend', 'berlin', 'kennen', 'schule', 'jungvolk', 'heil', 'straße', '38', 'jugend', 'führer', '39', '45', 'fahne', 'jüdisch', 'mitmachen', '34', '1933', 'nennen', 'erleben', 'nationalsozialistisch', '36', 'nsdap', 'sa', 'kommunist', 'nazizeit', 'adolf', '35', 'arbeitsdienst', 'wussen', 'reich', 'einziehen', '37', 'herr', 'essen', 'nazis', 'antreten', 'nationalsozialist', 'eltern', 'hj', 'weltkrieg', 'marschieren', 'freund', 'organisation', 'hören', 'fallen', 'richtig', 'politik', '32', 'mitkriegen', 'mitglied', 'mädchen', 'gruppe', 'mussen', 'beamter', 'braun', 'anfang', 'gegend', 'geschäft', 'kriege', 'leise', 'grüßen', 'frage', 'dortmund', 'transkript', 'erinnerung', 'radio', 'verbieten', 'bund', 'kz', 'freiwillig', 'wahr', 'jahrgang', 'begeistert', 'dritter', 'sammeln', 'husten', 'ehrlich', 'arbeitsfront', 'kristallnacht', 'dienst', 'deutschland', 'kind', 'hießen']

25 ['geld', 'bezahlen', 'verdienen', 'kaufen', 'zahlen', 'rente', 'kosten', 'arbeit', 'zeit', 'pfennig', 'tag', 'prozent', '50', 'verkaufen', 'sparen', 'stunde', 'schlecht', 'woche', '40', 'letzter', 'euro', 'teuer', 'schaffen', 'auto', 'staat', 'leisten', 'lohn', 'finanziell', 'gehalt', 'billig', 'preis', 'urlaub', 'haus', 'steuer', '200', 'million', 'ausgeben', '500', '25', 'rechnen', 'schwer', 'richtig', 'miete', 'auszahlen', 'entschädigung', 'wert', 'wohnung', 'summe', '80', 'schuld', '1000', 'hälfte', 'bauen', '400', 'bank', 'reichen', 'abgeben', 'normal', 'fünfzig', 'zahl', 'währungsreform', '300', 'verdienst', '600', 'kredit', 'krieg', 'helfen', '70', 'zweiter', 'anfang', 'unterstützung', '150', '2000', 'kasse', 'gehören', 'dm', 'arbeitslos', 'konto', 'firma', 'land', 'geschäft', 'knapp', 'anschaffen', 'arm', 'möglichkeit', 'taschengeld', 'schicken', 'arbeiter', 'kümmern', 'grund', 'rentner', 'monatlich', 'gekriegen', 'prämie', '800', '48', 'versicherung', 'verlieren', 'einkommen', 'schön']

26 ['haus', 'wohnung', 'wohnen', 'zimmer', 'bauen', 'küche', 'straße', 'gewohnen', 'schön', 'kind', 'bett', 'schlafen', 'schlafzimmer', 'wohnzimmer', 'familie', 'garten', 'raum', 'kaufen', 'zeit', 'möbel', 'eltern', 'keller', 'gehören', 'fenster', 'etage', 'platz', 'nachbar', 'einziehen', 'stadt', 'grundstück', 'spät', 'einrichten', 'tür', 'räume', 'bad', 'hof', 'gebäude', 'tisch', 'treppe', 'ecke', 'wasser', 'umziehen', 'toilette', 'unterbringen', 'ofen', 'anfang', 'dach', 'flur', 'verkaufen', 'richtig', 'schrank', 'zweiter', 'nähe', 'quadratmeter', 'gewohnt', 'mutter', 'siedlung', 'kochen', 'putzen', 'wand', 'mieten', 'tochter', 'vermieten', 'häuschen', 'aufbauen', 'winter', 'erinnern', 'miete', 'woche', 'heizen', 'villa', 'nachbarschaft', 'ausziehen', 'räumen', 'freund', 'morgens', 'boden', 'kennen', 'stock', 'balkon', 'flüchtling', 'dritter', 'gemeinsam', 'ausbauen', 'zimmern', 'holz', 'abends', 'helfen', 'kinderzimmer', 'bau', 'heizung', 'beschreiben', 'nett', 'wohnraum', 'sohn', 'viertel', 'ausgebombt', 'renovieren', 'badezimmer', 'schwester']

27 ['naturschutz', 'kreis', 'herr', 'brechen', 'stocken', 'stadt', 'kennen', 'natur', 'wald', 'beirat', 'landschaft', 'bereich', 'fläche', 'naturschutzgebiet', 'gebiet', 'doktor', 'gehören', 'schön', 'düsseldorf', 'baum', 'amt', 'bauen', 'behörde', 'vorsitzend', 'förster', 'lachen', 'stelle', 'gemeinde', 'münster', 'kreisbeauftragt', 'tätigkeit', 'regierungspräsident', 'wahr', 'naturschützer', 'zeit', 'übernehmen', 'spät', 'stellungnahme', 'bezirksbeauftragt', 'ehrenamtlich', 'grün', 'bund', 'beauftragt', 'mitglied', 'arnsberg', 'kreisbeauftragter', 'raum', 'lehrer', '75', 'naturschutze', 'land', 'dortmund', 'herrn', 'interessant', 'landschaftsbeirat', 'problem', 'kontakt', 'verwaltung', 'naturschutzbeauftragter', 'pflanze', 'landwirtschaft', 'jäger', 'neuss', 'kollege', 'bielefeld', 'beauftragter', 'köln', 'schutz', 'bauer', 'jagd', 'aufgabe', 'landschaftsgesetz', 'ökologie', 'vertreter', 'tagung', 'vortrag', 'nachfolger', 'vorgänger', 'zimmermann', 'zuständig', 'planung', 'regierungsbezirk', 'bonn', 'forstamt', 'bezirk', 'landschaftsschutz', 'schützen', 'betreiben', 'lippe', 'nordrheinwestfalen', 'aachen', 'verein', 'unterer', 'ministerium', 'lüdenscheid', 'meter', 'bezirksregierung', 'oberkreisdirektor', 'ausweisen', 'ökologisch']

28 ['essen', 'brot', 'kochen', 'tag', 'kartoffel', 'gegessen', 'küche', 'suppe', 'wasser', 'hunger', 'abends', 'morgens', 'kaffee', 'milch', 'fleisch', 'zucker', 'trinken', 'woche', 'arbeit', 'butter', 'tisch', 'erinnern', 'mittagessen', 'schlecht', 'kind', 'zeit', 'mehl', 'wurst', 'lebensmittel', 'schmecken', 'backen', 'aßen', 'tee', 'helfen', 'mittag', 'gramm', 'löffel', 'frühstück', 'fisch', 'fett', 'gebacken', 'kuchen', 'teller', 'kaufen', 'satt', 'aß', 'warm', 'schwer', 'stückchen', 'schüssel', 'waschen', 'hungern', 'mittags', 'pfund', 'gemüse', 'salz', 'abend', 'klauen', 'speck', 'kantine', 'dick', 'scheibe', 'liter', 'sack', 'kalt', 'brötchen', 'aufstehen', 'bäckerei', 'putzen', 'hungrig', 'eier', 'tasse', 'topf', 'mussen', 'mutter', 'art', 'schlafen', 'sammeln', 'reichen', 'mitbringen', 'bett', 'winter', 'schwarz', 'ofen', 'geschirr', 'marmelade', 'dünn', 'karte', 'paket', 'richtig', 'sauber', 'eimer', 'bäcker', 'kessel', 'stehlen', 'rüben', 'ernähren', 'gott', 'kilo', 'mädchen']

29 ['tag', 'tür', 'schlagen', 'hand', 'angst', 'kopf', 'fenster', 'hören', 'bett', 'schlafen', 'hund', 'wasser', 'nachts', 'arm', 'rufen', 'fallen', 'passieren', 'wussen', 'weinen', 'auge', 'mädchen', 'richtig', 'bein', 'mensch', 'gott', 'schauen', 'zeigen', 'straße', 'abend', 'werfen', 'schreien', 'verstecken', 'boden', 'tisch', 'stunde', 'schlimm', 'warten', 'morgens', 'kalt', 'licht', 'stecken', 'wussten', 'springen', 'polizei', 'platz', 'dunkel', 'zimmer', 'merken', 'öffnen', 'offen', 'erinnern', 'abends', 'treten', 'ecke', 'vergessen', 'wand', 'klopfen', 'gesicht', 'rannen', 'rücken', 'schwarz', 'aufstehen', 'luft', 'stock', 'tot', 'meter', 'geh', 'schrecklich', 'hauen', 'dick', 'schießen', 'fest', 'reihe', 'wusste', 'mutter', 'haus', 'aufmachen', 'versuchen', 'trinken', 'brechen', 'loch', 'kaputt', 'erwischen', 'wagen', 'stelle', 'toilette', 'tasche', 'weißen', 'stein', 'zweiter', 'minute', 'wald', 'hof', 'raum', 'fliegen', 'hinlegen', 'hingehen', 'finger', 'führen', 'drücken']

30 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'kirchlich', 'gemeinde', 'christlich', 'pastor', 'religiös', 'religion', 'beten', 'taufen', 'gott', 'feiern', 'kind', 'christ', 'gläubig', 'jugendweihe', 'gottesdienst', 'katholik', 'fest', 'konfirmieren', 'austreten', 'weihnachten', 'jugend', 'konfirmation', 'eltern', 'zeit', 'stadt', 'gehören', 'nennen', 'erziehen', 'bischof', 'predigen', 'mensch', 'religionsunterricht', 'rolle', 'streng', 'heilig', 'bibel', 'priester', 'feiertag', 'gebet', 'fromm', 'ostern', 'sonntags', 'kennen', 'schön', 'trauen', 'geistlich', 'dorf', 'schule', 'messe', 'kommunion', 'verbieten', 'theologie', 'kreuz', 'besuchen', 'kaplan', 'gemeinschaft', 'glocke', 'letzter', 'jesus', 'herr', 'hingehen', 'papst', 'taufe', 'konfirmandenunterricht', 'christus', 'verschieden', 'kirchensteuer', 'bauen', 'kloster', 'reich', 'vortrag', 'christentum', 'friedhof', 'welt', 'schließen', 'elternhaus', 'cvjm', 'stelle', 'konfessionell', 'bekennend', 'protestantisch', 'theologisch', 'protestant', 'tradition', 'kindheit', 'familie', 'gespräch', 'mitglied', 'zwingen', 'deutsch', 'andacht', 'nonne', 'konfession', 'ikonen', 'einstellung', 'trauung']

31 ['drüben', 'lachen', 'grenze', 'ort', 'bürgermeister', 'dorf', 'rüber', 'westen', 'zeit', 'betrieb', 'gehören', 'bitterfeld', 'wohnen', 'tag', 'kennen', 'lpg', 'kreis', 'leipzig', '52', '45', 'arbeit', 'ddr', 'gaststätte', 'richtig', 'landwirtschaft', 'gemeinde', 'erfurt', 'halle', 'herr', 'partei', 'chemnitz', 'mensch', '61', 'berlin', 'rabenstein', 'abhauen', 'stadt', 'bauen', 'eisenhüttenstadt', 'mitmachen', 'zwingen', 'krieg', 'polizei', 'letzter', 'einsetzen', '49', 'worbis', '53', 'magdeburg', 'thüringen', 'leise', 'dresden', 'drinnen', 'vierzehn', '48', 'duderstadt', 'sperrgebiet', 'bauer', 'schön', 'schluss', 'schaffen', 'filmfabrik', 'spät', 'ruhig', 'übernehmen', 'bad', 'land', 'karlmarxstadt', 'bezirk', '51', 'sterben', 'nischen', 'freilich', 'fürstenberg', 'wismut', 'melden', 'aussiedeln', 'damalig', 'weisen', 'einsperren', 'fünfzig', 'nordhausen', 'anfang', 'schlecht', 'versammlung', 'gastwirtschaft', 'rat', 'sohn', 'dörfer', 'rentner', 'wussen', 'gärtnerei', 'auto', 'mussen', 'genosse', 'kreise', 'wolf', 'erinnern', 'siegmar', 'straße']

32 ['herr', 'unterschreiben', 'papier', 'antrag', 'gericht', 'schicken', 'akte', 'melden', 'unterlage', 'bescheinigung', 'wussen', 'spät', 'richter', 'grund', 'tag', 'prozess', 'frage', 'behörde', 'erklären', 'dokument', 'beantragen', 'erfahren', 'liste', 'rechtsanwalt', 'gesetz', 'verfahren', 'führen', 'ministerium', 'unterschrift', 'aufnehmen', 'schriftlich', 'urteil', 'anwalt', 'ablehnen', 'polizei', 'ausweis', 'bitten', 'zweiter', 'zuständig', 'bescheid', 'berlin', 'anrufen', 'post', 'stelle', 'rot', 'richtig', 'einreichen', 'warten', 'bestätigen', 'entschädigung', 'adresse', 'deutsch', 'versuchen', 'gehören', 'bericht', 'nummer', 'amt', 'stimmen', 'ehemalig', 'zeit', 'rufen', 'herrn', 'stempel', 'archiv', 'dauern', 'telefon', 'mitteilen', 'abgeben', 'wenden', 'ausfüllen', 'eintragen', 'gespräch', 'genehmigung', 'staatsanwalt', 'angeben', 'vorlegen', 'abteilung', 'entlassen', 'büro', 'kreuz', 'entscheiden', 'angabe', 'zeigen', 'passieren', 'ausstellen', 'verhandlung', 'erledigen', 'feststellen', 'blättern', 'woche', 'vorsitzend', 'daraufhin', 'ordnung', 'staat', 'annehmen', 'tisch', 'zeuge', 'pass', 'rat', 'termin']

33 ['lachen', 'schön', 'tag', 'zeit', 'gerne', 'richtig', 'woche', 'kennen', 'leise', 'abends', 'gott', 'stunde', 'mensch', 'hören', 'arbeit', 'morgens', 'nett', 'schlecht', 'reden', 'schlimm', 'urlaub', 'herr', 'stimmen', 'wussen', 'sögen', 'lernen', 'ehrlich', 'gehören', 'fallen', 'kollege', 'echt', 'treffen', 'überlegen', 'abend', 'essen', 'merken', 'schwer', 'unterhalten', 'letzter', 'spaß', 'froh', 'bestimmen', 'chef', 'lieber', 'ruhig', 'spät', 'hingehen', 'telefon', 'lieb', 'frage', 'anrufen', 'moment', 'warten', 'helfen', 'freund', 'zuhause', 'räusperen', 'mitmachen', 'wussten', 'schluss', 'minute', 'find', 'kaffee', 'geh', 'hintergrund', 'vergessen', 'sonntags', 'mittags', 'mädchen', 'passieren', 'nachmittags', 'komisch', 'husten', 'ordnung', 'klappen', 'freuen', 'büro', 'hör', 'angucken', 'kenn', 'ruhe', 'anfang', 'passen', 'kaputt', 'vierzehn', 'hättn', 'furchtbar', 'erleben', 'wenns', 'rufen', 'rüber', 'hand', 'geräusch', 'stören', 'unheimlich', 'lachend', 'schwierigkeit', 'haus', 'mussen', 'tisch']

34 ['gefängnis', 'verhaften', 'zelle', 'tag', 'verurteilen', 'entlassen', 'bautzen', 'russe', 'cottbus', 'spät', 'russisch', 'politisch', 'einsperren', 'ddr', 'wussen', 'deutsch', 'stasi', 'haft', 'gefangener', 'offizier', 'westen', 'verhaftung', 'verhören', 'waldheim', 'unterschreiben', 'polizei', 'berlin', 'woche', 'sowjetisch', 'keller', 'erfahren', 'werwolf', 'sogenannter', 'zuchthaus', 'wussten', 'vernehmung', 'entlassung', 'kennen', 'zeit', 'verhör', 'strafe', 'halle', 'dresden', 'ehemalig', '25', 'häftling', 'zellen', 'westberlin', 'knast', 'gestapo', 'nennen', 'gehören', '1950', 'dolmetscherin', 'urteil', 'rot', 'unterhalten', 'abholen', 'grund', 'kontakt', 'saal', 'protokoll', 'spion', 'inhaftieren', 'kommunist', 'lager', 'freund', 'zeitung', 'brandenburg', 'daraufhin', 'volkspolizei', 'polizist', 'vernehmen', 'buchenwald', 'paket', 'drüben', 'rauskommen', 'melden', 'gruppe', 'schildern', 'einzelhaft', 'schlimm', 'nattke', '50', 'spremberg', 'kriminell', 'internieren', 'nkwd', 'spitzel', 'staatssicherheit', 'anfang', '54', 'verhöre', 'verurteilung', 'bautze', 'posten', 'untersuchungshaft', 'gericht', 'erschießen', 'arrest']

35 ['zeit', 'frage', 'richtig', 'versuchen', 'problem', 'mensch', 'gewiß', 'kontakt', 'art', 'möglichkeit', 'geschichte', 'politisch', 'sinn', 'rolle', 'führen', 'meinung', 'letzter', 'erfahrung', 'gespräch', 'situation', 'merken', 'erleben', 'verhältnis', 'anfang', 'grund', 'grunde', 'entwickeln', 'verschieden', 'weise', 'entwicklung', 'spät', 'relativ', 'bereich', 'gerne', 'form', 'arbeit', 'gehören', 'interessant', 'ändern', 'unterschiedlich', 'richtung', 'gefühl', 'schwer', 'schaffen', 'treffen', 'reden', 'hören', 'unterschied', 'positiv', 'überlegen', 'gemeinsam', 'gedanke', 'verändern', 'generation', 'beziehung', 'aufgabe', 'offen', 'fallen', 'gruppe', 'entscheiden', 'beschäftigen', 'wesentlich', 'passieren', 'entscheidung', 'normal', 'kennen', 'deutlich', 'lernen', 'schlecht', 'fühlen', 'besonderer', 'falsch', 'absolut', 'interessiert', 'sozial', 'empfinden', 'eindruck', 'selbstverständlich', 'schwierigkeit', 'betreffen', 'nennen', 'diskussion', 'entstehen', 'vorstellung', 'einzeln', 'kollege', 'damalig', 'eng', 'diskutieren', 'fest', 'ergeben', 'menge', 'zeitpunkt', 'familie', 'feststellen', 'idee', 'bedeuten', 'erinnern', 'wert', 'helfen']

