0 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'westberlin', 'prinzip', 'relativ', 'lachen', 'erinnern', 'spannend', 'zeit', 'grenze', 'kind', 'passieren', 'ostberlin', 'erleben', 'interessant', 'merken', '89', 'freund', 'mitbekommen', 'familie', 'super', 'stadt', 'kennen', 'rüber', 'dresden', 'west', 'berliner', 'kontakt', 'stasi', 'politisch', 'richtung', 'spät', 'westdeutschland', 'gefühl', 'drüben', 'richtig', 'leipzig', 'system', 'land', 'wiedervereinigung', 'normal', 'besuchen', 'angucken', 'wahnsinnig', 'echt', 'straße', 'mitkriegen', 'reisen', 'ahnung', 'auto', 'bild', 'unterschied', 'fühlen', 'deutschland', 'welt', 'komisch', 'ost', 'überlegen', 'wussen', 'schule', 'westdeutsch', '90', 'aufarbeitung', 'mittlerweile', 'verändern', 'wahrnehmen', 'aufwachsen', 'bewusst', 'ddrzeit', 'mauerfall', 'fernsehen', 'schön', 'besuch', 'lustig', 'offen', 'wohnen', 'fallen', 'geschichte', 'wendezeit', 'ehemalig', 'bundesland', 'westberliner', 'kreuzberg', 'job', 'ungarn', 'unterhalten', 'bundesrepublik', 'damalig', 'verwandtschaft', 'empfinden', 'zuhause', '1990', 'jugendlich', 'irgendwelcher', 'konstanz']

6 ['jüdisch', 'jude', 'israel', 'erinnern', 'hebräisch', 'religiös', 'synagoge', 'familie', 'lernen', 'kind', 'stadt', 'gemeinde', 'jiddisch', 'nennen', 'rabbiner', 'ort', 'vater', 'holocaust', 'zeit', 'schauen', 'ungarisch', 'orthodox', 'kennen', 'geschichte', 'bruder', 'schule', 'synagog', 'mensch', 'ungarn', 'rabbi', 'feiertag', 'schabbat', 'palästina', 'mädchen', 'spät', 'beten', 'kippur', 'jerusalem', 'gebet', 'religion', 'befinden', 'pessach', 'sprache', 'hören', 'zuhause', 'polen', 'niederlande', 'helfen', 'problem', 'art', 'gehören', 'besuchen', 'wussen', 'krieg', 'jom', 'nichtjude', 'bitten', 'verlassen', 'bar', 'jeschiwa', 'fromm', 'erwähnen', 'verschieden', 'brüder', 'buch', 'auschwitz', 'staat', 'vergessen', 'gruppe', 'straße', 'rosch', 'viertel', 'ordnung', 'richtig', 'überlebend', 'eltern', 'tora', 'schwester', 'unterrichten', 'bedeuten', 'lage', 'jüdin', 'cheder', 'geschäft', 'zurückkehren', 'zweiter', 'antisemitismus', 'großvater', 'schicken', 'kosch', 'haus', 'wohnen', 'judentum', 'zionistisch', 'rumänien', 'pflegen', 'foto', 'interessant', 'hut', 'schön']

7 ['nähen', 'anziehen', 'schön', 'schwarz', 'kleidung', 'hose', 'schuh', 'stoff', 'kleid', 'rot', 'mädchen', 'haar', 'blau', 'stricken', 'kleider', 'haare', 'kaufen', 'anzug', 'mantel', 'stiefel', 'hand', 'mutter', 'jacke', 'hemd', 'uniform', 'rock', 'zeit', 'bluse', 'grün', 'pullover', 'farbe', 'hosen', 'winter', 'strümpf', 'tasche', 'grau', 'dick', 'braun', 'schneider', 'arm', 'kopf', 'erinnern', 'klamotte', 'leder', 'schneiden', 'lernen', 'mütze', 'stopfen', 'nähmaschine', 'kittel', 'tuch', 'aussehen', 'schenken', 'abschneiden', 'warm', 'freundin', 'normal', 'socken', 'schürze', 'fallen', 'richtig', 'mitbringen', 'geschnitten', 'färben', 'kleiden', 'schneiderin', 'waschen', 'ausziehen', 'wäsche', 'auge', 'hemde', 'schneidern', 'streifen', 'kaputt', 'blond', 'anzüge', 'mode', 'zeigen', 'kostüm', 'schminken', 'sticken', 'bein', 'schuster', 'nadel', 'zöpfe', 'schick', 'sommer', 'hemden', 'passen', 'knoten', 'hut', 'schicken', 'dünn', 'weben', 'reparieren', 'gott', 'holzschuhe', 'spät', 'kalt', 'barfuß']

8 ['kind', 'eltern', 'kindergarten', 'schule', 'schön', 'gruppe', 'wende', 'krippe', 'einrichtung', 'lernen', 'erzieher', 'erziehung', 'ddr', 'mutti', 'erzieherin', 'ddrzeit', 'gerne', 'dresden', 'zeit', 'kindheit', 'erinnern', 'ausbildung', '', 'familie', 'leiterin', 'mütter', 'erleben', 'hort', 'freiheit', 'lehrer', 'erziehen', 'betreuen', 'arbeit', 'stunde', 'kindergarte', 'pionier', 'klasse', 'narayen', 'kindergärt', 'normal', 'kinderkrippe', 'gehören', 'abholen', 'spaß', 'kindergärtnerin', 'tag', 'ferienlager', 'gebären', 'funktionieren', 'ändern', 'alltag', 'prägen', 'schlecht', 'basteln', 'sozial', 'glück', 'oma', 'merken', 'schaffen', 'mitmachen', 'gestalten', 'wendezeit', 'spiel', 'anfang', 'kita', 'bestimmen', 'beruf', 'erinnerung', 'spielzeug', 'beschäftigung', 'raum', 'gedanke', 'pädagogisch', 'sohn', 'pädagogik', 'regel', 'behindert', 'einfallen', 'kollegin', 'bauen', 'lieb', 'leitung', 'super', 'zuhause', 'fallen', 'jugendamt', 'dorf', 'vorbereiten', 'aussuchen', 'säugling', 'spannend', 'kümmern', 'gesellschaft', 'alter', 'wochenende', 'lieben', 'generell', 'animat', 'heutig', 'malen']

9 ['dorf', 'krieg', 'deutsche', 'kolchose', 'deutsch', 'deutschland', 'erinnern', 'vater', 'haus', 'partisan', 'wald', 'mutter', 'spät', 'partisane', 'mensch', 'minsk', 'armee', 'sterben', 'schule', 'erschießen', 'gebiet', 'familie', 'front', 'pferd', 'kilometer', 'treiben', 'dörfer', 'iwan', 'bruder', 'verschleppen', '1941', 'stadt', 'verstecken', 'gehören', 'schicken', 'kuh', 'tag', 'kolchos', '1942', 'straße', 'ukraine', 'fluss', 'zeit', 'gott', 'land', 'hütte', 'wohnen', '1943', 'treffen', 'polizist', 'fuß', 'angst', 'kehren', 'winter', 'überleben', 'verbrennen', 'truppe', 'abholen', 'kreis', 'zurückkehren', 'klasse', 'fliehen', 'festnehmen', 'bezirk', 'hilfspolizei', 'kyjiw', 'führen', 'nachbar', 'hunger', 'töten', 'feld', 'kiew', 'schwester', 'weißrussland', 'nähe', 'evakuieren', 'poltawa', '1944', 'bauen', 'nennen', 'fangen', 'erfahren', 'kleidung', 'lebensmittel', 'befreien', 'kennen', 'sammeln', 'vorsitzend', 'moskau', '1939', 'holz', 'wussten', 'schaffen', 'sowjetisch', 'station', 'herbst', 'beschreiben', 'getreide', 'vergessen', 'mjadel']

10 ['wald', 'baum', 'brechen', 'stocken', 'natur', 'fläche', 'naturschutz', 'gebiet', 'förster', 'landschaft', 'wasser', 'pflanze', 'schön', 'jagd', 'jäger', 'wachsen', 'tier', 'pflanzen', 'naturschutzgebiet', 'hektar', 'bäume', 'meter', 'schützen', 'grün', 'bauer', 'vögel', 'wild', 'wälder', 'kennen', 'entstehen', 'solingen', 'moor', 'mensch', 'hecke', 'stelle', 'jagen', 'zeigen', 'wunderschön', 'stadt', 'forstamt', 'geld', 'schießen', 'bereich', 'landwirtschaft', 'holz', 'bauen', 'menge', 'gehören', 'landwirte', 'wiese', 'bach', 'boden', 'betreiben', 'fünfzig', 'kreis', 'fällen', 'schutz', 'leverkusen', 'heide', 'eiche', 'anlegen', 'begriff', 'gemeinde', 'tal', 'landwirtschaftlich', 'wanderweg', 'umweltschutz', 'teich', 'dicht', 'schmetterling', 'kiefer', 'pflegen', 'biologisch', 'schlagen', 'jahrhundert', 'land', 'kosten', 'waldgebiet', 'bayer', 'hase', 'revier', 'naturschützer', 'verhindern', 'bevölkerung', 'beobachten', 'ficht', 'lebensraum', 'rhein', 'gegend', 'bielefeld', 'düren', 'planen', 'gestalten', 'schaffen', 'bepflanzen', 'pappel', 'landwirt', 'kaputt', 'brüten', 'landschaftlich']

11 ['pionier', 'stalin', 'fdj', 'halstuch', 'thälmann', 'fdjler', 'blau', 'sowjetunion', 'ddr', 'lenin', 'blauhemd', 'ulbricht', 'ddrzeit', 'garnicht', 'wende', 'russisch', 'sozialismus', 'geschichte', 'jugendweihe', 'pionieren', 'pieck', 'lichtenberg', 'wandzeitung', 'pirna', 'wilhelm', 'eos', 'ernst', 'politisch', 'westen', 'vorbereiten', 'stalinismus', 'jungpioniere', 'grotewohl', 'undda', 'veranstaltung', 'pionierrepublik', 'dogmatismus', 'klasse', 'freundschaft', 'pionierleiter', 'pionierorganisation', 'honecker', 'personenkult', 'marxismusleninismus', 'kapitalismus', 'gruppenrat', 'organisation', 'kpdsu', 'unddann', 'hemd', 'radeberg', 'aktuell', 'vorbereitung', 'piek', 'fähigkeit', 'halstücher', 'chruschtschow', 'pioniere', 'untergrundbewegung', 'fahnenappell', 'deutschsowjetisch', 'achter', 'betriebsberufsschule', 'jungpionier', 'werktätig', 'sound', 'problem', 'kiste', 'marx', 'weltanschauung', 'parteitag', 'üben', 'vati', 'wehrwolf', 'privat', 'freundschaftsrat', 'negation', 'trotzki', 'thälmannpionier', 'eltern', 'führer', 'weiterbildung', 'erstechen', 'pionierlager', 'dawar', 'wandertage', 'nichtja', 'stören', 'pionierleiterin', 'inwiefern', 'riedmann', 'warich', 'pionierin', 'dsf', 'jungpionieren', 'dreiundfünfzig', 'schämen', 'agitator', 'undich', 'ansicht']

