0 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'westberlin', 'prinzip', 'relativ', 'lachen', 'erinnern', 'spannend', 'zeit', 'grenze', 'kind', 'passieren', 'ostberlin', 'erleben', 'interessant', 'merken', '89', 'freund', 'mitbekommen', 'familie', 'super', 'stadt', 'kennen', 'rüber', 'dresden', 'west', 'berliner', 'kontakt', 'stasi', 'politisch', 'richtung', 'spät', 'westdeutschland', 'gefühl', 'drüben', 'richtig', 'leipzig', 'system', 'land', 'wiedervereinigung', 'normal', 'besuchen', 'angucken', 'wahnsinnig', 'echt', 'straße', 'mitkriegen', 'reisen', 'ahnung', 'auto', 'bild', 'unterschied', 'fühlen', 'deutschland', 'welt', 'komisch', 'ost', 'überlegen', 'wussen', 'schule', 'westdeutsch', '90', 'aufarbeitung', 'mittlerweile', 'verändern', 'wahrnehmen', 'aufwachsen', 'bewusst', 'ddrzeit', 'mauerfall', 'fernsehen', 'schön', 'besuch', 'lustig', 'offen', 'wohnen', 'fallen', 'geschichte', 'wendezeit', 'ehemalig', 'bundesland', 'westberliner', 'kreuzberg', 'job', 'ungarn', 'unterhalten', 'bundesrepublik', 'damalig', 'verwandtschaft', 'empfinden', 'zuhause', '1990', 'jugendlich', 'irgendwelcher', 'konstanz']
17 ['vater', 'mutter', 'kind', 'eltern', 'familie', 'schwester', 'bruder', 'schule', 'spät', 'erinnern', 'haus', 'zuhause', 'sterben', 'kindheit', 'geschwister', 'streng', 'verhältnis', 'gerne', 'mädchen', 'papa', 'zeit', 'wohnen', 'mutti', 'krieg', 'erinnerung', 'erziehen', 'richtig', 'schlagen', 'straße', 'sorgen', 'schön', 'nachbar', 'schlimm', 'kümmern', 'helfen', 'schwer', 'arm', 'wussen', 'erziehung', 'mitkriegen', 'krank', 'elternhaus', 'essen', 'üblich', 'haushalt', 'garten', 'tochter', 'brüder', 'weinen', 'gehören', 'schlecht', 'großmutter', 'stolz', 'hausfrau', 'wussten', 'wohnung', 'grund', 'merken', 'geld', 'jugend', 'vati', 'reden', 'angst', 'lieb', 'mama', 'lieben', 'tod', 'hand', 'selbstverständlich', 'oma', 'beschreiben', 'erwachsen', 'nachbarschaft', 'fremd', 'tante', 'ruhig', 'stiefvater', 'tot', 'abends', 'unterwegs', 'nennen', 'mütter', 'schwierigkeit', 'söhne', 'gelitten', 'bild', 'onkel', 'puppe', 'furchtbar', 'bett', 'entsinnen', 'prägen', 'normal', 'alter', 'erklären', 'hauptsächlich', 'hingehen', 'lehrer', 'warten', 'aufwachsen']

18 ['grenze', 'drüben', 'dorf', 'bürgermeister', 'lpg', 'ort', 'lachen', 'rüber', 'westen', 'landwirtschaft', 'zwingen', 'bauer', 'kreis', 'gaststätte', 'worbis', '61', 'zeit', 'duderstadt', '52', 'gemeinde', 'sperrgebiet', 'erfurt', 'wohnen', 'betrieb', 'magdeburg', 'land', 'versammlung', 'polizei', 'nordhausen', 'leise', 'abhauen', 'aussiedeln', 'kontrollieren', 'enteignen', 'stasi', 'heiligenstadt', 'aussiedlung', 'erinnern', 'zwangsaussiedlung', 'letzter', 'vierzehn', 'polizist', 'gastwirtschaft', 'ebent', 'spät', 'bleicherode', 'weisen', 'gekriegen', 'einsperren', 'eichsfeld', 'genehmigung', 'typ', 'dörfer', 'aktion', 'soundso', 'hof', 'grenzgebiet', 'familie', 'dicht', 'nischen', 'gehören', 'wussten', 'kilometer', 'mitmachen', 'nachbarort', 'hektar', 'rat', 'haus', 'ausweisen', 'zaun', 'laufwerk', 'bockelnhag', 'hinkommen', 'ecklingerode', 'bodenreform', 'geräusch', 'tanz', 'sonnenstein', 'schlagbaum', 'salzwedel', 'herr', 'maurer', 'kreise', 'möbel', 'berlin', 'grundstück', 'konsum', 'stöckey', 'schaffen', 'melden', 'genossenschaft', 'husten', 'sohn', 'flüstern', 'jar', 'bauen', 'eltern', 'kennen', 'gotha', 'weißenborn']

19 ['lachen', 'schön', 'richtig', 'gerne', 'gott', 'zeit', 'leise', 'kennen', 'hören', 'nett', 'mensch', 'schlecht', 'stimmen', 'find', 'fallen', 'schlimm', 'frage', 'husten', 'überlegen', 'schwer', 'kenn', 'reden', 'sögen', 'lachend', 'räusperen', 'furchtbar', 'lernen', 'lieb', 'bestimmen', 'betonen', 'echt', 'ehrlich', 'moment', 'wunderbar', 'herr', 'hintergrund', 'komisch', 'gehören', 'vergessen', 'spaß', 'seh', 'interessant', 'drüben', 'merken', 'geschichte', 'wenns', 'stimme', 'durcheinander', 'brechen', 'geräusch', 'herrlich', 'hättn', 'stolz', 'freuen', 'nennen', 'atmen', 'denkn', 'geh', 'stören', 'erleben', 'lieber', 'ändern', 'ernst', 'froh', 'unterhalten', 'rüber', 'warten', 'schluss', 'mitkriegen', 'hör', 'ruhig', 'telefon', 'klingen', 'lächeln', 'wahr', 'undeutlich', 'passen', 'nehm', 'verhältnis', 'gespräch', 'guck', 'leid', 'weisen', 'klappen', 'doll', 'ärgern', 'kopf', 'kennn', 'hängen', 'begriff', 'kaputt', 'flüstern', 'unheimlich', 'privat', 'stunde', 'jaa', 'unwahrscheinlich', 'versteh', 'auge', 'stell']

20 ['geld', 'kaufen', 'verkaufen', 'geschäft', 'bezahlen', 'laden', 'verdienen', 'kosten', 'pfennig', 'krieg', 'einkaufen', 'teuer', 'zeit', 'markt', 'sparen', 'schön', 'billig', 'lebensmittel', 'essen', 'tag', 'schlecht', 'schicken', 'konsum', 'ausgeben', 'pfund', 'karte', 'marke', 'preis', 'woche', 'kennen', 'mitbringen', 'ware', 'tauschen', 'wert', 'stadt', 'kunde', 'abgeben', 'zahlen', 'schwarz', 'arm', 'taschengeld', 'schwer', 'möbel', 'verlieren', 'liefern', 'normal', 'reichen', 'privat', 'währung', 'besorgen', 'froh', 'sorgen', 'schenken', '50', 'arbeit', 'schwarzmarkt', 'butter', 'währungsreform', 'dollar', 'helfen', 'aufmachen', 'brot', 'warten', 'handeln', 'leisten', 'schuh', 'mensch', 'gold', 'paket', 'fahrrad', 'groschen', 'tasche', 'bestellen', 'bank', 'mussen', 'freund', '40', 'wussen', 'firma', 'verkäuferin', 'handel', 'anzug', 'verkauf', 'kasse', 'haus', 'anbieten', 'drüben', 'fabrik', 'fleisch', 'sammeln', 'eis', 'schuld', 'reich', 'gulden', 'versuchen', 'schokolade', 'anschaffen', 'hingehen', 'kaufhaus', 'fangen']

21 ['naturschutz', 'herr', 'kreis', 'beirat', 'stocken', 'brechen', 'bereich', 'kennen', 'natur', 'behörde', 'stadt', 'doktor', 'landschaft', 'amt', 'vorsitzend', 'kreisbeauftragt', 'tätigkeit', 'regierungspräsident', 'naturschutzgebiet', 'stellungnahme', 'münster', 'düsseldorf', 'bezirksbeauftragt', 'bund', 'gemeinde', 'kreisbeauftragter', 'beauftragt', 'stelle', 'kollege', 'ehrenamtlich', 'gehören', 'kontakt', 'naturschützer', 'spät', '75', 'übernehmen', 'herrn', 'landschaftsbeirat', 'verwaltung', 'aufgabe', 'lehrer', 'naturschutze', 'wahr', 'naturschutzbeauftragter', 'arnsberg', 'zeit', 'land', 'beauftragter', 'fläche', 'zuständig', 'mitglied', 'landschaftsgesetz', 'ökologie', 'vertreter', 'planung', 'ministerium', 'raum', 'landschaftsschutz', 'zimmermann', 'neuss', 'bielefeld', 'arbeit', 'bezirk', 'bezirksregierung', 'nachfolger', 'landwirtschaft', 'regierungsbezirk', 'landschaftsschutzgebiet', 'wald', 'oberkreisdirektor', 'tagung', 'unterer', 'interessant', 'naturschutzgebien', 'grün', 'beteiligen', 'gebiet', 'kreisstelle', 'lienenkämper', 'vorgänger', 'problem', 'sitzung', 'ort', 'regierung', 'kreisverwaltung', 'stellvertreter', 'ökologisch', 'landschaftsbehörde', 'entscheiden', 'heimatbund', 'gremium', 'akte', 'lippe', 'kreise', 'gutachten', 'schutzgemeinschaft', 'nordrheinwestfalen', 'verband', 'gesetz', 'unterlage']

22 ['zeche', 'kohle', 'bergbau', 'steiger', 'arbeit', 'bergmann', 'tag', 'schicht', 'kumpel', 'bergleute', 'schacht', 'ruhrgebiet', 'verdienen', 'zeit', 'hauer', 'essen', 'wagen', 'meter', 'betriebsführer', 'wahr', 'krieg', 'nennen', 'grube', 'morgens', 'schachtanlage', 'geld', 'recklinghausen', 'robert', 'fördern', 'stempel', 'bergarbeiter', 'tonne', 'streb', 'leistung', 'kumpels', 'hütte', 'bergeborbeck', 'aussage', 'pütt', 'walsum', 'lohn', 'revier', 'heinrich', 'hingehen', 'arbeiter', 'steig', 'kollege', 'untertage', 'nachtschicht', 'franzose', 'strecke', 'erwerbslos', 'anton', 'geding', 'bergwerk', 'wohnen', 'entsinnen', 'betriebsrat', 'pfennig', 'knappschaft', 'bergleuter', 'bezahlen', 'bergschule', 'hubert', 'herne', 'stilllegen', 'bochum', 'gelsenkirchen', 'kameradschaft', 'einzeln', 'altenesse', 'borbeck', '25', 'ostpreuß', 'verhältnis', 'ruhrkohl', 'melden', 'gewerkschaft', 'vertrieben', 'kameradschaftsgedinge', 'streben', 'kündigen', 'bergleut', 'kolonie', 'carepaket', 'schachtanlag', 'staub', 'hassel', 'carepakete', 'zinkhütte', 'anlage', 'ecke', 'oberhausen', 'anfahren', 'reinke', 'bergmannsglück', 'vertriebener', 'zink', 'abbauhammer', 'obersteiger']

23 ['herr', 'dortmund', 'vorsitzend', 'deutsch', 'verband', 'mitglied', 'kennen', 'lachen', 'berlin', 'präsident', 'kammer', 'vortrag', 'doktor', 'vorstand', 'minister', 'verbindung', 'gründen', 'frauenring', 'dr', 'düsseldorf', 'professor', 'oberbürgermeister', 'tagung', 'adenauer', 'steinwache', 'hüsteln', 'ordner', 'geschäftsführer', 'büchler', 'bonn', 'husten', 'franz', 'nennen', 'einladen', 'spät', 'sitzung', 'politiker', 'kreis', 'handelskammer', 'gehören', 'verein', 'herrn', 'krefeld', 'stadt', 'geschäft', 'rau', 'präsidium', 'vizepräsident', 'dortmunder', 'industrie', 'vereinigung', 'wirtschaftsvereinigung', 'organisation', 'international', 'ministerium', 'innenminister', 'zweiter', 'interessant', 'vergessen', 'afn', 'stellvertretend', 'bittermark', 'vorsitz', 'jurist', 'ministerpräsident', 'rat', 'brenninkmeijer', 'frauenbund', 'otto', 'wussen', 'versammlung', 'gruppe', 'bundespräsident', 'bitten', 'jugendring', 'wählen', 'tengelmann', 'gethmann', 'artikel', 'engländer', 'ausschuss', 'frauenrat', 'landesverband', 'deutschland', 'bund', 'prüfen', 'damen', 'reich', 'ausschüsse', 'einzelhandel', 'rechtsanwältin', 'rufen', 'übernehmen', 'hüstel', 'utermann', 'büro', 'schreibtisch', 'vorschlagen', 'wirtschaft', 'verfassung']

24 ['stimme', 'heben', 'hauchen', 'lachen', 'stöhnen', 'betonen', 'lübben', 'jamlitz', 'räusperen', 'stocken', 'lieberose', 'verhalten', 'wahr', 'murmeln', 'uff', 'cottbus', 'nuschelen', 'russe', 'lieberos', 'brechen', 'schleppend', 'luft', 'stockend', 'klopfen', 'husten', 'schreien', 'flüstern', 'jemacht', 'geräusch', 'iss', 'berlin', 'aufgeregt', 'dehnen', 'nuschelt', 'stöhnend', 'lager', 'richtig', 'klatschen', 'pusten', 'jaipks', 'frage', 'keene', 'forst', 'autogeräusch', 'nischen', 'blättern', 'jawoll', 'gloobe', 'günter', 'wende', 'jekriegt', 'abgehacken', 'erstaunt', 'dömitz', 'jekommen', 'hase', 'klacken', 'tot', 'ahaipks', 'eenmal', 'poltern', 'lübbener', 'lübbenau', 'gesehn', 'keutel', 'zwee', 'vierzehn', 'stottern', 'schildern', 'ernst', 'beeskow', 'richtung', 'polizei', 'weisen', 'ss', 'letzter', 'jeholt', 'inne', 'bäckerei', 'waipehefrau', 'zitieren', 'abgehackt', 'globe', 'hüttenhain', 'tag', 'richard', 'antifajugend', 'bäcker', 'papierraschel', 'schreit', 'gaststätte', 'stephan', 'lieberoser', 'buchenwald', 'geschirrklapper', 'druff', 'abholen', 'sägewerk', 'jungs', 'hinz']

25 ['trinken', 'kaffee', 'rauchen', 'bier', 'flasche', 'wein', 'schnaps', 'glas', 'zigarett', 'tasse', 'tee', 'alkohol', 'zigarette', 'tabak', 'wasser', 'tisch', 'kneipe', 'gerne', 'milch', 'abends', 'anbieten', 'lokal', 'zucker', 'essen', 'wodka', 'schluck', 'cola', 'schön', 'kaufen', 'schmecken', 'gegessen', 'betrunken', 'verkaufen', 'gläser', 'durst', 'morgens', 'lachen', 'zigaretten', 'mitbringen', 'getränk', 'abend', 'schokolade', 'trenken', 'bestellen', 'lieb', 'kuchen', 'heiß', 'mittag', 'saft', 'trank', 'tasche', 'einschenken', 'schachtel', 'nett', 'schwarz', 'raucher', 'stimmen', 'stunde', 'vertragen', 'trink', 'kalt', 'sekt', 'kochen', 'cognac', 'schenken', 'keller', 'herr', 'reichen', 'lieber', 'kiste', 'besoffen', 'geschäft', 'bohnenkaffee', 'kanne', 'gaststätte', 'kellner', 'ordnung', 'trinkn', 'packung', 'wirtschaft', 'servieren', 'feiern', 'trocken', 'extra', 'nachmittags', 'coca', 'tanzen', 'brötchen', 'lecker', 'dankeschön', 'drehen', 'tranken', 'klopfen', 'husten', 'machorka', 'unterhalten', 'liter', 'stückchen', 'zigarre', 'zigarren']

26 ['bauer', 'pferd', 'kühe', 'schwein', 'feld', 'hof', 'kartoffel', 'dorf', 'land', 'kuh', 'landwirtschaft', 'milch', 'schlachten', 'hühner', 'vieh', 'stall', 'pferde', 'arbeit', 'helfen', 'heu', 'getreide', 'melken', 'eier', 'scheune', 'füttern', 'tier', 'winter', 'garten', 'herbst', 'stroh', 'bauernhof', 'sommer', 'bäuerin', 'ernten', 'bauern', 'abgeben', 'ernte', 'schwer', 'haus', 'wagen', 'kind', 'schaf', 'hektar', 'mähen', 'wirtschaft', 'weizen', 'rüben', 'zeit', 'verkaufen', 'futter', 'maschine', 'kaninchen', 'anbauen', 'mussen', 'schön', 'boden', 'felder', 'nachbar', 'fleisch', 'traktor', 'gras', 'wachsen', 'gemolken', 'gänse', 'hüten', 'sammeln', 'schweine', 'krieg', 'binden', 'landwirtschaftlich', 'frühjahr', 'pflügen', 'hand', 'liefern', 'kuhstall', 'pflanzen', 'ferkel', 'ziege', 'mist', 'korn', 'wiese', 'landwirt', 'acker', 'mühle', 'bestellen', 'weide', 'weiden', 'unkraut', 'dreschmaschine', 'gemüse', 'morgens', 'gedroschen', 'holz', 'weisen', 'küh', 'hund', 'ziegen', 'rogg', 'verteilen', 'säen']

27 ['tante', 'mutter', 'onkel', 'schwester', 'sterben', 'vater', 'wohnen', 'besuchen', 'eltern', 'bruder', 'friedhof', 'kind', 'familie', 'tant', 'tot', 'haus', 'cousine', 'spät', 'tag', 'cousin', 'kennen', 'freundin', 'schicken', 'besuch', 'tochter', 'sohn', 'krieg', 'treffen', 'gehören', 'beerdigen', 'grab', 'letzter', 'schön', 'beerdigung', 'schwiegermutter', 'heiraten', 'verwandter', 'wussen', 'berlin', 'erfahren', 'wohnung', 'woche', 'verwandt', 'schwägerin', 'abholen', 'bild', 'kontakt', 'krank', 'nett', 'mutti', 'schwiegervater', 'fallen', 'drüben', 'begraben', 'zeit', 'zurückkommen', 'heim', 'verwandte', 'verstorben', 'aufnehmen', 'ankommen', 'geburtstag', 'hingefahren', 'freund', 'dorf', 'nachricht', 'tod', 'adresse', 'verbindung', 'urlaub', 'weinen', 'schwager', 'traurig', 'münchen', 'wusste', 'krankenhaus', 'hören', 'gräber', 'verwandtschaft', 'weißen', 'hinfahren', 'einladen', 'anrufen', 'helfen', 'fremd', 'post', 'warten', 'kreuz', 'schwiegerelter', 'pflegen', 'hochzeit', 'ort', 'telegramm', 'amsterdam', 'berg', 'hannover', 'rufen', 'paket', 'rot', 'auto']

28 ['lernen', 'lehre', 'ausbildung', 'beruf', 'schule', 'firma', 'prüfung', 'lehrling', 'kaufmännisch', 'vater', 'berufsschule', 'lehrstelle', 'arbeitsamt', 'richtig', 'besuchen', 'mittlerer', 'ausbilden', 'abitur', 'zeit', 'studieren', 'betrieb', 'spät', 'handelsschule', 'stelle', 'verdienen', 'abschluss', 'büro', 'nennen', 'arbeit', 'abschließen', 'volksschule', 'meister', 'lehrlinge', 'technisch', 'beworben', 'geld', 'gerne', 'reif', 'maurer', 'chef', 'beruflich', 'einstellen', 'übernehmen', 'lehrzeit', 'verschieden', 'verkäuferin', 'kennen', 'beenden', 'berufsausbildung', 'tätigkeit', 'beschäftigen', 'studium', 'kaufmann', 'schlosser', 'möglichkeit', 'anderthalb', 'erlernen', 'schwer', 'kurs', 'klappen', 'dienst', 'lehrjahr', 'aufnehmen', 'nebenbei', 'woche', 'klasse', 'ingenieur', 'handwerk', 'angestellter', 'selbständig', 'handwerklich', 'zeugnis', 'buchhaltung', 'entlassen', 'ablegen', 'arbeitslos', 'schaffen', 'mitmachen', 'fachschule', 'elektriker', 'schwierigkeit', 'sohn', 'einjährig', 'abbrechen', 'lehren', 'zweiter', 'reife', 'realschule', 'wechseln', 'bau', 'melden', 'bezahlen', 'annehmen', 'lehrgang', 'facharbeiter', 'schreibmaschine', 'absolvieren', '25', 'üblich', 'eltern']

29 ['haus', 'bauen', 'wohnen', 'straße', 'stadt', 'garten', 'schön', 'gebäude', 'grundstück', 'gehören', 'wohnung', 'kennen', 'kaufen', 'verkaufen', 'gewohnen', 'platz', 'bau', 'hof', 'nachbar', 'häuschen', 'park', 'siedlung', 'land', 'abreißen', 'ort', 'ecke', 'zeit', 'gelände', 'nähe', 'richtig', 'aufbauen', 'schloss', 'spät', 'fenster', 'einziehen', 'villa', 'dach', 'architekt', 'unterbringen', 'wunderschön', 'ordnung', 'gegend', 'nennen', 'dorf', 'umbauen', 'rathaus', 'sommer', 'mauer', 'ausbauen', 'wald', 'meter', 'keller', 'nachbarschaft', 'eingang', 'grün', 'brücke', 'errichten', 'auto', 'garage', 'anbauen', 'bild', 'anfang', 'kirche', 'kaputt', 'aussehen', 'wunderbar', 'richtung', 'übernehmen', 'plan', 'führen', 'stein', 'drüben', 'zerstören', 'gestehen', 'geschäft', 'verschieden', 'stadtteil', 'eigentum', 'wohnhaus', 'zentrum', 'riesig', 'viertel', 'quadratmeter', 'neubau', 'räume', 'sohn', 'hütte', 'gemeinde', 'maurer', 'gärten', 'handwerker', 'anlegen', 'rüber', 'einrichten', 'entstehen', 'linker', 'wohnn', 'riesengroß', 'renovieren', 'besitzer']

30 ['partei', 'politisch', 'wählen', 'spd', 'kommunist', 'cdu', 'kommunistisch', 'mitglied', 'politik', 'wahl', 'kpd', 'sozialdemokrat', 'spät', 'rot', 'zeit', 'zentrum', 'meinung', 'diskutieren', 'sed', 'jugend', 'genosse', 'sozialdemokratisch', 'demokratisch', 'bürgermeister', 'zeitung', 'kennen', 'arbeiter', 'deutsch', 'deutschland', 'diskussion', 'fdp', 'gehören', '33', 'versammlung', 'sozialistisch', 'gruppe', 'linker', 'gründen', 'regierung', 'mensch', 'richtung', 'mehrheit', 'republik', 'nazi', 'organisation', 'vorsitzend', '45', 'frage', 'verbieten', 'engagieren', 'organisieren', 'christlich', 'sozial', 'bürgerlich', 'richtig', 'gewerkschaft', 'weimarer', 'grund', 'stimmen', 'einstellung', 'auseinandersetzung', 'austreten', 'fallen', 'ddr', 'mitmachen', 'absolut', 'adenauer', 'national', 'rolle', 'überzeugen', 'wahr', 'rat', 'nennen', 'landtag', 'grüne', 'damalig', 'position', 'demokratie', 'sozialdemokratie', 'faschismus', 'abgeordneter', 'demonstration', 'reden', 'bundestag', 'anfang', 'vertreten', 'interessiert', 'linie', 'freund', 'öffentlich', 'nazis', 'bilden', 'antifaschistisch', 'treffen', 'stimme', 'plakat', 'sozialist', 'union', 'führend', 'schmidt']

31 ['schäfer', 'gruppe', 'spät', 'kind', 'deutschland', 'wussen', 'paul', 'chile', 'mädchen', 'krankenhaus', 'wolfgang', 'zeit', 'jungs', 'kolonie', 'gruppentante', 'papa', 'herr', 'schmidt', 'reden', 'gemeinde', 'bibel', 'schlimm', 'schmidtke', 'schlagen', 'küche', 'hopp', 'beten', 'kinderhaus', 'mitbekommen', 'gehören', 'erfahren', 'horst', 'santiago', 'wussten', 'hartmut', 'mitkriegen', 'schwester', 'system', 'wahnsinnig', 'karl', 'verstecken', 'versammlung', 'saal', 'zwischendurch', 'bulnes', 'wusste', 'nennen', 'endlich', 'ursel', 'mücke', 'schlafen', 'willi', 'berg', 'manfred', 'schaffen', 'richtig', 'zimmer', 'ingrid', 'familie', 'melden', 'sogenannter', 'gerne', 'gerd', 'seewald', 'heide', 'wagen', 'peter', 'extra', 'merken', 'neukra', 'strafe', 'laube', 'situation', 'acker', 'mussen', 'doktor', 'heilsarmee', 'schlecht', 'müller', 'gesa', 'helfen', 'emmi', 'passieren', 'gerhard', 'rauskommen', 'freihaus', 'nachts', 'schnellenkamp', 'büro', 'gärtnerei', 'besuch', 'siegburg', 'parral', 'verschieden', 'hermann', 'wahrheit', 'arbeit', 'wusstest', 'aufpassen', 'lieb']

32 ['zug', 'bahnhof', 'tag', 'waggon', 'ankommen', 'unterwegs', 'essen', 'stadt', 'koffer', 'wagen', 'fuß', 'warten', 'richtung', 'frankfurt', 'station', 'bahn', 'fahrt', 'mensch', 'wussten', 'berlin', 'spät', 'straßenbahn', 'transport', 'grenze', 'woche', 'mussen', 'eisenbahn', 'tür', 'gepäck', 'ort', 'aussteigen', 'stunde', 'nachts', 'einsteigen', 'kilometer', 'platz', 'brücke', 'deutschland', 'transportieren', 'abholen', 'strecke', 'soldat', 'wussen', 'offen', 'züge', 'dauern', 'packen', 'verladen', 'nähe', 'fahrkarte', 'bus', 'treffen', 'fenster', 'übernachten', 'umsteigen', 'trennen', 'glück', 'ankamen', 'bahnsteig', 'wagon', 'letzter', 'ausgestiegen', 'ausladen', 'schlafen', 'rucksack', 'verabschieden', 'güterzug', 'abend', 'lkw', 'hauptbahnhof', 'begleiten', 'auto', 'polen', 'bahnstation', 'papier', 'straße', 'schaffen', 'lokomotive', 'anhalten', 'reise', 'laden', 'endlich', 'lastwagen', 'lkws', 'gleis', 'gleise', 'abteil', 'erreichen', 'tasche', 'landen', 'kohle', 'abfahren', 'eisenbahner', 'zeigen', 'kaputt', 'dunkel', 'berg', 'weile', 'wasser', 'zeit']

33 ['fernuniversität', 'herr', 'universität', 'hagen', 'professor', 'fernuni', 'fernstudium', 'lachen', 'hochschule', 'atmen', 'ministerium', 'student', 'rektor', 'rau', 'betonen', 'kollege', 'projekt', 'peters', 'gründungsausschuss', 'verwaltung', 'bartz', 'anfang', 'fachbereich', 'fakultät', 'kanzler', 'fachhochschule', 'weiterbildung', 'wissenschaftlich', 'kurs', 'aufgabe', 'spät', 'studienbrief', 'zfe', 'stelle', 'mitarbeiter', 'johannes', 'university', 'kontakt', 'institut', 'studierend', 'bochum', 'studienzentren', 'herrn', 'uni', 'senat', 'berufen', 'forschung', 'medium', 'entwickeln', 'anbieten', 'prof', 'zentrum', 'rechenzentrum', 'fach', 'lehre', 'referent', 'gruppe', 'rektorat', 'lehrstuhl', 'didaktisch', 'nordrheinwestfalen', 'bonn', 'idee', 'intavpch', 'gründen', 'minister', 'land', 'damalig', 'akademisch', 'aufbauen', 'einrichten', 'tübingen', 'elektrotechnik', 'otto', 'hochschullehrer', 'arbeitsgruppe', 'gründung', 'zentral', 'gutachten', 'villa', 'schmunzeln', 'gebäude', 'sitzung', 'mitglied', 'batti', 'dr', 'spannend', 'gesamthochschule', 'zuständig', 'einladen', 'intavpn', 'düsseldorf', 'mathematik', 'studienzentrum', 'entwicklung', 'didaktik', 'klappen', 'einrichtung', 'gremien', 'vertreten']

34 ['jude', 'bukarest', 'rumänisch', 'erinnern', 'arbeit', 'jüdisch', 'rumänien', 'fräulein', 'israel', 'zwangsarbeit', 'leisten', 'galai', 'stadt', 'bulgarisch', 'schicken', 'bulgarien', 'sofia', 'rumän', 'tag', 'passieren', 'gruppe', 'iassy', 'nennen', 'zurückkehren', 'auswandern', 'familie', 'cluj', 'dobritsch', 'herza', 'gendarm', 'deportation', 'abschließen', 'staatlich', 'direktor', 'freund', 'timioara', 'nedeleanu', 'gemeinde', 'schwer', 'befinden', 'foto', 'chaskowo', 'berner', 'gymnasium', 'gehören', 'deportieren', 'lager', '1944', 'straße', 'front', 'flughafen', '1941', 'gesetz', 'gherla', 'tatsache', 'erwin', 'bruder', 'iloaiei', 'erfahren', 'podul', 'ungarisch', 'erlauben', 'warna', 'besuchen', 'david', 'buchhalter', 'transnistrien', 'baustelle', 'herzi', 'organisation', '1940', 'plowdiw', 'mitglied', 'laden', 'arbeitsgruppe', 'ort', 'tecuci', 'antonescu', 'farm', 'oradea', 'stadtverwaltung', 'dorohoi', 'kommunistisch', 'lyzeum', 'arzt', 'zelt', 'buhui', 'reich', 'klausenburg', 'wahr', 'norm', 'moghilev', 'bedeuten', 'verbringen', 'ortschaft', 'antworten', 'unternehmen', 'nähe', 'kornelia', 'ereignis']

35 ['düsseldorf', 'dortmund', 'ruhrgebiet', 'köln', 'stadt', 'essen', 'hagen', 'duisburg', 'wuppertal', 'wohnen', 'gelsenkirchen', 'bochum', 'kennen', 'westfalen', 'gehören', 'münster', 'aachen', 'rhein', 'bayern', 'oberhausen', 'gegend', 'hattingen', 'rheinland', 'spät', 'kreis', 'sauerland', 'niederrhein', 'kölner', 'iserlohn', 'ruhr', 'hamm', 'mülheim', 'land', 'gebiet', 'wesel', 'ländlich', 'nennen', 'mittlerweile', 'hannover', 'westfale', 'eifel', 'norden', 'beamter', 'nordrhein', 'stelle', 'lüdenscheid', 'grunde', 'koblenz', 'damalig', 'krefeld', 'gladbeck', 'nordrheinwestfalen', 'unna', 'wattenscheid', 'erleben', 'bonn', 'industrie', 'lachen', 'recklinghausen', 'verbindung', 'bezirk', 'holland', 'ort', 'sogenannter', 'münsterland', 'bereich', 'generation', 'schön', 'neuss', 'relativ', 'rheinisch', 'anschließend', 'stadtteil', 'arnsberg', 'düsseldorfer', 'bergisch', 'paderborn', 'süden', 'witten', 'siegen', 'platt', 'woanders', 'bielefeld', 'typisch', 'augenblick', 'godesberg', 'städtisch', 'bottrop', 'rheinländer', 'interessant', 'nördlich', 'knapp', 'siegerland', 'städten', 'nähe', 'pensionieren', 'essener', 'dortmunder', 'münchen', 'dorf']

36 ['mama', 'gott', 'mädchen', 'papa', 'mutter', 'erinnern', 'schwester', 'kind', 'weinen', 'wohnen', 'haus', 'krieg', 'sterben', 'spät', 'arbeit', 'deutschland', 'lieben', 'schicken', 'tochter', 'dorf', 'helfen', 'straße', 'schauen', 'tante', 'arm', 'vater', 'stadt', 'charkow', 'maria', 'anna', 'rufen', 'nadja', 'foto', 'zeigen', 'bitten', 'warten', 'marija', 'freundin', 'vergessen', 'schura', 'antworten', 'sohn', 'hausherr', 'angst', 'nennen', 'geh', 'familie', 'wussen', 'herrin', 'zeit', 'krank', 'kennen', 'reden', 'zimmer', 'selig', 'heiraten', 'rubel', 'schlecht', 'mensch', 'markt', 'wirtin', 'schwer', 'adresse', 'hausherrin', 'walja', 'weißen', 'treffen', 'ehemann', 'tamara', 'erfahren', 'wera', 'mädels', 'stiefmutter', 'interessant', 'kiew', 'fabrik', 'bruder', 'schimpfen', 'kindch', 'katja', 'verlassen', 'weißt', 'woronesch', 'galja', 'ukraine', 'nähe', 'bein', 'besuchen', 'mascha', 'kolja', 'mischa', 'alexandra', 'ukrainisch', 'nachname', 'zurückkehren', 'hübsch', 'fallen', 'kehren', 'front', 'lass']

