0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
9 ['lager', 'buchenwald', 'baracke', 'jamlitz', 'russe', 'entlassen', 'ketschendorf', 'barack', 'lazarett', 'mühlberg', 'russisch', 'häftling', 'sachsenhause', 'tor', 'entlassung', '48', 'offizier', 'tag', 'weimar', 'deutsch', '45', '46', 'ehemalig', 'sterben', 'transport', '47', 'zeit', 'posten', 'nennen', 'zone', 'sowjetisch', 'kz', 'tot', 'verpflegung', 'kennen', 'kontakt', 'erfahren', 'melder', 'jugendliche', 'sogenannter', 'russland', 'möglichkeit', 'essen', 'waldheim', 'küche', 'jugendlich', 'zaun', 'bunker', 'tote', 'häftlinge']

10 ['sport', 'fußball', 'verein', 'schwimmen', 'sportlich', 'jugend', 'sportverein', 'erinnern', 'spiel', 'richtig', 'mannschaft', 'ball', 'freizeit', 'handball', 'turnen', 'freund', 'spaß', 'sportler', 'treiben', 'vereine', 'sportplatz', 'schön', 'turnverein', 'mitmachen', 'trainieren', 'spät', 'schach', 'stadion', 'gerne', 'training', 'gruppe', 'tennis', 'gewinnen', 'olympiade', 'wandern', 'nennen', 'leichtathletik', 'schule', 'jungs', 'vereinen', 'lernen', 'trainer', 'tischtennis', 'fußballspiel', 'fahrrad', 'spieler', 'mitglied', 'organisieren', 'interessiert', 'reiten']

11 ['richtig', 'zeit', 'merken', 'problem', 'relativ', 'funktionieren', 'prinzip', 'job', 'letzter', 'krise', 'spannend', 'gerne', 'verändern', 'passieren', 'gefühl', 'schön', 'geschichte', 'schaffen', 'versuchen', 'erleben', 'welt', 'moment', 'überlegen', 'situation', 'anfang', 'interessant', 'entwickeln', 'super', 'umgehen', 'chance', 'richtung', 'ausbildung', 'erfahrung', 'echt', 'normal', 'entscheiden', 'phase', 'treffen', 'gesellschaft', 'spaß', 'mittlerweile', 'wahrnehmen', 'lernen', 'prozent', 'aufbauen', 'idee', 'system', 'wahnsinnig', 'verschieden', 'privat']

12 ['tag', 'wussen', 'schicken', 'papier', 'melden', 'woche', 'spät', 'anrufen', 'kennen', 'telefon', 'rufen', 'wussten', 'herr', 'adresse', 'post', 'polizei', 'warten', 'unterschreiben', 'bescheid', 'erfahren', 'zeit', 'abholen', 'treffen', 'karte', 'zeigen', 'besuchen', 'hören', 'berlin', 'pass', 'wusste', 'ankommen', 'entlassen', 'ausweis', 'zettel', 'freund', 'ordnung', 'versuchen', 'aufnehmen', 'arbeit', 'erklären', 'stelle', 'sohn', 'bitten', 'büro', 'stunde', 'gehören', 'bestellen', 'abgeben', 'helfen', 'richtig']

13 ['deutschland', 'deutsch', 'englisch', 'amerika', 'land', 'lernen', 'england', 'kanada', 'freund', 'sprache', 'york', 'kennen', 'usa', 'türkei', 'auswandern', 'amerikanisch', 'europa', 'welt', 'ausland', 'türkisch', 'familie', 'australien', 'hamburg', 'reisen', 'stadt', 'staat', 'london', 'woche', 'zeit', 'spanien', 'besuchen', 'problem', 'reise', 'kontakt', 'israel', 'geld', 'studieren', 'schweden', 'anfang', 'türke', 'spanisch', 'schön', 'fliegen', 'deutsche', 'portugal', 'amerikaner', 'münchen', 'fühlen', 'ausländer', 'verschieden']

14 ['herr', 'lachen', 'kennen', 'hans', 'peter', 'hermann', 'berlin', 'fritz', 'karl', 'doktor', 'heinz', 'dr', 'nennen', 'franz', 'spät', 'werner', 'schmidt', 'herrn', 'walter', 'müller', 'sohn', 'ernst', 'fräulein', 'professor', 'deutsch', 'otto', 'willi', 'gehören', 'hattingen', 'bochum', 'josef', 'herbert', 'paul', 'erich', 'max', 'dortmund', 'wohnen', 'sterben', 'tot', 'schneider', 'wolf', 'kurt', 'richtig', 'rufen', 'sögen', 'schulz', 'rudolf', 'verbindung', 'berühmt', 'geschichte']

