0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
39 ['punk', 'düsseldorf', 'musik', 'hof', 'zeit', 'straße', 'kennen', 'spät', 'richtig', 'rating', 'konzert', 'ratinger', 'gehören', 'laden', 'platte', 'szene', '79', 'anfang', '78', 'club', 'hören', '80er', 'relativ', 'super', 'auflegen', 'mettmann', 'echt', 'treffen', '81', 'sommer', 'lustig', 'kaufen', 'freund', '80', 'düsseldorfer', 'lernen', 'rocker', 'wochenende', 'typ', '70er', '77', 'mitte', 'altstadt', 'geil', 'london', '1980', 'normal', '82', 'label', 'dokie']

40 ['schule', 'klasse', 'lehrer', 'schüler', 'lernen', 'gymnasium', 'unterricht', 'lehrerin', 'kind', 'eltern', 'unterrichten', 'abitur', 'spät', 'grundschule', 'schulzeit', 'erinnern', 'volksschule', 'schuljahr', 'oberschule', 'direktor', 'zehnter', 'zweiter', 'mädchen', 'vierter', 'englisch', 'zeit', 'besuchen', 'fünfter', 'achter', 'richtig', 'geschichte', 'realschule', 'stunde', 'deutsch', 'mathematik', 'dritter', 'neunter', 'mittelschule', 'schlecht', 'normal', 'sechster', 'einschulen', 'schulleiter', 'latein', 'internat', 'gerne', 'fach', 'prüfung', 'hauptschule', 'siebter']

41 ['kirche', 'apostel', 'stammapostel', 'gemeinde', 'botschaft', 'gottesdienst', 'neuapostolisch', 'bischoff', 'kuhlen', 'kuhl', 'güttinger', 'vater', 'düsseldorf', 'bezirksapostel', 'apostolisch', 'gott', 'bezirk', 'grunde', 'vorsteher', 'bischof', 'amt', 'herr', 'kennen', 'otto', 'priester', 'erleben', 'sterben', 'predigen', 'nak', 'schweiz', 'geschwister', 'gottesdienste', 'nachfolger', 'vag', 'schmidt', 'ruhestand', 'frankfurt', 'streckeise', 'schrift', 'trennung', 'stelle', 'liebe', 'geist', 'gehören', 'christus', 'bibel', 'sohn', 'brüder', 'christi', '1960']

42 ['zeche', 'kohle', 'bergbau', 'ruhrgebiet', 'gelsenkirchen', 'tag', 'steiger', 'bochum', 'bergmann', 'arbeit', 'schacht', 'kumpel', 'bergleute', 'schicht', 'zeit', 'geld', 'krieg', 'wohnen', 'hauer', 'wagen', 'essen', 'recklinghausen', 'meter', 'straße', 'verdienen', 'betriebsführer', 'morgens', 'wahr', 'grube', 'kennen', 'nennen', 'herne', 'schachtanlage', 'buer', 'robert', 'stempel', 'fördern', 'tonne', 'streb', 'pütt', 'dortmund', 'kumpels', 'bergarbeiter', 'westerholt', 'bergeborbeck', 'wohnung', 'emsch', 'wattenscheid', 'aussage', 'walsum']

43 ['film', 'musik', 'theater', 'kino', 'tanzen', 'lieder', 'schön', 'klavier', 'lied', 'hören', 'chor', 'gerne', 'lernen', 'konzert', 'zeit', 'geige', 'kennen', 'erinnern', 'musikalisch', 'stimme', 'orchester', 'bühne', 'spät', 'kultur', 'üben', 'gitarre', 'gedicht', 'radio', 'wunderbar', 'gehören', 'musiker', 'schauspieler', 'oper', 'fernsehen', 'abend', 'modern', 'interessant', 'melodie', 'instrument', 'kulturell', 'drehen', 'text', 'tanz', 'akkordeon', 'sänger', 'aufführung', 'nennen', 'aufführen', 'veranstaltung', 'künstler']

44 ['colonia', 'chile', 'kolonie', 'schäfer', 'deutsch', 'chilenisch', 'dignidad', 'deutschland', 'botschaft', 'opfer', 'diktatur', 'colono', 'gruppe', 'sekt', 'hopp', 'santiago', 'staat', 'paul', 'hugo', 'dina', 'müller', 'foltern', 'missbrauch', 'reden', 'gefangener', 'kind', 'waffe', 'amnesty', 'pinochet', 'baar', 'flüchten', 'auswärtig', 'täter', 'siegburg', 'gronau', 'passieren', 'wolfgang', 'amt', 'folter', 'identität', 'hartmut', 'sogenannter', 'justiz', 'mord', 'aussagen', 'militär', 'bonn', 'politisch', 'system', 'aussage']

45 ['tag', 'stunde', 'abends', 'woche', 'morgens', 'zeit', 'arbeit', 'essen', 'abend', 'schlafen', 'mittags', 'nachmittags', 'sonntags', 'nachts', 'bett', 'wochenende', 'aufstehen', 'nachmittag', 'samstags', 'schön', 'mittag', 'mittagessen', 'spät', 'mussen', 'letzter', 'minute', 'elf', 'gegessen', 'viertel', 'lachen', 'schicht', 'dauern', 'frühstück', 'freizeit', 'zweimal', 'feierabend', 'arbeitszeit', 'unterwegs', 'urlaub', 'nachtschicht', 'zuhause', 'schlecht', 'schaffen', 'vierzehn', 'tagsüber', 'schluss', 'wecken', 'fangen', 'kaffee', 'montags']

46 ['schwester', 'bruder', 'mutter', 'vater', 'sterben', 'tante', 'onkel', 'familie', 'wohnen', 'kind', 'eltern', 'krieg', 'haus', 'tot', 'geschwister', 'schwager', 'zeit', 'heiraten', 'tant', 'besuchen', 'brüder', 'cousine', 'friedhof', 'spät', 'cousin', 'schwägerin', 'sohn', 'schicken', 'kontakt', 'tochter', 'besuch', 'beerdigen', 'fallen', 'beerdigung', 'letzter', 'verwandter', 'grab', 'krank', 'tag', 'verheiraten', 'wussen', 'verwandte', 'treffen', 'verstorben', 'zurückkommen', 'überleben', 'zweiter', 'verwandt', 'krankenhaus', 'drüben']

47 ['bild', 'foto', 'zeigen', 'schön', 'malen', 'fotografieren', 'zeichnen', 'buch', 'ausstellung', 'kunst', 'künstler', 'spät', 'farbe', 'hängen', 'interessant', 'papier', 'gedicht', 'aufnehmen', 'wand', 'fotograf', 'maler', 'zeichnung', 'fotografie', 'gerne', 'museum', 'kamera', 'angucken', 'nummer', 'aufnahme', 'album', 'geschichte', 'film', 'verschieden', 'sammeln', 'blättern', 'mitbringen', 'wunderbar', 'erkennen', 'schenken', 'zeitung', 'aussehen', 'mitte', 'fotos', 'künstlerisch', 'tagebuch', 'erinnerung', 'rot', 'geburtstag', 'moment', 'dokument']

48 ['krupp', 'essen', 'firma', 'zeit', 'mülheim', 'krieg', 'spät', 'borbeck', 'lachen', 'kruppsch', 'kennen', 'heimaterde', 'straße', 'nennen', 'wohnen', 'gehören', 'betrieb', 'beschäftigen', 'mühlheim', 'kruppianer', 'essener', 'kollege', 'altendorf', 'essenwest', 'steel', 'kenn', 'arbeiter', 'duisburg', 'stadt', 'augenblick', 'leise', 'sozial', 'wohnung', 'kettwig', 'gruga', 'kruppschen', 'holsterhausen', 'genossenschaft', 'nebenbei', 'erwerbslos', 'schlecht', 'widia', 'ecke', 'wuppertal', 'komisch', 'entlassen', 'kaputt', 'seinerzeit', 'dinger', 'rüttenscheid']

49 ['leipzig', 'dresden', 'magdeburg', 'sachsen', 'geräusch', 'lachen', 'halle', 'weimar', 'erfurt', 'stockend', 'gott', 'drüben', 'murmeln', 'chemnitz', 'jena', 'leise', 'oebisfelde', 'flüstern', 'altenburg', 'bitterfeld', 'herr', 'thüringen', 'aue', 'bad', 'papierraschel', 'plau', 'zwickau', 'bockau', 'zschorlau', 'gube', 'umblättern', 'kreis', 'sächsisch', 'wittenberg', 'freiberg', 'vierzehn', 'zeitz', 'salzwedel', 'geschirrklapper', 'klacken', 'schwerin', 'wolfsburg', 'martha', 'fahrrad', 'beginn', 'genosse', 'drinnen', 'riesa', 'dessau', 'woche']

50 ['partei', 'politisch', 'wählen', 'spd', 'kommunist', 'cdu', 'mitglied', 'kommunistisch', 'politik', 'wahl', 'kpd', 'sozialdemokrat', 'zentrum', 'spät', 'zeit', 'rot', 'bürgermeister', 'deutsch', 'sozialdemokratisch', 'demokratisch', 'mensch', 'zeitung', 'kennen', 'jugend', '33', 'deutschland', 'linker', 'fdp', 'versammlung', 'vorsitzend', 'sed', 'meinung', 'gründen', 'diskutieren', 'sozialistisch', 'organisation', '45', 'nazi', 'regierung', 'gehören', 'genosse', 'adenauer', 'arbeiter', 'gewerkschaft', 'mehrheit', 'gruppe', 'verbieten', 'stadt', 'christlich', 'diskussion']

51 ['hitler', 'nazi', 'vater', 'krieg', 'zeit', '33', 'partei', 'deutsch', 'bdm', 'politisch', 'uniform', 'hitlerjugend', 'nationalsozialismus', 'jungvolk', 'heil', 'fahne', 'schule', 'führer', 'erinnern', 'gehören', 'sa', 'lachen', 'mitmachen', 'jugend', 'kommunist', '38', 'nationalsozialistisch', 'spät', 'nsdap', 'arbeitsdienst', 'nennen', 'kennen', 'nazizeit', '34', 'straße', 'jude', '45', '1933', 'adolf', 'nazis', 'organisation', '36', 'reich', 'marschieren', 'mitglied', 'hj', '35', 'antreten', '39', 'erleben']

52 ['keller', 'bombe', 'flugzeug', 'krieg', 'bunker', 'fliegen', 'angriff', 'haus', 'bombardieren', 'bombenangriff', 'fallen', 'stadt', 'treffen', 'schlimm', 'hören', 'alarm', 'kaputt', 'brennen', 'zerstören', 'schießen', 'angst', 'erleben', 'flieger', 'evakuieren', 'straße', 'tag', 'nachts', 'tot', '43', 'amerikaner', '44', 'nähe', 'passieren', 'ausgebombt', 'spät', 'wohnen', 'fliegeralarm', 'verbrennen', 'luftschutzkeller', 'zerbombt', 'letzter', 'furchtbar', 'schrecklich', 'umkommen', 'tiefflieger', 'bomben', '45', 'splitter', 'gott', 'luft']

53 ['lachen', 'leise', 'schön', 'räusperen', 'zeit', 'hintergrund', 'husten', 'geräusch', 'gott', 'kennen', 'richtig', 'betonen', 'reden', 'stimmen', 'lachend', 'hören', 'gerne', 'frage', 'überlegen', 'undeutlich', 'schwer', 'stimme', 'fallen', 'schlimm', 'klappern', 'kenn', 'geschirr', 'nett', 'atmen', 'blättern', 'murmeln', 'bestimmen', 'krieg', 'furchtbar', 'vergessen', 'flüstern', 'klopfen', 'hättn', 'grunde', 'lieb', 'amüsieren', 'durcheinander', 'menge', 'find', 'lernen', 'klatschen', 'parallel', 'nennen', 'komisch', 'moment']

54 ['trinken', 'kaffee', 'bier', 'flasche', 'wein', 'glas', 'schnaps', 'tasse', 'tee', 'alkohol', 'wasser', 'rauchen', 'gerne', 'kneipe', 'milch', 'essen', 'schön', 'tisch', 'zucker', 'abends', 'wodka', 'schluck', 'kaufen', 'cola', 'kuchen', 'gegessen', 'betrunken', 'getränk', 'abend', 'anbieten', 'durst', 'gläser', 'lokal', 'heiß', 'mitbringen', 'trank', 'kochen', 'schmecken', 'trenken', 'feiern', 'gaststätte', 'morgens', 'einladen', 'schwarz', 'besoffen', 'einschenken', 'brötchen', 'saft', 'kanne', 'kalt']

55 ['münster', 'frauenstraße', 'haus', 'politisch', '24', 'kneipe', 'wohnen', 'dortmund', 'student', 'stadt', 'auseinandersetzung', 'aktion', 'asta', 'etage', 'erinnern', 'kontakt', 'polizei', 'besetzung', 'zeit', 'steinwache', 'hüsteln', 'besetzen', 'makler', 'gerd', 'flugblätter', 'frauenstr', 'geschichte', 'hans', 'wg', 'plakat', 'leg', 'veranstaltung', 'unterstützen', 'uni', 'gruppe', 'stürmer', 'grunde', 'idee', 'iphs', 'rolle', 'stattfinden', 'münsteraner', 'wohngemeinschaft', 'mitbekommen', 'dkp', 'einziehen', 'kulturell', 'anfang', 'studieren', 'linker']

56 ['betrieb', 'rabenstein', 'maschine', 'lachen', 'betreiben', 'chemnitz', 'gehören', 'firma', 'drüben', 'übernehmen', 'karlmarxstadt', 'bauen', 'stadt', 'staatlich', 'siegmar', 'wismut', 'direktor', '45', 'ddr', 'chef', 'polar', 'produktion', 'privat', 'volkseigen', 'ort', 'produzieren', 'arbeiter', 'werk', 'einsetzen', 'handschuhe', 'arbeitskraft', 'privatbetrieb', 'meister', 'herstellen', 'arbeit', 'stricken', 'heimarbeit', 'kombinat', 'prozent', 'schlecht', 'technik', 'industrie', 'bau', 'verwaltung', 'handschuh', 'gemeinde', 'verdienen', 'technisch', 'betriebsleiter', 'rathaus']

57 ['chef', 'arbeit', 'abteilung', 'firma', 'büro', 'stelle', 'herr', 'kollege', 'direktor', 'zeit', 'arbeitsamt', 'übernehmen', 'einstellen', 'sekretärin', 'kündigen', 'angestellter', 'tag', 'dienst', 'betrieb', 'verwaltung', 'mitarbeiter', 'leiter', 'beruf', 'kennen', 'beworben', 'spät', 'beamter', 'entlassen', 'tätigkeit', 'beschäftigen', 'wechseln', 'gehalt', 'geld', 'abteilungsleiter', 'thyssen', 'schreibmaschine', 'düsseldorf', 'duisburg', 'anstellen', 'vorgesetzter', 'personalabteilung', 'leiten', 'gerne', 'verschieden', 'arbeitsplatz', 'verdienen', 'bank', 'kollegin', 'annehmen', 'buchhaltung']

58 ['französisch', 'franzose', 'frankreich', 'paris', 'deutsch', 'rot', 'kreuz', 'holland', 'belgien', 'deutschland', 'spanien', 'holländer', 'schweiz', 'spanisch', 'belgier', 'grenze', 'kontakt', 'holländisch', 'lager', 'international', 'aachen', 'brüssel', 'deutsche', 'belgisch', 'schweizer', 'kennen', 'luxemburg', 'kriegsgefangen', 'geschichte', 'verbindung', 'hotel', 'zeigen', 'spanier', 'art', 'sprache', 'marseille', 'englisch', 'südfrankreich', 'italiener', 'invasion', 'lüttich', 'schicken', 'england', 'claude', 'moment', 'straßburg', 'illegal', 'franco', 'zürich', 'amerika']

59 ['zeit', 'bereich', 'aufgabe', 'versuchen', 'möglichkeit', 'führen', 'übernehmen', 'frage', 'richtig', 'anfang', 'arbeit', 'spät', 'problem', 'gewiß', 'gruppe', 'verschieden', 'stelle', 'sogenannter', 'einsetzen', 'letzter', 'entwickeln', 'art', 'grund', 'tätigkeit', 'nennen', 'durchführen', 'schaffen', 'einzeln', 'relativ', 'damalig', 'entstehen', 'organisieren', 'wesentlich', 'form', 'beschäftigen', 'erreichen', 'zweiter', 'gespräch', 'aufbauen', 'ort', 'plan', 'verfügung', 'kontakt', 'raum', 'besonderer', 'auftrag', 'planen', 'vorstellung', 'gemeinsam', 'gesamt']

60 ['köln', 'fernsehen', 'radio', 'rundfunk', 'sendung', 'sender', 'fernseher', 'hören', 'wdr', 'berlin', 'nachricht', 'programm', 'gehören', 'kölner', 'hamburg', 'journalist', 'zeitung', 'welle', 'intendant', 'kennen', 'studio', 'chef', 'westdeutsch', 'schulz', 'lachen', 'deutsch', 'spät', 'senden', 'funkhaus', 'technisch', 'bismarck', 'werner', 'zdf', 'abends', 'apparat', 'musik', 'dritter', 'bonn', 'herr', 'telefon', 'leiter', 'techniker', 'reporter', 'deinert', 'tot', 'schnitzler', 'frage', 'interviewpartnerin', 'rias', 'geraten']

61 ['grenze', 'dorf', 'drüben', 'bürgermeister', 'lpg', 'ort', 'rüber', 'westen', 'landwirtschaft', 'bauer', 'zwingen', 'lachen', 'gemeinde', 'kreis', 'worbis', 'gaststätte', '61', 'land', 'erfurt', '52', 'duderstadt', 'sperrgebiet', 'abhauen', 'polizei', 'zeit', 'nordhausen', 'wohnen', 'enteignen', 'versammlung', 'betrieb', 'aussiedeln', 'dörfer', 'heiligenstadt', 'erinnern', 'gehören', 'soundso', 'einsperren', 'gastwirtschaft', 'hof', 'kontrollieren', 'weisen', 'ebent', 'polizist', 'bleicherode', 'typ', 'aussiedlung', 'hektar', 'kilometer', 'familie', 'gotha']

62 ['65', '68', '70', '80', '63', '75', '72', '71', '64', '74', '85', '69', '66', '62', 'rente', '76', '78', '73', '88', '67', '84', '82', '83', '79', 'letzter', '81', '61', '86', 'zeit', '77', '90', '1970', 'rentner', '87', 'jemacht', 'sterben', '89', '92', 'anfang', '1960', '59', 'stimmen', 'richtig', '1974', 'arbeit', '58', '56', 'jesacht', 'zweiter', 'eko']

63 ['lernen', 'ausbildung', 'beruf', 'lehre', 'schule', 'studieren', 'prüfung', 'abitur', 'zeit', 'richtig', 'firma', 'studium', 'besuchen', 'lehrling', 'berufsschule', 'mittlerer', 'kaufmännisch', 'lehrstelle', 'stelle', 'abschluss', 'spät', 'abschließen', 'kurs', 'ausbilden', 'gerne', 'schaffen', 'möglichkeit', 'arbeit', 'technisch', 'betrieb', 'beruflich', 'schwer', 'verdienen', 'handelsschule', 'nennen', 'geld', 'volksschule', 'reif', 'klasse', 'zweiter', 'lehrlinge', 'vater', 'meister', 'beenden', 'beworben', 'arbeitsamt', 'berufsausbildung', 'lehrzeit', 'erlernen', 'ablegen']

64 ['geschichte', 'interview', 'frage', 'buch', 'gerne', 'herr', 'interessant', 'gespräch', 'zeit', 'lebensgeschichte', 'schön', 'archiv', 'interessiert', 'bitten', 'kennen', 'nachfragen', 'hören', 'bericht', 'richtig', 'letzter', 'zweiter', 'führen', 'moment', 'versuchen', 'erfahrung', 'projekt', 'tonband', 'gehören', 'verschieden', 'schicken', 'text', 'herrn', 'stimmen', 'erinnerung', 'kopieren', 'zeigen', 'erleben', 'kamera', 'aufgeschrieben', 'ausführlich', 'institut', 'fangen', 'kopie', 'plato', 'beschäftigen', 'zusammenhang', 'erwähnen', 'artikel', 'akte', 'biographie']

65 ['partei', 'betrieb', 'arbeit', 'bitterfeld', 'lachen', 'ddr', 'kollektiv', 'fdj', 'genosse', 'sozialistisch', 'werk', 'mitglied', 'funktion', 'sowjetisch', 'eisenhüttenstadt', 'sed', 'parteisekretär', 'arbeiter', 'brigade', 'direktor', 'auszeichnung', 'kollege', 'tag', 'politisch', 'drüben', 'filmfabrik', 'mensch', 'gewerkschaft', 'aktivist', 'sowjetunion', 'gehören', 'berlin', 'meister', 'kombinat', 'halle', 'sozialismus', 'eko', 'tätigkeit', 'fdgb', 'bgl', 'kreisleitung', 'gesellschaftlich', 'freundschaft', 'frage', 'leiter', 'problem', 'organisieren', 'vorsitzend', 'ulbricht', 'versammlung']

66 ['nähen', 'anziehen', 'schön', 'kleidung', 'schuh', 'hose', 'stoff', 'kaufen', 'kleid', 'schwarz', 'rot', 'blau', 'kleider', 'stricken', 'mädchen', 'anzug', 'mantel', 'mutter', 'haare', 'stiefel', 'jacke', 'hemd', 'haar', 'uniform', 'rock', 'zeit', 'bluse', 'pullover', 'farbe', 'hosen', 'winter', 'hand', 'strümpf', 'grün', 'braun', 'erinnern', 'klamotte', 'grau', 'schneider', 'stopfen', 'schenken', 'nähmaschine', 'mütze', 'kittel', 'leder', 'tasche', 'dick', 'aussehen', 'warm', 'tuch']

67 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'westberlin', 'lachen', 'drüben', 'grenze', 'erinnern', 'westdeutschland', 'prinzip', 'wiedervereinigung', 'ostberlin', 'rüber', 'land', 'west', 'kind', 'relativ', '89', 'spannend', 'deutschland', 'berliner', 'erleben', 'stadt', 'stasi', 'bundesrepublik', 'freund', 'interessant', 'brd', 'politisch', 'passieren', 'system', 'staat', 'besuchen', 'leipzig', 'mitbekommen', 'ost', 'straße', 'kontakt', 'dresden', 'mensch', 'fernsehen', 'westdeutsch', 'angucken', 'familie', 'richtung', 'merken']

68 ['ausstellung', 'stadt', 'museum', 'gedenkstätte', 'geschichte', 'verein', 'gruppe', 'ort', 'arbeit', 'gründen', 'einladen', 'veranstaltung', 'ehemalig', 'vortrag', 'mitglied', 'projekt', 'düsseldorf', 'vorstand', 'zeigen', 'schüler', 'einrichtung', 'idee', 'gesellschaft', 'haus', 'jüdisch', 'frauenring', 'unterstützen', 'vorsitzend', 'achtziger', 'nationalsozialismus', 'politisch', 'interessant', 'arbeitsgemeinschaft', 'kontakt', 'anfang', 'international', 'presse', 'pädagogisch', 'historisch', 'verband', 'opfer', 'initiative', 'stelle', 'unterschiedlich', 'führen', 'forschung', 'engagieren', 'essen', 'programm', 'tagung']

69 ['arzt', 'krankenhaus', 'krank', 'sterben', 'tag', 'schwer', 'krankheit', 'woche', 'bein', 'spät', 'doktor', 'operieren', 'zeit', 'behandeln', 'gesund', 'medikament', 'schlimm', 'helfen', 'untersuchen', 'operation', 'schlecht', 'ärztin', 'krankenschwester', 'klinik', 'bett', 'patient', 'auge', 'behandlung', 'professor', 'schwester', 'fieber', 'blut', 'schmerz', 'medizinisch', 'feststellen', 'letzter', 'glück', 'fallen', 'pflegen', 'körper', 'normal', 'herz', 'spritze', 'zweiter', 'untersuchung', 'lazarett', 'kopf', 'krebs', 'tuberkulose', 'typhu']

70 ['deutschland', 'armee', 'schicken', 'arbeit', 'stadt', 'krieg', 'moskau', 'gebiet', 'abschließen', 'bescheinigung', 'rubel', 'werk', 'erinnern', 'minsk', 'leningrad', 'dokument', 'spät', 'papier', 'dienen', 'zweiter', 'fabrik', 'charkow', 'zurückkehren', 'ukraine', 'institut', 'leiter', 'beenden', 'nikolai', 'absolvieren', 'stelle', 'treffen', 'kgb', 'kennen', '1947', 'pass', 'sewastopol', 'lager', 'sowjetisch', 'aufnehmen', '1946', 'schule', 'ausbildung', 'kiew', 'warten', 'stalin', '1945', 'schloss', 'komsomol', 'ehemalig', 'sohn']

71 ['schäfer', 'gruppe', 'chile', 'deutschland', 'paul', 'spät', 'wussen', 'kind', 'mädchen', 'wolfgang', 'krankenhaus', 'kolonie', 'jungs', 'zeit', 'gruppentante', 'papa', 'reden', 'bibel', 'gemeinde', 'herr', 'schmidt', 'schmidtke', 'santiago', 'hartmut', 'kinderhaus', 'hopp', 'küche', 'gehören', 'wagen', 'wahnsinnig', 'tag', 'horst', 'beten', 'mitbekommen', 'schlimm', 'schlagen', 'saal', 'richtig', 'schaffen', 'versammlung', 'karl', 'berg', 'bulnes', 'peter', 'ursel', 'mücke', 'verstecken', 'familie', 'schwester', 'wusste']

72 ['deutsch', 'deutsche', 'dorf', 'erschießen', 'soldat', 'wald', 'stadt', 'haus', 'tag', 'krieg', 'erinnern', 'verstecken', 'straße', 'mensch', 'treiben', 'fliehen', 'spät', 'angst', 'partisan', 'armee', 'deutschland', 'polizist', 'front', 'truppe', 'wussten', 'schießen', 'führen', 'partisane', 'töten', 'hören', 'polizei', 'schicken', 'befreien', 'kilometer', 'schauen', 'richtung', 'lager', 'russisch', 'waffe', 'fangen', 'jude', 'pferd', 'schlagen', 'nähe', 'schaffen', 'dörfer', 'rannen', 'fuß', 'panzer', '1942']

73 ['wahr', 'herr', 'jasenovac', 'gruppe', 'warschau', 'ustascha', 'kollege', 'verschieden', 'passieren', 'normal', 'pfadfinder', 'schluß', 'gradika', 'ehemalig', 'kuckuck', 'stara', 'tonqualität', 'drüben', 'hinrichten', 'gestehen', 'aufstand', 'polnisch', 'geschichte', 'sögen', 'dauern', 'handwerker', 'vertreter', 'organisation', 'militär', 'kroate', 'bedeuten', 'erinnerung', 'verwaltung', 'nähe', 'verbinden', 'seh', 'sogenannter', 'kennen', 'schmunzeln', 'kroatien', 'einheit', 'rheydt', 'gefahrn', 'übernehmen', 'bosnien', 'werkstatt', 'pfadfind', 'serbe', 'spiegel', 'offizier']

74 ['russe', 'amerikaner', 'soldat', 'russisch', 'amerikanisch', 'deutsch', 'offizier', 'krieg', 'engländer', 'tag', 'gefangenschaft', 'ami', 'panzer', '45', 'lager', 'englisch', 'armee', 'essen', 'angst', 'sowjetisch', 'straße', 'schießen', 'uniform', 'elbe', 'erschießen', 'wussten', 'haus', 'truppe', 'vergewaltigen', 'besetzen', 'schwarz', 'kriegsend', 'zone', 'spät', 'gefangener', 'rüber', 'kommandantur', 'erleben', 'franzose', '1945', 'verstecken', 'besatzung', 'passieren', 'bremen', 'glück', 'rostock', 'brücke', 'dorf', 'schlimm', 'bauer']

75 ['45', 'zeit', '48', 'krieg', '46', '49', '47', '50', '52', 'spät', 'anfang', '51', '53', '1950', '50er', '54', '55', '56', '1945', 'gefangenschaft', '1948', 'währungsreform', '1949', '1946', 'aufbauen', '58', '1947', 'entlassen', '57', '40', 'heiraten', 'nachkriegszeit', '1951', 'lachen', '44', '1952', 'letzter', 'kriegsgefangenschaft', 'damalig', '1953', 'zone', 'stimmen', 'frankfurt', 'zurückgekommen', 'herbst', 'schwer', 'normal', 'richtig', 'gründen', '1955']

76 ['vater', 'gebären', 'krieg', 'mutter', 'eltern', 'bruder', 'schwester', 'kind', 'zeit', 'schule', 'familie', 'heiraten', 'weltkrieg', 'jahrgang', 'zweiter', 'sterben', 'kindheit', 'geschwister', 'einziehen', '39', 'spät', 'aufwachsen', 'wohnen', 'brüder', 'besuchen', 'lernen', '1940', 'beruf', 'anfang', 'erinnern', 'volksschule', '33', 'stammen', '41', '38', '22', '40', '21', '29', '1939', '34', '27', '37', 'richtig', '1938', 'fangen', '24', 'jugend', '42', '36']

77 ['stimme', 'heben', 'hauchen', 'lachen', 'stöhnen', 'lübben', 'betonen', 'jamlitz', 'stocken', 'räusperen', 'lieberose', 'verhalten', 'cottbus', 'nuschelen', 'uff', 'wahr', 'murmeln', 'russe', 'lieberos', 'schleppend', 'brechen', 'jemacht', 'luft', 'klopfen', 'stockend', 'schreien', 'husten', 'richtig', 'dehnen', 'berlin', 'aufgeregt', 'iss', 'stöhnend', 'pusten', 'geräusch', 'forst', 'flüstern', 'jaipks', 'keene', 'klatschen', 'lager', 'nuschelt', 'frage', 'tag', 'nischen', 'autogeräusch', 'blättern', 'jekriegt', 'gloobe', 'jekommen']

78 ['flüchtling', 'dorf', 'heimat', 'ort', 'berlin', 'flucht', 'ostpreuß', 'schlesien', 'hannover', 'bauer', 'bayern', 'westen', 'schön', 'hamburg', 'familie', 'kilometer', '45', 'stadt', 'königsberg', 'wohnen', 'grenze', 'land', 'flüchten', 'osten', 'breslau', 'polen', 'gegend', 'kennen', 'danzig', 'landen', 'ostpreußen', 'gehören', 'stammen', 'unterbringen', 'gebiet', 'mutter', 'thüringen', 'mecklenburg', 'bad', 'aufnehmen', 'braunschweig', 'pommern', 'nähe', 'österreich', 'niedersachsen', 'ecke', 'bauernhof', 'ruhrgebiet', 'sogenannter', 'erleben']

79 ['kind', 'mutter', 'vater', 'mädchen', 'schwester', 'eltern', 'schule', 'schön', 'haus', 'haushalt', 'zuhause', 'helfen', 'mutti', 'tochter', 'gerne', 'kochen', 'bruder', 'essen', 'familie', 'richtig', 'garten', 'abends', 'putzen', 'bett', 'tag', 'lachen', 'weinen', 'arm', 'oma', 'wohnen', 'freundin', 'krieg', 'lernen', 'krank', 'kümmern', 'puppe', 'papa', 'nett', 'lieb', 'tante', 'hand', 'zimmer', 'mütter', 'morgens', 'schlimm', 'mussen', 'wussen', 'geld', 'furchtbar', 'vati']

80 ['bauen', 'meter', 'stein', 'holz', 'wasser', 'berg', 'schwer', 'erde', 'hand', 'brücke', 'mussen', 'graben', 'straße', 'nennen', 'stelle', 'wald', 'fluss', 'wagen', 'loch', 'kiste', 'fallen', 'richtig', 'zeit', 'arbeit', 'dick', 'baum', 'boden', 'kilometer', 'fest', 'sand', 'bau', 'breit', 'mauer', 'zement', 'bretter', 'luft', 'zweiter', '50', 'draht', 'eisen', 'schaffen', 'spät', 'hart', 'verlegen', 'brechen', 'tag', 'maschine', 'löcher', 'reihe', 'passieren']

81 ['vater', 'mutter', 'eltern', 'kind', 'familie', 'großvater', 'großmutter', 'bruder', 'sterben', 'schwester', 'haus', 'großeltern', 'spät', 'oma', 'krieg', 'onkel', 'erinnern', 'zeit', 'geschwister', 'opa', 'kindheit', 'wohnen', 'gebären', 'heiraten', 'schule', 'großelter', 'verhältnis', 'sohn', 'kennen', 'erinnerung', 'tante', 'brüder', 'mütterlicherseits', 'zuhause', 'stammen', 'fallen', 'väterlicherseits', 'weltkrieg', 'gehören', 'söhne', 'papa', 'streng', 'tod', 'nennen', 'elternhaus', 'lernen', 'gerne', 'tochter', 'haushalt', 'zweiter']

