0 ['winter', 'kalt', 'schnee', 'sommer', 'holz', 'warm', 'ofen', 'heizen', 'herbst', 'kälte', 'wasser', 'arbeit', 'tag', 'schwer', 'regen', 'eis', 'frühjahr', 'wetter', 'regnen', 'mussen', 'feuer', 'füße', 'kohle', 'frost', 'gefroren', 'fuß', 'schlitt', 'zeit', 'wind', 'fallen', 'frühling', 'heiß', 'kleidung', 'kilometer', 'frieren', 'nass', 'wald', 'anziehen', 'hart', 'erfrieren', 'schuh', 'heizung', 'berg', 'sonne', 'zelt', 'decken', 'öfen', 'nachts', 'sammeln', 'bein']
9 ['stein', 'meter', 'hand', 'maschine', 'schwer', 'dick', 'arbeit', 'mussen', 'holz', 'kiste', 'bauen', 'eisen', 'nennen', 'ring', 'richtig', 'loch', 'fest', 'zeigen', 'drehen', 'löcher', 'draht', 'form', 'bohren', 'verschieden', 'erde', 'stelle', 'zentimeter', 'kilo', 'material', 'motor', 'blech', 'tonne', 'sand', 'wagen', 'fallen', 'art', 'stange', 'kasten', 'finger', 'boden', 'kaputt', 'spät', 'breit', 'farbe', 'papier', 'kette', 'passen', 'dinger', 'brechen', '50']

10 ['zeit', 'erinnern', 'spät', 'richtig', 'gehören', 'frage', 'erleben', 'geschichte', 'erinnerung', 'mensch', 'passieren', 'kennen', 'wussen', 'gefühl', 'merken', 'reden', 'hören', 'versuchen', 'situation', 'erfahrung', 'art', 'gespräch', 'erfahren', 'empfinden', 'normal', 'gewiß', 'positiv', 'bewusst', 'interessant', 'sinn', 'erklären', 'erlebnis', 'weise', 'fallen', 'führen', 'fühlen', 'eindruck', 'besonderer', 'negativ', 'mitkriegen', 'mitbekommen', 'bild', 'gedanke', 'stimmen', 'beschreiben', 'zeigen', 'schlimm', 'anfang', 'absolut', 'rolle']

11 ['ausstellung', 'stadt', 'gedenkstätte', 'museum', 'geschichte', 'ort', 'arbeit', 'gruppe', 'veranstaltung', 'verein', 'projekt', 'ehemalig', 'jüdisch', 'idee', 'haus', 'nationalsozialismus', 'einladen', 'unterstützen', 'düsseldorf', 'zeigen', 'einrichtung', 'vortrag', 'gesellschaft', 'gründen', 'stelle', 'pädagogisch', 'anfang', 'initiative', 'villa', 'historisch', 'mitglied', 'schüler', 'forschung', 'presse', 'programm', 'gemeinde', 'politisch', 'unterschiedlich', 'vorstand', 'unterstützung', 'führung', 'engagieren', 'interessant', 'opfer', 'entstehen', 'stadtarchiv', 'führen', 'synagoge', 'öffentlichkeit', 'achtziger']

12 ['zeitung', 'herr', 'westfalenpost', 'sträter', 'verlag', 'redaktion', 'redakteur', 'artikel', 'lizenz', 'chefredakteur', 'druckerei', 'soest', 'butz', 'hanke', 'drucken', 'westfälisch', 'hagen', 'handelsblatt', 'lensing', 'westdruck', 'rundschau', 'verleger', 'vogel', 'journalist', 'ausgabe', 'dortmund', 'intavpch', 'dr', 'siegen', 'presse', 'schmelzer', 'altverleger', 'druck', 'kurier', 'papier', 'redakteure', 'intavpn', 'pesch', 'gehören', 'anzeige', 'technisch', 'weiss', 'richtig', 'lachend', 'nachricht', 'lippstadt', 'gebiet', 'schließen', 'blatt', 'technik']

13 ['heinrich', 'dritter', 'reich', 'paderborn', 'graf', 'bad', 'george', 'gustav', 'edith', 'coburg', 'arm', 'gold', 'sorgen', 'nennen', 'jan', 'stolz', 'dreimal', 'schwelm', 'götz', 'adolf', 'hagen', 'stolpe', 'gemeinde', 'vierter', 'adel', '2t', '2ter', 'lübke', 'typ', 'silber', 'gelten', 'werk', 'verbieten', 'bismarck', 'margot', 'heilig', 'manfred', 'saar', 'schloss', 'blau', 'wahnsinnig', 'kritik', 'welt', 'begeistert', 'idiot', 'gewinnen', 'dasein', 'bronze', 'elend', 'benehmen']

