0 ['winter', 'kalt', 'schnee', 'sommer', 'holz', 'warm', 'ofen', 'heizen', 'herbst', 'kälte', 'wasser', 'arbeit', 'tag', 'schwer', 'regen', 'eis', 'frühjahr', 'wetter', 'regnen', 'mussen', 'feuer', 'füße', 'kohle', 'frost', 'gefroren', 'fuß', 'schlitt', 'zeit', 'wind', 'fallen', 'frühling', 'heiß', 'kleidung', 'kilometer', 'frieren', 'nass', 'wald', 'anziehen', 'hart', 'erfrieren', 'schuh', 'heizung', 'berg', 'sonne', 'zelt', 'decken', 'öfen', 'nachts', 'sammeln', 'bein']
35 ['russe', 'soldat', 'russisch', 'tag', 'angst', 'deutsch', 'dorf', 'straße', 'erschießen', 'amerikaner', 'haus', 'offizier', 'verstecken', 'ort', 'krieg', 'schießen', 'wagen', 'wald', 'wussten', 'bauer', '45', 'passieren', 'schlimm', 'gehören', 'keller', 'kilometer', 'ami', 'flucht', 'essen', 'vergewaltigen', 'panzer', 'mussen', 'hören', 'flüchtling', 'unterwegs', 'flüchten', 'abhauen', 'richtung', 'glück', 'erleben', 'rüber', 'spät', 'polen', 'fuß', 'nachts', 'plündern', 'kaputt', 'uniform', 'gefangener', 'mädchen']

36 ['spät', 'kennen', 'konzert', 'punk', 'düsseldorf', 'mettmann', '79', '78', 'richtig', 'sommer', '81', 'echt', '80', 'krause', 'typ', 'gehören', 'jasper', 'scheiße', '77', 'platte', '1980', 'herbst', 'luis', 'zeit', 'anfang', 'komisch', 'geil', 'gitarre', 'vd', 'festival', 'lernen', 'campino', 'zweiter', 'dokie', 'absolut', 'proben', 'szene', 'tony', 'berlin', '76', 'hof', 'aram', 'rockon', 'straße', 'holland', 'schule', 'gründen', 'nummer', 'sänger', 'deutschland']

37 ['hitler', 'nazi', 'vater', 'krieg', '33', 'partei', 'politisch', 'zeit', 'bdm', 'deutsch', 'hitlerjugend', 'uniform', 'nationalsozialismus', 'jungvolk', 'heil', 'gehören', 'führer', 'erinnern', 'fahne', 'lachen', 'kommunist', 'sa', 'nsdap', 'nationalsozialistisch', 'nennen', 'mitmachen', 'spät', '1933', 'nazizeit', 'kennen', 'adolf', '38', '34', 'nazis', 'marschieren', 'hj', '36', 'politik', 'antreten', 'schule', 'jugend', 'straße', '35', 'braun', 'reich', '45', 'nationalsozialist', 'arbeitsdienst', 'jude', 'organisation']

38 ['zeit', 'schwer', 'kind', 'familie', 'schön', 'mensch', 'arbeit', 'gerne', 'schaffen', 'versuchen', 'helfen', 'gefühl', 'erleben', 'fühlen', 'schlecht', 'schlimm', 'eltern', 'richtig', 'zufrieden', 'merken', 'problem', 'froh', 'beruf', 'glücklich', 'erfahrung', 'möglichkeit', 'lernen', 'verlieren', 'fallen', 'gedanke', 'überlegen', 'frage', 'beziehung', 'anfang', 'wünschen', 'situation', 'entscheiden', 'hart', 'welt', 'glück', 'aufbauen', 'freude', 'freuen', 'hoffen', 'leisten', 'wunsch', 'gewiß', 'letzter', 'empfinden', 'gott']

39 ['walter', 'hans', 'herr', 'fritz', 'hermann', 'karl', 'werner', 'peter', 'müller', 'kennen', 'willi', 'schmidt', 'tot', 'heinz', 'franz', 'kurt', 'erich', 'ernst', 'otto', 'sterben', 'doktor', 'paul', 'nennen', 'sohn', 'max', 'herbert', 'josef', 'wilhelm', 'letzter', 'wohnen', 'stimmen', 'schneider', 'herrn', 'meier', 'geschichte', 'göring', 'gerhard', 'heinrich', 'ludwig', 'adresse', 'freund', 'kommunist', 'albert', 'gehören', 'nattke', 'klaus', 'bernhard', 'georg', 'meyer', 'becker']

40 ['zeit', '48', '45', '46', '49', '47', '50', 'spät', '52', 'anfang', '51', '53', '1950', '50er', 'krieg', '54', '55', '1949', '1948', '56', '1945', '1951', '1947', '1946', '57', 'lachen', 'aufbauen', 'währungsreform', '1952', 'nachkriegszeit', '1953', '1954', 'stimmen', '58', 'heiraten', 'richtig', 'gefangenschaft', 'damalig', 'zweiter', 'normal', 'erinnern', 'gründen', 'entlassen', '40', 'moment', '1955', 'warten', 'frage', 'kriegsgefangenschaft', 'drüben']

41 ['deutsch', 'lernen', 'sprache', 'englisch', 'russisch', 'französisch', 'schule', 'hebräisch', 'übersetzen', 'kennen', 'deutschland', 'jiddisch', 'griechisch', 'unterhalten', 'reden', 'schrift', 'besuchen', 'unterrichten', 'beibringen', 'spanisch', 'anfang', 'perfekt', 'latein', 'buchstabe', 'schwer', 'akzent', 'england', 'vergessen', 'zeit', 'lehrer', 'literatur', 'zuhause', 'verständigen', 'hören', 'lateinisch', 'wörter', 'deutsche', 'dialekt', 'mensch', 'kurs', 'nennen', 'stunde', 'richtig', 'antworten', 'fließend', 'grammatik', 'beherrschen', 'helfen', 'bücher', 'bedeuten']

42 ['bild', 'foto', 'zeigen', 'fotografieren', 'schön', 'aufnehmen', 'aufnahme', 'fotograf', 'gerne', 'spät', 'album', 'buch', 'mitbringen', 'kamera', 'nummer', 'fotografie', 'schicken', 'erkennen', 'hängen', 'fotos', 'warten', 'museum', 'fotoapparat', 'mitte', 'film', 'aussehen', 'moment', 'angucken', 'dokument', 'schauen', 'sohn', 'entstehen', 'zeitung', 'blättern', 'besuch', 'hochzeit', 'malen', 'zeign', 'platz', 'linker', 'licht', 'fallen', 'schade', 'rechter', 'tagebuch', 'harald', 'sammeln', 'aufgeschrieben', 'erinnerung', 'spiegel']

43 ['politisch', 'mensch', 'meinung', 'frage', 'staat', 'ddr', 'politik', 'diskutieren', 'zeit', 'richtig', 'reden', 'land', 'diskussion', 'partei', 'deutschland', 'versuchen', 'gehören', 'hören', 'sozialismus', 'bundesrepublik', 'system', 'führen', 'welt', 'ansicht', 'drüben', 'sinn', 'entwicklung', 'freiheit', 'gewiß', 'sozial', 'sozialistisch', 'erleben', 'einstellung', 'auseinandersetzung', 'überzeugen', 'demokratie', 'regierung', 'grunde', 'wahr', 'problem', 'krieg', 'westen', 'rolle', 'frieden', 'kommunismus', 'kommunist', 'fortschritt', 'wirtschaftlich', 'gedanke', 'falsch']

44 ['naturschutz', 'kreis', 'herr', 'beirat', 'stadt', 'landschaft', 'natur', 'naturschutzgebiet', 'behörde', 'kennen', 'bereich', 'vorsitzend', 'doktor', 'amt', 'kreisbeauftragt', 'regierungspräsident', 'tätigkeit', 'stellungnahme', 'fläche', 'naturschützer', 'düsseldorf', 'gemeinde', 'kreisbeauftragter', 'bezirksbeauftragt', 'beauftragt', 'zeit', 'naturschutze', 'landschaftsbeirat', 'bund', 'neuss', 'gehören', '75', 'ehrenamtlich', 'landwirtschaft', 'beauftragter', 'mitglied', 'landschaftsgesetz', 'naturschutzbeauftragter', 'interessant', 'kollege', 'problem', 'lehrer', 'landschaftsschutz', 'gebiet', 'verwaltung', 'münster', 'kontakt', 'vertreter', 'wald', 'bezirksregierung']

45 ['haus', 'straße', 'wohnen', 'bauen', 'schön', 'stadt', 'garten', 'grundstück', 'kennen', 'gehören', 'gebäude', 'hof', 'platz', 'kaufen', 'ecke', 'park', 'nachbar', 'gewohnen', 'siedlung', 'häuschen', 'verkaufen', 'richtig', 'nähe', 'zeit', 'abreißen', 'aufbauen', 'gegend', 'familie', 'nachbarschaft', 'kind', 'wunderschön', 'spät', 'gelände', 'fenster', 'auto', 'wohnung', 'bild', 'ort', 'schloss', 'wald', 'meter', 'wunderbar', 'grün', 'land', 'krieg', 'villa', 'zerstören', 'sommer', 'dorf', 'stein']

46 ['schön', 'urlaub', 'tag', 'woche', 'reise', 'hotel', 'zeit', 'gerne', 'feri', 'fahrt', 'sommer', 'auto', 'berg', 'reisen', 'besuchen', 'spät', 'richtig', 'lachen', 'kennen', 'unterwegs', 'kind', 'wunderschön', 'bus', 'herrlich', 'freude', 'ostsee', 'ort', 'wandern', 'gegend', 'tochter', 'fliegen', 'nett', 'kilometer', 'kosten', 'ausland', 'schweiz', 'hinfahren', 'land', 'wunderbar', 'fahrrad', 'letzter', 'meer', 'zweimal', 'verbringen', 'hingefahren', 'einladen', 'österreich', 'bezahlen', 'insel', 'privat']

47 ['nähen', 'anziehen', 'hose', 'kleidung', 'stoff', 'schuh', 'kleid', 'schön', 'kaufen', 'schwarz', 'stricken', 'kleider', 'anzug', 'blau', 'mädchen', 'mantel', 'rot', 'mutter', 'jacke', 'uniform', 'stiefel', 'hemd', 'rock', 'bluse', 'pullover', 'zeit', 'hosen', 'grün', 'farbe', 'strümpf', 'schneider', 'lernen', 'stopfen', 'kittel', 'mütze', 'leder', 'klamotte', 'tasche', 'nähmaschine', 'arm', 'winter', 'grau', 'richtig', 'schenken', 'mitbringen', 'freundin', 'färben', 'hand', 'braun', 'tuch']

48 ['geld', 'bezahlen', 'rente', 'zahlen', 'prozent', 'verdienen', '50', 'kosten', 'staat', 'euro', 'gehalt', 'steuer', 'million', 'zahl', 'schaffen', '500', 'rechnen', 'lohn', '400', 'entschädigung', 'letzter', '200', '600', 'gehören', 'auszahlen', 'dm', 'hälfte', '1000', 'verkaufen', 'summe', 'preis', '300', 'finanziell', 'pfennig', '80', 'versicherung', 'kredit', 'stunde', 'grund', '2000', '70', '800', '150', 'bauen', 'gesetz', 'wert', 'versichern', 'sozial', 'miete', 'löhne']

49 ['österreich', 'prag', 'tschechisch', 'tscheche', 'wien', 'deutsch', 'tschechoslowakei', 'lager', 'grenze', 'tschechei', 'tschechien', 'linz', 'sudetenland', 'österreicher', 'ungarn', 'theresienstadt', 'ort', 'reusch', 'berg', 'österreichisch', 'deutschland', 'transport', 'reich', 'gehören', 'lengefeld', 'esk', 'republik', 'richtung', 'slowakei', 'herr', 'böhmen', 'berlin', '1945', 'schloss', 'saaz', 'prager', 'graz', 'budjovice', 'armee', 'bratislava', 'cssr', '1968', 'gebirge', 'aussig', 'hermann', 'radio', 'unterbringen', 'hotel', 'salzburg', '38']

50 ['polen', 'polnisch', 'deutsch', 'pole', 'deutschland', 'flüchtling', 'grenze', 'deutsche', 'familie', 'warschau', 'schlesien', 'krieg', 'land', 'gebiet', 'breslau', 'flüchten', 'russe', 'ostpreuß', 'stadt', 'heimat', 'russisch', 'danzig', 'osten', 'krakau', 'sprache', 'pos', 'gehören', 'russland', 'litauen', 'wohnen', 'geschichte', 'gegend', 'fliehen', 'polin', 'westen', 'lodz', 'königsberg', 'lettland', 'ostpreußen', 'stettin', '1939', 'flucht', 'oberschlesi', 'regierung', 'nennen', 'berlin', 'aufstand', '39', 'kilometer', 'schlesier']

51 ['dorf', 'kolchose', 'krieg', 'sterben', 'mensch', 'armee', 'iwan', 'spät', 'kolchos', 'mhmh', 'deutschland', 'ukraine', 'bauen', 'gebiet', 'kiew', 'kyjiw', 'schicken', 'schule', 'charkiw', 'treffen', 'haus', 'mädchen', 'land', 'vorsitzend', 'station', 'kohlengrube', 'kuh', 'oma', 'vergessen', 'hungersnot', 'heim', 'einberufen', 'nadja', '1933', 'erinnern', 'dorfsowjet', 'kreis', 'traktor', 'browary', 'kennen', 'rubel', 'kurzum', 'km', 'hunger', 'revolution', 'pferd', 'ukrainisch', 'jungs', '1947', 'aufnehmen']

52 ['lachen', 'mensch', 'schön', 'richtig', 'gott', 'tag', 'kennen', 'gehören', 'hören', 'angst', 'schlimm', 'wussen', 'sögen', 'ehrlich', 'gerne', 'rüber', 'hand', 'kaputt', 'passieren', 'drüben', 'schlecht', 'fallen', 'letzter', 'stimmen', 'ecke', 'kopf', 'ruhig', 'zeit', 'reden', 'geh', 'warten', 'tür', 'hauen', 'angucken', 'merken', 'lieber', 'dick', 'lieb', 'hingehen', 'abends', 'woche', 'kollege', 'schluss', 'passen', 'tisch', 'herr', 'dumm', 'unterhalten', 'tot', 'verrückt']

53 ['kirche', 'apostel', 'stammapostel', 'gemeinde', 'gottesdienst', 'botschaft', 'neuapostolisch', 'bischoff', 'kuhlen', 'kuhl', 'güttinger', 'vater', 'bezirksapostel', 'düsseldorf', 'apostolisch', 'bezirk', 'vorsteher', 'bischof', 'amt', 'grunde', 'priester', 'otto', 'gott', 'erleben', 'herr', 'predigen', 'sterben', 'kennen', 'nak', 'geschwister', 'nachfolger', 'gottesdienste', 'vag', 'schweiz', 'schmidt', 'trennung', 'ruhestand', 'streckeise', 'frankfurt', 'stelle', 'familie', 'schrift', 'sohn', 'gehören', 'diakon', 'gedanke', 'passieren', '1960', 'mitglied', 'verteilen']

54 ['kind', 'tochter', 'sohn', 'gebären', 'familie', 'zweiter', 'enkel', 'heiraten', 'mädchen', 'sterben', 'verheiraten', 'mutter', 'wohnen', 'söhne', 'schwanger', 'haus', 'schön', 'baby', 'geburt', 'töchter', 'schule', 'welt', 'schwiegersohn', 'enkelin', 'lernen', 'dritter', 'schwiegertochter', 'enkelkinder', 'enkelkind', 'kennen', 'mutti', 'helfen', 'krankenhaus', 'gott', 'oma', 'woche', 'kümmern', 'arzt', 'letzter', 'mütter', 'studieren', 'erziehen', 'urenkel', 'alter', 'älte', 'lieben', 'kinderheim', 'schwiegermutter', 'hören', '40']

55 ['mädchen', 'fünfzehn', 'jugend', 'sechzehn', 'achtzehn', 'jungs', 'siebzehn', 'vierzehn', 'gruppe', 'vierzig', 'alter', 'fünfzig', 'dreizehn', 'jugendlich', 'nennen', 'neunzehn', 'fünfundzwanzig', 'mädel', 'richtig', 'sechzig', 'mädels', 'herr', 'jugendliche', 'heimlich', 'einundzwanzig', 'jungens', 'siebzig', 'jugendbewegung', 'hart', 'achtzig', 'treffen', 'üblich', 'zweiundzwanzig', 'elf', 'tanzen', 'pfadfinder', 'unterschied', 'jugendgruppe', 'knapp', 'liebe', 'spät', 'kennen', 'echt', 'aufklären', 'fünfundvierzig', 'sexuell', 'dreiundzwanzig', 'siebenundzwanzig', 'wandern', 'bund']

56 ['fernsehen', 'radio', 'rundfunk', 'sendung', 'sender', 'köln', 'hören', 'fernseher', 'nachricht', 'wdr', 'gehören', 'programm', 'berlin', 'journalist', 'zeitung', 'lachen', 'hamburg', 'intendant', 'studio', 'deutsch', 'welle', 'westdeutsch', 'zdf', 'senden', 'spät', 'schulz', 'bismarck', 'funkhaus', 'herr', 'technisch', 'abends', 'kennen', 'techniker', 'geraten', 'dritter', 'frage', 'volksempfänger', 'minute', 'chef', 'interviewpartnerin', 'nedeleanu', 'kölner', 'zeit', 'eduard', 'apparat', 'antenne', 'musik', 'reporter', 'kollege', 'redakteur']

57 ['armee', 'stadt', 'schicken', 'abschließen', 'gebiet', 'krieg', 'moskau', 'arbeit', 'institut', 'rubel', 'charkow', 'leningrad', 'sewastopol', 'sohn', 'nikolai', 'dienen', 'stelle', 'kiew', 'ausbildung', 'klasse', 'rostow', 'deutschland', 'absolvieren', 'ukraine', 'leiter', 'taganrog', 'fabrik', 'gebären', 'beenden', 'schule', 'minsk', 'andrej', '1947', 'wohnung', 'technisch', 'fachschule', 'schloss', 'zurückkehren', 'wiktor', 'entlassen', '1949', 'gomel', 'iwanowitsch', 'ukrainisch', 'offizier', 'werk', 'tochter', 'versetzen', 'berufsschule', 'michail']

58 ['tag', 'stunde', 'abends', 'woche', 'morgens', 'zeit', 'arbeit', 'essen', 'abend', 'schlafen', 'nachts', 'mittags', 'nachmittags', 'bett', 'sonntags', 'spät', 'aufstehen', 'wochenende', 'nachmittag', 'mittag', 'samstags', 'schön', 'mittagessen', 'mussen', 'minute', 'elf', 'vierzehn', 'viertel', 'richtig', 'gegessen', 'letzter', 'tagsüber', 'unterwegs', 'wecken', 'dauern', 'frühstück', 'feierabend', 'arbeitszeit', 'zweimal', 'schluss', 'zuhause', 'schlecht', 'anderthalb', 'normal', 'fangen', 'warten', 'freizeit', 'kaffee', 'schicht', 'müde']

59 ['partei', 'mitglied', 'sed', 'genosse', 'politisch', 'funktion', 'versammlung', 'vorsitzend', 'parteisekretär', 'direktor', 'mensch', 'kommunistisch', 'arbeit', 'kommunist', 'sekretär', 'arbeiter', 'kreis', 'treten', 'kreisleitung', 'genießen', 'parteimitglied', 'spät', 'sozialistisch', 'betrieb', 'berlin', 'kennen', 'gespräch', 'funktionär', 'genossenschaft', 'meinung', 'stellvertretend', 'gründen', 'parteilos', 'parteigenosse', 'national', 'dfd', 'frage', 'ddr', 'spd', 'bezirk', 'überzeugen', 'kpd', 'übernehmen', 'leiter', 'vergangenheit', 'parteischule', 'austreten', 'nennen', 'vereinigung', 'ndpd']

60 ['lehrer', 'schule', 'schüler', 'klasse', 'unterricht', 'unterrichten', 'gymnasium', 'geschichte', 'lehrerin', 'direktor', 'abitur', 'fach', 'pädagogisch', 'schulleiter', 'spät', 'stunde', 'oberschule', 'mathematik', 'kollege', 'prüfung', 'schulrat', 'lernen', 'studium', 'physik', 'studieren', 'chemie', 'zehnter', 'ausbildung', 'schulzeit', 'fächer', 'eltern', 'mathe', 'deutsch', 'zweiter', 'arbeitsgemeinschaft', 'biologie', 'wussen', 'fächern', 'neunter', 'schuldienst', 'fallen', 'arbeit', 'realschule', 'rektor', 'grundschule', 'lehrplan', 'ausbilden', 'klassenlehrer', 'geographie', 'vorbereiten']

61 ['bauen', 'bau', 'haus', 'maurer', 'zimmermann', 'baustelle', 'arbeit', 'architekt', 'aufbauen', 'kennen', 'gebäude', 'stein', 'ziegel', 'dach', 'meter', 'zement', 'spät', 'helfen', 'tischler', 'handwerker', 'holz', 'fundament', 'material', 'zeit', 'elektriker', 'richtig', 'ingenieur', 'arbeiter', 'verlegen', 'mauer', 'bauarbeiter', 'wahr', 'abreißen', 'zeichnung', 'plan', 'decken', 'kaputt', 'sägewerk', 'turm', 'nennen', 'wände', 'reparieren', '500', 'leitung', 'beruf', 'kutzner', 'mauern', 'krieg', 'mussen', 'reihe']

62 ['zeit', '90', '80', '89', '85', '83', '86', '84', '88', '82', '92', '93', '87', '91', 'letzter', '96', 'anfang', '95', 'mitte', '81', '1990', '90er', 'relativ', '79', '94', '98', 'richtig', 'sommer', '99', '78', '1980', 'woche', 'überlegen', '2000', 'schluss', '80er', 'prinzip', 'auflösen', 'ausbildung', '2006', '1986', 'verschieden', '97', 'kümmern', 'job', 'nebenbei', 'privat', 'zeitpunkt', 'mittlerweile', 'beruflich']

63 ['deutsche', 'deutsch', 'dorf', 'krieg', 'erinnern', 'deutschland', 'erschießen', 'haus', 'wald', 'soldat', 'partisan', 'verstecken', 'tag', 'straße', 'stadt', 'partisane', 'mensch', 'treiben', 'spät', 'armee', 'minsk', 'front', 'truppe', 'polizist', 'mutter', 'angst', 'töten', 'fliehen', 'schicken', 'verschleppen', 'wussten', 'zeit', 'kilometer', 'dörfer', 'befreien', 'familie', 'führen', '1942', 'vater', 'zurückkehren', '1941', 'kolchose', 'fuß', 'erfahren', 'schaffen', 'gehören', 'verbrennen', '1943', 'überleben', 'schauen']

64 ['hagen', 'dortmund', 'herr', 'ministerium', 'gebäude', 'minister', 'rau', 'fachhochschule', 'lachen', 'fernuniversität', 'bartz', 'düsseldorf', 'steinwache', 'hüsteln', 'bochum', 'stadt', 'kanzler', 'spät', 'damalig', 'unterbringen', 'kennen', 'johannes', 'villa', 'gummersbach', 'referent', 'professor', 'gespräch', 'staatssekretär', 'ministerpräsident', 'dortmunder', 'kontakt', 'bauen', 'bittermark', 'iserlohn', 'peters', 'verwaltung', 'innenminister', 'jugendring', 'oberbürgermeister', 'finanzminister', 'uni', 'bau', 'haspe', 'sitzung', 'planen', 'rolf', 'land', 'interessant', 'heyde', 'anmieten']

65 ['italienisch', 'italiener', 'italien', 'hamburg', 'deutsch', 'firma', 'arbeiter', 'bahn', 'deutschland', 'mitarbeiter', 'ausländisch', 'konsulat', 'ausländer', 'herr', 'sogenannter', 'mussolini', 'tätigkeit', 'arbeit', 'bahnhof', 'wilhelmsburg', 'türke', 'siebziger', 'kühn', 'gastarbeiter', 'anfang', 'sizilien', 'organisieren', 'zweiter', 'mailand', 'spät', 'problem', 'rom', 'griechenland', 'venedig', 'richtig', 'terrazzo', 'sechziger', 'verona', 'neapel', 'bundesbahn', 'hamburgsüd', 'beschäftigen', 'wohnheim', 'einstellen', 'weltkrieg', 'arbeitsamt', 'pci', 'buchholz', 'grieche', 'veranstaltung']

66 ['lager', 'tag', 'auschwitz', 'mensch', 'erinnern', 'arbeit', 'wussten', 'zeit', 'sterben', 'gruppe', 'deutsch', 'baracke', 'spät', 'nummer', 'essen', 'überleben', 'deutsche', 'ort', 'block', 'barack', 'jude', 'häftling', 'art', 'transport', 'ss', 'schicken', 'wussen', 'fabrik', 'konzentrationslager', 'appell', 'befreien', 'mädchen', 'marschieren', 'bergen', 'belsen', 'passieren', 'zählen', 'schauen', 'buchenwald', 'dachau', 'krank', 'brot', 'schrecklich', 'platz', 'reihe', 'kapo', 'selektion', 'töten', 'krematorium', 'befreiung']

67 ['krupp', 'essen', 'verein', 'bochum', 'bochumer', 'bandzerrung', 'krieg', 'firma', 'wohnen', 'hattingen', 'mülheim', 'straße', 'betrieb', 'borbeck', 'kruppsch', 'kennen', 'lachen', 'heimaterde', 'wattenscheid', 'parallel', 'arbeiter', 'zeit', 'beschäftigen', 'herr', 'essener', 'gehören', 'stadt', 'kruppianer', 'zeche', 'altendorf', 'straßenbahn', 'steel', 'ruhr', 'reden', 'essenwest', 'bentheim', 'meister', 'wohnung', 'kaputt', 'hermann', 'direktor', 'entlassen', 'sozial', 'angestellter', 'ecke', 'holsterhausen', 'kenn', 'räusperen', 'leise', 'kruppschen']

68 ['kommunist', 'kommunistisch', 'rot', 'politisch', 'partei', 'kpd', 'gruppe', 'sozialdemokrat', 'spät', '33', 'jugend', 'hamburg', 'verhaften', 'verbieten', 'spd', 'polizei', 'hamburger', 'sozialdemokratisch', 'genosse', 'mitglied', 'faschismus', 'nennen', 'spanien', 'demonstration', 'illegal', 'arbeiter', 'bürgerlich', 'treffen', 'organisation', 'bewegung', 'versöhnler', 'freund', 'lokal', 'straße', 'international', 'diskutieren', 'zeit', 'widerstand', 'karl', 'thälmann', 'antifaschistisch', 'weltkrieg', 'organisieren', 'antifa', 'kj', 'gestapo', 'revolutionär', 'saj', 'deutschland', 'nazi']

69 ['stimme', 'heben', 'hauchen', 'lachen', 'stöhnen', 'betonen', 'verhalten', 'lübben', 'jemacht', 'räusperen', 'nuschelen', 'stocken', 'murmeln', 'schleppend', 'wahr', 'husten', 'luft', 'richtig', 'schreien', 'aufgeregt', 'dehnen', 'jekriegt', 'geräusch', 'klatschen', 'stockend', 'jesacht', 'nuschelt', 'klopfen', 'uff', 'flüstern', 'jamlitz', 'nüscht', 'autogeräusch', 'jekommen', 'frage', 'keene', 'berlin', 'günter', 'jawoll', 'russe', 'unjefähr', 'erstaunt', 'jearbeitet', 'eko', 'abgehacken', 'jegeben', 'cottbus', 'gesehn', 'jenau', 'ruhig']

70 ['gericht', 'prozess', 'richter', 'urteil', 'akte', 'verurteilen', 'anwalt', 'rechtsanwalt', 'verfahren', 'staatsanwalt', 'verhandlung', 'stasi', 'aussagen', 'herr', 'gesetz', 'zeuge', 'justiz', 'landgericht', 'strafe', 'staatsanwaltschaft', 'prozesse', 'gehören', 'vertreten', 'jurist', 'spät', 'aussage', 'bestrafen', 'gefängnis', 'zeugen', 'paragraph', 'geschichte', 'gerichtsverhandlung', 'beantragen', 'praxis', 'amtsgericht', 'juristisch', 'nürnberger', 'bundesrepublik', 'führen', 'angeklagter', 'verteidigen', 'anklagen', 'staatssicherheit', 'schuld', 'verbrechen', 'ministerium', 'klage', 'dauern', 'unterschreiben', 'stimmen']

71 ['dresden', 'leipzig', 'sachsen', 'stadt', 'rostock', 'chemnitz', 'thüringen', 'schwerin', 'erfurt', 'jena', 'bad', 'magdeburg', 'westen', 'berlin', 'görlitz', 'mecklenburg', 'straßenbahn', 'sächsisch', 'drüben', 'schön', 'erzgebirge', 'plau', 'grenze', 'halle', 'wohnen', 'karlmarxstadt', 'saalfeld', 'karl', 'drinnen', 'ddr', 'armee', 'thüringer', 'weimar', 'naumburg', 'wittenberg', 'eisenach', 'stettin', 'marx', 'treffen', 'gegend', 'freiberg', 'riesa', 'gera', 'meiningen', 'nähe', 'heimat', 'netzschkau', 'offen', 'hennlein', 'dresdner']

72 ['berlin', 'köln', 'münchen', 'frankfurt', 'düsseldorf', 'bonn', 'bayern', 'stuttgart', 'berliner', 'wuppertal', 'schön', 'stadt', 'westfalen', 'kölner', 'hagen', 'rheinland', 'rhein', 'hannover', 'nürnberg', 'ulm', 'bad', 'hessen', 'nähe', 'godesberg', 'fulda', 'ruhrgebiet', 'verbindung', 'koblenz', 'main', 'freiburg', 'bayer', 'preußisch', 'hamburg', 'gott', 'eifel', 'mainz', 'frankfurter', 'münster', 'bruder', 'nordrhein', 'bayerisch', 'süddeutschland', 'schwäbisch', 'grunde', 'verlieren', 'regensburg', 'schicken', 'bielefeld', 'würzburg', 'versetzen']

73 ['mutter', 'tante', 'onkel', 'schwester', 'kind', 'tant', 'cousine', 'vater', 'cousin', 'familie', 'bruder', 'erinnern', 'wohnen', 'oma', 'haus', 'spät', 'tochter', 'sterben', 'erinnerung', 'verwandter', 'mädchen', 'besuch', 'krieg', 'besuchen', 'großmutter', 'dorf', 'puppe', 'kennen', 'freundin', 'schicken', 'schule', 'fallen', 'verwandt', 'verwandtschaft', 'flüchtling', 'abholen', 'verwandte', 'nett', 'wohnung', 'hof', 'verbindung', 'mutti', 'vetter', 'sohn', 'aufnehmen', 'schenken', 'helfen', 'schön', 'überleben', 'letzter']

74 ['sterben', 'friedhof', 'tot', 'beerdigen', 'grab', 'beerdigung', 'begraben', 'tod', 'gräber', 'leiche', 'tote', 'sarg', 'mensch', 'spät', 'erschießen', 'verstorben', 'stein', 'erkennen', 'umkommen', 'grube', 'besuchen', 'pflegen', 'krank', 'massengräber', 'kranz', 'massengrab', 'grabstein', 'zeigen', 'verbrennen', 'erde', 'erinnerung', 'friedhöfe', 'aufstellen', 'traurig', 'kreuz', 'lebend', 'hingefahren', '50', 'denkmal', 'knochen', 'beisetzen', 'typhu', 'hunger', 'überleben', 'tag', 'schrecklich', 'spur', 'grabsteine', 'blume', 'abschließen']

75 ['arbeit', 'meister', 'fabrik', 'werk', 'betrieb', 'maschine', 'schicht', 'tag', 'arbeiter', 'stunde', 'schwer', 'verdienen', 'zeit', 'schlosser', 'werkstatt', 'herstellen', 'ingenieur', 'vorarbeiter', 'abteilung', 'nachtschicht', 'einstellen', 'ofen', 'akkord', 'hochofen', 'produktion', 'chef', 'lohn', 'arbeitsplatz', 'norm', 'geld', 'verschieden', 'schaffen', 'lernen', 'hand', 'betreiben', 'hütte', 'halle', 'dreher', 'werkzeug', 'bedienen', 'ordnung', 'einsetzen', 'öfen', 'produzieren', 'firma', 'kran', 'schweißen', 'kollege', 'drehen', 'lohngruppe']

76 ['lager', 'baracke', 'buchenwald', 'jamlitz', 'barack', 'russe', 'lazarett', 'tor', 'iphe', 'russisch', 'deutsch', 'häftling', 'tag', 'ketschendorf', 'intavp', 'brot', 'zone', 'posten', 'küche', 'offizier', 'melder', 'verpflegung', '46', '47', 'mühlberg', 'zaun', 'entlassung', 'sachsenhause', 'transport', 'möglichkeit', 'kommandant', 'zeit', 'jugendliche', 'jugendlich', 'essen', 'unterbringen', 'sergeanten', 'antreten', 'bunker', 'kommando', 'extra', 'raum', 'kontakt', '48', 'appellplatz', 'bäckerei', 'sogenannter', 'russland', 'barackenälteste', 'bataillon']

