0 ['keller', 'bombe', 'flugzeug', 'bunker', 'fliegen', 'krieg', 'haus', 'angriff', 'bombardieren', 'fallen', 'bombenangriff', 'hören', 'alarm', 'treffen', 'brennen', 'kaputt', 'stadt', 'zerstören', 'schlimm', 'flieger', 'schießen', 'spät', 'passieren', 'erleben', 'angst', 'nähe', 'fliegeralarm', 'luftschutzkeller', 'straße', 'transkript', 'evakuieren', 'amerikaner', 'tot', 'nachts', 'bomben', 'umkommen', 'ausgebombt', 'zerbombt', 'erinnern', 'luftangriffe', '43', 'pilot', 'luft', 'verbrennen', 'abschießen', 'splitter', 'letzter', 'schrecklich', 'explodieren', 'engländer', 'retten', 'kind', 'bauen', 'wohnen', 'tag', 'erde', 'amerikanisch', 'furchtbar', 'tiefflieger', 'luftangriff', 'bombardierung', 'dach', 'feuer', 'stelle', 'trümmer', 'werfen', 'himmel', 'siren', 'flamme', 'schwer', '44', '1944', 'flughafen', 'nah', 'bombardiern', 'maschine', 'meter', 'rannen', '45', 'springen', 'gott', 'brennend', 'dick', 'abwerfen', 'dresden', 'brandbombe', 'schutt', 'flak', 'verletzen', 'tote', 'beschießen', 'löschen', 'kriegsend', 'bomber', 'angreifen', 'zweiter', 'fenster', 'beschädigen', 'brand', 'verbinden']

6 ['zeche', 'kohle', 'bergbau', 'steiger', 'tag', 'bergmann', 'arbeit', 'schicht', 'gelsenkirchen', 'meter', 'bergleute', 'kumpel', 'schacht', 'ruhrgebiet', 'krieg', 'zeit', 'hauer', 'wagen', 'grube', 'nennen', 'recklinghausen', 'buer', 'tonne', 'verdienen', 'betriebsführer', 'morgens', 'schachtanlage', 'stempel', 'fördern', 'robert', 'wahr', 'leistung', 'streb', 'kumpels', 'aussage', 'pütt', 'walsum', 'emsch', 'bergarbeiter', 'stein', 'bergeborbeck', 'westerholt', 'kollege', 'revier', 'bochum', 'steig', 'herne', 'geld', 'hassel', 'untertage', 'nachtschicht', 'geding', 'strecke', 'hingehen', 'bezahlen', 'straße', 'scholve', 'einzeln', 'lohn', 'bergwerk', 'kündigen', 'bergschule', 'wohnen', 'lachen', 'kanal', 'heinrich', 'bergleuter', 'staub', 'erwerbslos', 'kameradschaft', 'knappschaft', 'bahn', 'altenesse', 'hubert', 'hecke', 'stilllegen', 'franzose', 'betriebsrat', 'anton', 'resse', 'verhältnis', 'ruhrkohl', 'bohren', 'kameradschaftsgedinge', 'brücke', 'kaputt', 'berg', '25', 'bottrop', 'kolonie', 'streben', 'heren', 'schwarz', 'schachtanlag', 'vertrieben', 'hütte', 'einstellen', 'ahrens', 'jungens', 'recklinghause']

7 ['zeit', 'frage', 'richtig', 'problem', 'gewiß', 'bereich', 'versuchen', 'art', 'rolle', 'entwickeln', 'möglichkeit', 'politisch', 'sinn', 'entwicklung', 'verschieden', 'führen', 'anfang', 'unterschiedlich', 'relativ', 'situation', 'form', 'mensch', 'geschichte', 'gruppe', 'weise', 'erfahrung', 'interessant', 'richtung', 'grunde', 'deutlich', 'einzeln', 'verändern', 'letzter', 'aufgabe', 'entstehen', 'beschäftigen', 'gemeinsam', 'sozial', 'nennen', 'ändern', 'wesentlich', 'unterschied', 'vorstellung', 'merken', 'zeigen', 'meinung', 'zweiter', 'verhältnis', 'besonderer', 'idee', 'schaffen', 'begriff', 'interessiert', 'generation', 'grund', 'diskussion', 'betreffen', 'sicht', 'erreichen', 'ziel', 'gehören', 'ebene', 'absolut', 'damalig', 'stattfinden', 'spät', 'intensiv', 'sogenannter', 'eindruck', 'prinzip', 'verbinden', 'gesellschaft', 'offen', 'rahmen', 'bedeutung', 'zeitpunkt', 'positiv', 'wert', 'unmittelbar', 'diskutieren', 'kontakt', 'prägen', 'menge', 'wahrnehmen', 'ort', 'übernehmen', 'funktionieren', 'regel', 'lauf', 'selbstverständlich', 'hängen', 'gespräch', 'angehen', 'ansprechen', 'bewegen', 'passieren', 'lernen', 'phase', 'bedeuten', 'überlegen']

8 ['eisenhüttenstadt', 'eko', 'fürstenberg', 'walter', 'lieberose', 'hochofen', 'arbeit', 'heinz', 'lieberos', 'berlin', 'brigade', '53', 'schicht', 'jamlitz', 'aktivist', 'frankfurt', 'brigadier', 'hans', 'stalinstadt', 'ofen', 'werner', 'gube', 'werk', 'ddr', 'peter', 'neuzelle', 'tot', 'cottbus', 'glashütte', 'kollege', 'kreis', 'zweiter', 'arbeiter', 'zentralrat', 'horst', 'schulrat', 'drinnen', 'beeskow', 'karl', 'thüringen', 'genosse', 'arbeitsgemeinschaft', 'max', 'eisen', 'direktor', 'reden', 'betrieb', 'eisenhüttenkombinat', 'kreisleitung', 'erich', 'fdj', 'auszeichnung', 'hochöfner', 'republik', 'kurt', 'schumacher', 'siegel', 'otto', 'meister', 'willi', 'erzgebirge', 'schulz', 'medaille', 'stahlwerk', 'sed', 'prinzip', 'freilich', 'hochof', 'herbert', 'auszeichnen', 'bauarbeiter', 'henry', 'stein', 'becker', 'simon', 'bezirk', 'herr', 'potsdam', 'keene', 'wolfgang', 'könig', 'elektriker', 'jakob', 'kleene', 'gewohnen', 'verantwortlich', 'ulbricht', 'müller', 'hintergrundgeräusch', '52', 'hermann', 'qualifizieren', '50er', 'hennlein', 'blasdorf', 'schmidt', 'gabriel', 'markowitsch', 'unheimlich', 'eco']

9 ['chef', 'abteilung', 'büro', 'arbeit', 'kollege', 'firma', 'stelle', 'verwaltung', 'direktor', 'einstellen', 'sekretärin', 'herr', 'zeit', 'dienst', 'mitarbeiter', 'leiter', 'übernehmen', 'tätigkeit', 'abteilungsleiter', 'angestellter', 'bereich', 'nennen', 'beamter', 'kündigen', 'gehalt', 'einsetzen', 'arbeitsamt', 'spät', 'vorgesetzter', 'betrieb', 'entlassen', 'beworben', 'kollegin', 'kennen', 'personalabteilung', 'aufgabe', 'thyssen', 'zuständig', 'wechseln', 'personal', 'arbeitsplatz', 'beschäftigen', 'gehören', 'lachen', 'anfang', 'technisch', 'schreibtisch', 'buchhaltung', 'urlaub', 'damalig', 'kontakt', 'verschieden', 'job', 'tag', 'anstellen', 'damen', 'interessant', 'versetzen', 'gruppe', 'stellung', 'angestellt', 'verhältnis', 'unternehmen', 'personalchef', 'spaß', 'schreibmaschine', 'leitend', 'position', 'beruflich', 'klappen', 'gesamt', 'düsseldorf', 'posten', 'grunde', 'entscheiden', 'kaufmännisch', 'sekretärinn', 'dienststelle', 'kündigung', 'beruf', 'prüfung', 'post', 'schwierigkeit', 'vorstand', 'schreibkraft', 'weggehen', 'ergeben', 'vertreter', 'behörde', 'geld', 'bewerben', 'grund', 'bewerbung', 'nett', 'mitmachen', 'krank', 'dr', 'sachbearbeiterin', 'besetzen', 'auflösen']

10 ['schön', 'hart', 'gefährlich', 'hahn', 'gewinnen', 'hand', 'funktionieren', 'richtig', 'schaden', 'kette', 'ordnung', 'vergessen', 'fangen', 'lage', 'helmut', 'tatsache', 'sterben', 'busch', 'sogenannter', 'golden', 'passieren', 'wahnsinn', 'büro', 'typisch', 'bild', 'mord', 'landen', 'schlimm', 'kohle', 'bude', 'kopf', 'weich', 'berühmt', 'aufmachen', 'klappen', 'brille', 'norm', 'apfel', 'jahrelang', 'absehen', 'unwahrscheinlich', 'rechter', 'faden', 'beißen', 'tot', 'zweimal', 'löwen', 'neid', 'versuchen', 'frisch', 'zunge', 'planen', 'drohen', 'schmuck', 'götz', 'chance', 'schmidt', 'anton', 'rausgeschmissen', 'vergiften', 'scheiße', 'ausschütten', 'heiß', 'bedrohen', 'kamel', 'kurve', 'idiot', 'maus', 'gefahr', 'rudolf', 'fleißig', 'kümmern', 'geheimnis', 'verschweigen', 'hirn', 'sexuell', 'löwe', 'mangeln', 'angeblich', 'durchziehen', 'unvorstellbar', 'lebensgefährlich', 'versoffen', '90', 'mercedes', 'steinberg', 'ereignis', 'hubschrauber', 'bulle', 'krähen', 'blau', 'untergehen', 'gift', 'starkstrom', 'verlieren', 'ausschreibung', 'beschaffen', 'ratte', 'regen', 'motto']

11 ['mutter', 'vater', 'onkel', 'tante', 'familie', 'großmutter', 'kind', 'oma', 'schwester', 'großvater', 'eltern', 'erinnern', 'großeltern', 'haus', 'opa', 'wohnen', 'tant', 'sterben', 'bruder', 'krieg', 'erinnerung', 'cousin', 'cousine', 'spät', 'dorf', 'großelter', 'kennen', 'zeit', 'verwandtschaft', 'bauernhof', 'hof', 'besuchen', 'sohn', 'richtig', 'schule', 'mütterlicherseits', 'gebären', 'ort', 'besuch', 'bild', 'nennen', 'väterlicherseits', 'geschichte', 'gewohnen', 'geschwister', 'fallen', 'verwandter', 'tochter', 'schön', 'mutti', 'kindheit', 'söhne', 'abholen', 'eng', 'wohnung', 'heiraten', 'brüder', 'kontakt', 'flüchtling', 'flucht', 'verwandt', 'papa', 'tot', 'ostpreuß', 'nähe', 'aufnehmen', 'zweiter', 'stammen', 'verhältnis', 'verwandte', 'erfahren', 'garten', 'stiefvater', 'foto', 'verlieren', 'vetter', 'tod', 'weltkrieg', 'kümmern', 'zimmer', 'zuhause', 'anfang', 'mütterlich', 'beziehung', 'zurückkommen', 'flüchten', 'onkels', 'pflegen', 'ecke', 'reich', 'krank', 'versterben', 'gehören', 'passen', 'arm', 'wunderbar', 'verstorben', 'puppe', 'mama', 'töchter']

