0 ['keller', 'bombe', 'flugzeug', 'bunker', 'fliegen', 'krieg', 'haus', 'angriff', 'bombardieren', 'fallen', 'bombenangriff', 'hören', 'alarm', 'treffen', 'brennen', 'kaputt', 'stadt', 'zerstören', 'schlimm', 'flieger', 'schießen', 'spät', 'passieren', 'erleben', 'angst', 'nähe', 'fliegeralarm', 'luftschutzkeller', 'straße', 'transkript', 'evakuieren', 'amerikaner', 'tot', 'nachts', 'bomben', 'umkommen', 'ausgebombt', 'zerbombt', 'erinnern', 'luftangriffe', '43', 'pilot', 'luft', 'verbrennen', 'abschießen', 'splitter', 'letzter', 'schrecklich', 'explodieren', 'engländer', 'retten', 'kind', 'bauen', 'wohnen', 'tag', 'erde', 'amerikanisch', 'furchtbar', 'tiefflieger', 'luftangriff', 'bombardierung', 'dach', 'feuer', 'stelle', 'trümmer', 'werfen', 'himmel', 'siren', 'flamme', 'schwer', '44', '1944', 'flughafen', 'nah', 'bombardiern', 'maschine', 'meter', 'rannen', '45', 'springen', 'gott', 'brennend', 'dick', 'abwerfen', 'dresden', 'brandbombe', 'schutt', 'flak', 'verletzen', 'tote', 'beschießen', 'löschen', 'kriegsend', 'bomber', 'angreifen', 'zweiter', 'fenster', 'beschädigen', 'brand', 'verbinden']
17 ['erinnern', 'straße', 'mutter', 'mama', 'kiew', 'wohnen', 'ta', 'park', 'maria', 'vater', 'nina', 'fisch', 'markt', 'dußja', 'damaskus', 'ljuda', 'ukrainisch', 'wohnung', 'landsberg', 'michail', 'rot', 'hof', 'saaz', 'teich', 'genitschesk', 'baden', 'galja', 'mironowka', 'timofejewna', 'nähe', 'grund', 'vergessen', 'ludmila', 'papa', 'meer', 'rufen', 'aljoscha', 'angeln', 'nummer', 'besuchen', 'weißen', 'souhier', 'rannen', 'puschkin', 'blume', 'petschersk', 'boot', 'interessant', 'taissa', 'nachbarin', 'schauen', 'arsenal', 'fischer', 'beirut', 'klug', 'platz', 'netz', 'krim', 'geh', 'marie', 'beschließen', 'oje', 'ostrow', 'freundin', 'tatjana', 'tu', 'wasilewna', 'befinden', 'offizier', 'kreschtschatik', 'bahnhof', 'nadeschda', 'pawlik', 'fritz', 'schtschekawizkaja', 'institut', 'rubel', 'lawra', 'mädchen', 'blum', 'artjom', 'kirow', 'buch', 'palast', 'nikolai', 'nachname', 'pjotr', 'riesig', 'siedlung', 'grütz', 'hotel', 'flüsschen', 'arabisch', 'küssen', 'frunse', 'flug', 'übernachten', 'amman', 'märchen', 'seele']

18 ['münster', 'frauenstraße', 'haus', 'politisch', '24', 'kneipe', 'student', 'auseinandersetzung', 'wohnen', 'aktion', 'asta', 'erinnern', 'etage', 'stadt', 'besetzung', 'gerd', 'besetzen', 'makler', 'zeit', 'hans', 'kontakt', 'linker', 'frauenstr', 'stürmer', 'gruppe', 'leg', 'flugblätter', 'unterstützen', 'idee', 'anfang', 'uni', 'mitbekommen', 'geschichte', 'dkp', 'wg', 'polizei', 'iphs', 'veranstaltung', 'grunde', 'plakat', 'wohngemeinschaft', 'stattfinden', 'münsteraner', 'wohnraum', 'hausbesetzer', 'spät', 'kultur', 'demo', 'ernst', 'hausbesetzung', 'sozial', 'kulturell', 'mietvertrag', 'wohnungsnot', 'diskutieren', 'situation', 'verteilen', 'politik', 'organisieren', 'mitmachen', 'bevölkerung', 'einziehen', 'studentisch', 'besetzt', 'rolle', 'bernd', 'studentengemeinde', 'heiß', 'msb', 'abreißen', 'solidarität', 'erinnerung', 'politisieren', 'friedensbewegung', 'beteiligen', 'räumen', 'szene', 'sabine', 'bischof', '70er', 'fachschaft', 'beziehen', 'künstler', 'studium', 'projekt', 'kulturverein', 'kreativ', 'aktivität', '1973', 'bewohner', 'spartakus', 'studentenschaft', 'gründen', 'f24', 'demonstration', 'entstehen', 'mieterinitiative', 'demos', 'unterstützung', '1971']

19 ['studieren', 'studium', 'student', 'universität', 'professor', 'semester', 'abitur', 'hochschule', 'institut', 'uni', 'ausbildung', 'prüfung', 'spät', 'examen', 'zeit', 'berlin', 'zweiter', 'fach', 'lernen', 'pädagogisch', 'stelle', 'fakultät', 'vorlesung', 'diplom', 'geschichte', 'abschließen', 'promovieren', 'philosophie', 'beworben', 'beruf', 'abschluss', 'medizin', 'psychologie', 'kurs', 'mathematik', 'seminar', 'staatsexamen', 'lehrer', 'wissenschaftlich', 'relativ', 'münster', 'chemie', 'praktikum', 'akademie', 'interessant', 'dozent', 'absolvieren', 'jura', 'bewerben', 'ablegen', 'arbeit', 'stipendium', 'kennen', 'bereich', 'jurist', 'kollege', 'spaß', 'assistent', 'bonn', 'heidelberg', 'pädagogik', 'fachhochschule', 'entscheiden', 'anfang', 'möglichkeit', 'fernstudium', 'studienjahr', 'münchen', 'physik', 'wechseln', 'akademisch', 'technisch', 'lehrstuhl', 'studienplatz', 'doktor', 'karriere', 'soziologie', 'promotion', 'aufnehmen', 'kunst', 'richtig', 'beenden', 'einschreiben', 'dritter', 'fächern', 'prüfen', 'wissenschaft', 'germanistik', 'doktorarbeit', 'medizinisch', 'zulassen', 'lehramt', 'diplomarbeit', 'deutsch', 'glück', 'praxis', 'annehmen', 'freiburg', 'interessiert', 'anbieten']

20 ['tür', 'haus', 'fenster', 'straße', 'tag', 'angst', 'polizei', 'schlafen', 'wussen', 'bett', 'hören', 'wussten', 'zimmer', 'nachts', 'abend', 'warten', 'abends', 'verstecken', 'passieren', 'klopfen', 'wohnen', 'spät', 'polizist', 'kennen', 'öffnen', 'offen', 'tor', 'licht', 'dunkel', 'abholen', 'hof', 'aufmachen', 'morgens', 'essen', 'rufen', 'nachbar', 'mutter', 'auto', 'hingehen', 'merken', 'freundin', 'mädchen', 'wagen', 'treppe', 'ecke', 'wusste', 'tasche', 'rannen', 'schauen', 'erkennen', 'packen', 'weinen', 'koffer', 'schlüssel', 'treffen', 'gott', 'raum', 'schließen', 'stunde', 'türe', 'verlassen', 'anziehen', 'stecken', 'zeigen', 'ort', 'moment', 'gehören', 'klingeln', 'geh', 'schwarz', 'vergessen', 'reden', 'flur', 'freund', 'rüber', 'bitten', 'ordnung', 'zugemacht', 'beobachten', 'lass', 'rausgehen', 'wohnung', 'übernachten', 'ankommen', 'wach', 'karte', 'weißt', 'fremd', 'herr', 'schritt', 'hell', 'schlief', 'mantel', 'auge', 'mitgehen', 'platz', 'melden', 'weggehen', 'weile', 'aufstehen']

21 ['krieg', 'einziehen', 'soldat', '43', '44', 'zeit', '45', '42', '41', '39', 'melden', 'russland', 'freiwillig', '40', 'gefangenschaft', 'arbeitsdienst', 'anfang', 'mitmachen', '1940', 'erleben', '1943', 'front', 'frankreich', 'entlassen', 'stalingrad', 'letzter', 'fallen', 'urlaub', 'vater', '1942', '1941', 'zweiter', 'weltkrieg', 'schwer', 'verwunden', '1944', '38', 'wehrmacht', 'lazarett', 'glück', 'schule', 'woche', 'militär', 'deutschland', 'bruder', 'spät', '1939', 'kriegsend', 'gehören', 'ausbrechen', 'gewinnen', '1945', 'schlimm', 'jahrgang', 'tag', 'evakuieren', 'einsetzen', 'ausbildung', 'verlieren', 'gebären', 'ausgebombt', 'hitler', 'gott', 'zurückkommen', 'brechen', 'dauern', 'kriegszeit', 'angriff', 'sommer', 'sogenannter', 'bombenangriff', 'schluss', 'sieg', 'polen', '25', 'essen', 'marine', '22', 'einberufen', 'herbst', 'kriege', 'zurückgekommen', 'winter', 'einberufung', 'nachricht', 'dienstverpflichten', 'dritter', 'volkssturm', '37', 'england', 'mussen', 'lehre', 'führen', 'betrieb', 'osten', 'uk', 'ostpreuß', 'einsatz', 'achtzehn', 'kriegsgefangenschaft']

22 ['deutschland', 'armee', 'schicken', 'arbeit', 'moskau', 'krieg', 'stadt', 'gebiet', 'abschließen', 'spät', 'leningrad', 'rubel', 'bescheinigung', 'minsk', 'werk', 'leiter', 'papier', 'fabrik', 'stalin', 'zurückkehren', 'rente', 'beenden', '1947', 'zweiter', 'institut', 'sowjetisch', 'kgb', 'dienen', 'sewastopol', 'dokument', 'stelle', 'absolvieren', 'aufnehmen', 'ausbildung', 'häftling', 'pass', 'rufen', 'charkow', 'nikolai', 'schule', 'komsomol', '1945', 'kennen', 'treffen', 'helfen', 'sterben', 'taganrog', 'mensch', 'schloss', 'kehren', 'sohn', 'ukraine', 'warten', 'wechseln', 'entlassen', 'sowjetunion', 'lager', 'fachschule', 'abteilung', 'gomel', 'organisation', '1946', 'russland', 'stiftung', 'technisch', 'sekretär', 'ehemalig', 'erinnern', 'schauen', 'fahrer', 'vergessen', 'heimat', 'vergehen', 'andrej', 'kiew', '1949', 'nachname', 'verheimlichen', 'bauen', 'heiraten', 'weißrussland', 'reichen', 'bedeuten', 'auszeichnung', 'versetzen', 'minderjährig', 'hierhin', '1950', 'urlaub', 'ehefrau', 'sibirien', 'nr', 'entschädigung', 'klasse', 'abendschule', 'iwanowitsch', 'antworten', 'verschieden', 'unterlage', 'besuchen']

23 ['ddr', 'mensch', 'staat', 'land', 'politisch', 'deutschland', 'politik', 'meinung', 'sowjetunion', 'stalin', 'krieg', 'frage', 'sozialismus', 'welt', 'richtig', 'westen', 'diskutieren', 'sozialistisch', 'bundesrepublik', 'russland', 'volk', 'drüben', 'regierung', 'kommunismus', 'hören', 'frieden', 'system', 'reden', 'diskussion', 'partei', 'deutsch', 'republik', 'kommunist', 'demokratie', 'führen', 'kapitalismus', 'schlecht', 'kämpfen', 'freiheit', 'europa', 'sowjetisch', 'million', 'brd', 'entwicklung', 'bevölkerung', 'wiedervereinigung', 'gorbatschow', 'diktatur', 'arbeiter', 'rolle', 'zeitung', 'erleben', 'grunde', 'revolution', 'ansicht', 'wahr', 'hoffnung', 'weltkrieg', 'politiker', 'masse', 'gedanke', 'demokratisch', 'westlich', 'polen', 'wirtschaft', 'honecker', 'ulbricht', 'kommunistisch', 'bundeswehr', 'schaffen', 'hitler', 'erklären', 'demonstration', 'fernsehen', 'sozial', 'wirtschaftlich', 'begreifen', 'vertrag', 'ehrlich', 'feind', 'lenin', 'militärisch', 'unterschied', 'adenauer', 'geschehen', 'bürger', 'osten', 'stimmen', 'aufbauen', 'sinn', 'reich', 'lachen', 'form', 'waffe', 'auseinandersetzung', 'gesellschaft', 'betrachten', 'heutig', 'ungarn', 'fehler']

24 ['mädchen', 'tanzen', 'schön', 'freundin', 'jungs', 'kennen', 'spät', 'nett', 'liebe', 'lachen', 'lernen', 'haar', 'fräulein', 'richtig', 'hübsch', 'schwarz', 'lieben', 'siebzehn', 'nennen', 'auge', 'freund', 'sechzehn', 'mädel', 'haare', 'fünfzehn', 'blond', 'eltern', 'treffen', 'verlieben', 'schwester', 'kino', 'achtzehn', 'erinnern', 'heiraten', 'vierzehn', 'jungens', 'lieb', 'streng', 'tochter', 'mädels', 'alter', 'fallen', 'wussen', 'interessant', 'klasse', 'dick', 'letzter', 'rot', 'krieg', 'abend', 'gott', 'schminken', 'dame', 'maria', 'küssen', 'tanz', 'frisur', 'schrecklich', 'trennen', 'verlieren', 'abends', 'zöpfe', 'einladen', 'spazieren', 'freundinne', 'deutsch', 'freundschaft', 'arm', 'dreizehn', 'jugend', 'freundinn', 'ansehen', 'echt', 'brav', 'wunderbar', 'fremd', 'hand', 'komisch', 'befreundet', 'blau', 'stadt', 'straße', 'wunderschön', 'heimlich', 'abholen', 'freundinnen', 'besuchen', 'ernst', 'kuss', 'erlauben', 'bild', 'jugendlich', 'offizier', 'aufklären', 'typ', 'heiß', 'sexualität', 'schlank', 'rufen', '22']

25 ['wohnung', 'haus', 'wohnen', 'zimmer', 'gewohnen', 'familie', 'straße', 'bauen', 'eltern', 'kind', 'schön', 'einziehen', 'gehören', 'zeit', 'küche', 'umziehen', 'kaufen', 'nachbar', 'stadt', 'etage', 'tochter', 'bad', 'möbel', 'garten', 'sohn', 'gewohnt', 'anfang', 'nähe', 'miete', 'mieten', 'verkaufen', 'schlafzimmer', 'zweiter', 'raum', 'räume', 'einrichten', 'vermieten', 'schwester', 'heiraten', 'platz', 'ausziehen', 'dach', 'siedlung', 'quadratmeter', 'viertel', 'häuschen', 'schlafen', 'toilette', 'gebären', 'stock', 'keller', 'wohnn', 'spät', 'ausgebombt', 'arbeit', 'eng', 'unterbringen', 'ausbauen', 'ausgezogen', 'helfen', 'treppe', 'tür', 'dritter', 'bruder', 'ecke', 'wohnraum', 'nachbarschaft', 'grundstück', 'kennen', 'nett', 'hof', 'mieter', 'wohnzimmer', 'schlecht', 'glück', 'villa', 'fenster', 'gegend', 'ehepaar', 'bezahlen', 'hinziehen', 'zimmern', 'anbieten', 'räumen', 'hälfte', 'stadtteil', 'bett', 'wohn', 'wunderschön', 'bewohnen', 'balkon', 'kinderzimmer', 'normal', 'woche', 'wohnungsamt', 'umzug', 'tauschen', 'zweieinhalb', 'aufnehmen', 'gemeinsam']

26 ['geld', 'bezahlen', 'zahlen', 'entschädigung', 'million', 'verkaufen', 'prozent', 'kosten', 'euro', 'haus', 'kaufen', 'staat', 'grundstück', 'land', 'bauen', 'steuer', 'summe', 'zahl', 'bank', 'grund', 'wert', 'kredit', 'schuld', 'hälfte', 'übernehmen', 'letzter', 'preis', 'dm', 'auszahlen', 'gehören', 'eigentum', 'erbe', '5000', 'lastenausgleich', '000', 'konto', 'dollar', '1000', '2000', '10000', 'gesetz', 'finanzamt', 'firma', '500', 'rechnen', 'schaffen', 'enteignen', 'gewinn', 'regierung', 'zweiter', 'stiftung', 'finanziell', 'betrieb', 'anteil', '20000', 'zins', 'unterschreiben', '3000', 'milliarde', 'höhe', 'fünfzig', 'überweisen', 'einwohner', 'aktie', '50', 'investieren', 'ordnung', 'staatlich', 'kümmern', 'knapp', 'entschädigen', 'annehmen', 'antrag', 'erben', 'hektar', 'anspruch', 'anerkennen', '15000', 'eintragen', 'zehntausend', 'finanzieren', 'beantragen', 'besitz', 'gericht', 'einheit', 'boden', 'festlegen', 'vertrag', 'rente', 'lage', 'dreitausend', 'testament', 'verlangen', '70', 'betrag', 'dmark', 'einkommen', '600', 'unterstützung', 'opfer']

27 ['kontakt', 'kennen', 'treffen', 'freund', 'zeit', 'familie', 'wohnen', 'besuchen', 'freundin', 'gruppe', 'freundschaft', 'beziehung', 'eng', 'mensch', 'spät', 'verbindung', 'lernen', 'einladen', 'unterhalten', 'schön', 'gehören', 'richtig', 'gemeinsam', 'helfen', 'verhältnis', 'befreundet', 'gerne', 'reden', 'interessant', 'nett', 'organisieren', 'verschieden', 'untereinander', 'gegenseitig', 'ergeben', 'kreis', 'nachbar', 'aufnehmen', 'ort', 'erinnern', 'woche', 'kollege', 'problem', 'frage', 'besuch', 'fest', 'versuchen', 'hören', 'nah', 'privat', 'tag', 'fühlen', 'wussen', 'freundeskreis', 'selten', 'besonderer', 'alter', 'letzter', 'trennen', 'anfang', 'erleben', 'relativ', 'nähe', 'beschäftigen', 'eltern', 'hingehen', 'stadt', 'bekanntenkreis', 'abends', 'jugend', 'bekanntschaft', 'nachbarschaft', 'haus', 'gemeinschaft', 'kümmern', 'pflegen', 'verbringen', 'ehemalig', 'hauptsächlich', 'unternehmen', 'freizeit', 'gespräch', 'fallen', 'art', 'umgebung', 'gott', 'freundinn', 'befreunden', 'zuhause', 'entstehen', 'gegend', 'wochenende', 'freuen', 'zusammenkommen', 'verbinden', 'normal', 'auseinander', 'freundschaftlich', 'essen', 'feiern']

28 ['garten', 'gemüse', 'obst', 'äpfel', 'pflücken', 'gärtnerei', 'blume', 'tomat', 'sammeln', 'gurke', 'gärtner', 'sommer', 'pflanzen', 'pflanze', 'pilz', 'wachsen', 'kartoffel', 'frühjahr', 'verkaufen', 'bohne', 'intavpch', 'möhre', 'anbauen', 'ernten', 'unkraut', 'grün', 'herbst', 'kaninchen', 'baum', 'birne', 'erdbeer', 'intavpn', 'gärten', 'erde', 'schön', 'birn', 'banan', 'beer', 'winter', 'erbse', 'blum', 'reif', 'beet', 'nennen', 'salat', 'kohl', 'schrebergarten', 'züchten', 'kirsche', 'weintrauben', 'wintavpr', 'land', 'schmecken', 'körbe', 'nintavpcht', 'apfel', 'saft', 'eintavpn', 'graben', 'intavpm', 'gras', 'süß', 'wald', 'mintavpt', 'pflaume', 'früchte', 'einkochen', 'korb', 'obstbäume', 'menge', 'einmachen', 'sintavpch', 'gemüsegart', 'anlegen', 'kochen', 'gehören', 'anpflanzen', 'gießen', 'stachelbeer', 'rose', 'wiese', 'rot', 'mitbringen', 'sauerkraut', 'wurzel', 'botanisch', 'obstgarten', 'pilze', 'intavpst', 'banane', 'himbeer', 'umgegraben', 'gärt', 'apfelbaum', 'marmelade', 'erdbeere', 'gärtnerin', 'keller', 'blätter', 'sintavpcherlintavpch']

29 ['soldat', 'offizier', 'einheit', 'tag', 'militär', 'waffe', 'armee', 'militärisch', 'schießen', 'general', 'uniform', 'front', 'truppe', 'leutnant', 'kompanie', 'wehrmacht', 'dienst', 'befehl', 'hauptmann', 'verwunden', 'major', 'einsetzen', 'kaserne', 'bundeswehr', 'unteroffizier', 'ausbildung', 'einsatz', 'lazarett', 'russland', 'melden', 'krieg', 'deutsch', 'ausbilden', 'feldwebel', 'stellung', 'entlassen', 'bataillon', 'kamerad', 'panzer', 'division', 'schwer', 'oberleutnant', 'marschieren', 'luftwaffe', 'spät', 'woche', 'glück', 'kommandeur', 'rückzug', 'oberst', 'nennen', 'einziehen', 'regiment', 'versetzen', 'zivil', 'gefangenschaft', 'marine', 'berlin', 'tot', 'artillerie', 'schluss', 'batterie', 'verlegen', 'rang', 'dienen', 'kämpfen', 'geschütze', 'fahrzeug', 'urlaub', 'kommando', 'lehrgang', 'letzter', 'angriff', 'normal', 'antreten', '44', 'gruppe', 'reserve', 'waffenss', 'kilometer', 'erschießen', 'osten', 'wahr', 'richtung', 'übung', 'übungen', 'infanterie', 'sogenannter', 'zug', 'wehrdienst', 'dienstgrad', 'kamerade', 'geraten', 'auftrag', 'stab', 'kriegsgefangenschaft', 'funker', 'polizei', 'wien', 'volksarmee']

30 ['dortmund', 'hermann', 'steinwache', 'hüsteln', 'stadt', 'dortmunder', 'stefan', 'oberbürgermeister', 'gebäude', 'iserlohn', 'interessant', 'bittermark', 'freiraum', 'heinz', 'jugendring', 'benjamin', 'göring', 'hüstel', 'gehören', 'kurt', 'selm', 'norden', 'erhalt', 'vergessen', 'hoesch', 'arbeiterin', 'steinwach', 'stadtrundfahrt', 'ministerpräsident', 'birgit', 'auslandsgesellschaft', 'rau', 'hörde', 'hamm', 'gelsenkirchen', 'planung', 'stephan', 'sechziger', 'bebauungsplan', 'lünen', 'beate', 'günter', 'hombruch', 'meinung', 'dreißigtausend', 'text', 'begriff', 'süden', 'piehl', 'rechtsrat', 'ernst', 'aufgeben', 'stadtverwaltung', 'hans', 'kranz', 'uninteressant', 'gestapo', 'unna', 'geschehen', 'hölle', 'hehen', 'lemgo', 'sauerland', '82', 'städtisch', 'steinwachen', 'gong', 'neonazi', 'johannes', 'vorgänger', 'begeistert', 'dgb', 'netzwerk', 'himmelfahrt', 'husten', 'idee', 'ewig', 'hilde', 'somborn', 'inzell', 'geschäftsstelle', 'sportclub', 'annegret', 'leiten', 'erlebnis', 'sinn', 'rundfahrt', 'gedenkstein', 'dreiundzwanzig', 'besichtigung', 'standort', 'referent', 'uhse', 'b1', 'max', 'schuldig', 'gutachten', 'mahjong', 'bestellen', 'tagen']

31 ['feiern', 'weihnachten', 'schön', 'geburtstag', 'fest', 'kind', 'tag', 'feiertag', 'ostern', 'einladen', 'feier', 'schenken', 'geschenk', 'haus', 'familie', 'kuchen', 'neujahr', 'geschenke', 'kennen', 'tisch', 'kaufen', 'besonderer', 'freuen', 'pfingst', 'silvester', 'erinnern', 'hochzeit', 'heiligabend', 'puppe', 'kerze', 'geld', 'fallen', 'freude', 'karneval', 'tradition', 'essen', 'geburtstage', 'nachbar', 'abend', 'tanzen', 'gebacken', 'erlebnis', 'jugendweihe', 'backen', 'heilig', 'besuch', 'begehen', 'lustig', 'schmücken', 'üblich', 'erinnerung', 'muttertag', 'ehren', 'mitbringen', 'gäste', 'kindheit', 'organisieren', 'kirmes', 'weihnachtsbaum', 'wünschen', 'spaß', 'kaffee', 'feiertage', 'blume', 'gegessen', 'jubiläum', 'tannenbaum', 'fröhlich', 'saal', 'anziehen', 'zuhause', 'golden', 'süßigkeit', 'puppenwag', 'baum', 'eier', 'konfirmation', 'weihnachtsfeier', 'lied', 'gaststätte', 'mitmachen', 'wunderschön', 'hingehen', 'schützenfest', 'garten', 'laden', 'basteln', 'tanz', 'schokolade', 'feierlich', 'gemeinsam', 'bunt', 'namenstag', 'vergessen', 'tafel', 'dorf', 'decken', 'herrlich', 'verbinden', 'rot']

32 ['russe', 'amerikaner', 'soldat', 'deutsch', 'russisch', 'amerikanisch', 'krieg', 'engländer', 'offizier', 'gefangenschaft', 'sowjetisch', 'armee', 'franzose', 'deutsche', 'kriegsgefangen', 'lager', 'russland', 'englisch', 'gefangener', 'wussten', 'angst', 'spät', 'truppe', 'erleben', 'deutschland', 'amerika', 'schwarz', 'gehören', 'essen', 'ami', 'behandeln', 'besatzung', 'bevölkerung', 'befreien', 'rot', 'besetzen', 'zone', 'schokolade', 'befreiung', '45', 'sowjetunion', 'uniform', 'vergewaltigen', 'kriegsend', 'schlimm', 'passieren', 'erfahren', 'gefangen', 'heimat', 'neger', 'engländern', 'hören', 'straße', '1945', 'fremdarbeiter', 'gott', 'kommandantur', 'elbe', 'berlin', 'hitler', 'zeit', 'französisch', 'schlecht', 'furchtbar', 'frankreich', 'kontakt', 'gebiet', 'kämpfen', 'kriegsgefangenschaft', 'kommandant', 'front', 'erinnern', 'besatzungsmacht', 'gegend', 'verlieren', 'feind', 'übergeben', 'britisch', 'verschieden', 'wussen', 'panzer', 'zigarett', 'land', 'nazi', 'entlassen', 'polen', 'sowjet', 'sibirien', 'vergewaltigung', 'froh', 'erschießen', 'alliierter', 'jeep', 'mensch', 'zivil', 'gefangenenlager', 'erlebnis', 'ehemalig', 'besatzungszone', 'geraten']

33 ['peter', '40', 'paderborn', 'waisenhaus', 'bien', '2ter', 'meter', 'nennen', 'fuffzehn', '2t', 'zählen', 'nummer', 'entstehen', 'lüdenscheid', 'zahlen', 'null', 'blankenburg', 'imker', 'spargel', 'rennbahn', 'gaststätte', 'max', 'iserlohn', 'sieper', 'volk', 'verbot', 'braunschweig', 'fuffzig', 'bitten', 'soest', 'sorgen', 'molkerei', 'reiter', 'schwelm', 'zweiminus', 'dreimal', 'nonne', 'schonmal', 'rudi', 'sparte', 'klaus', 'pastor', 'jemacht', 'trainer', 'claudia', 'garten', 'bettermann', 'imkerei', 'paß', 'patron', 'wernli', 'website', 'vorlesen', 'oranienburg', 'martin', 'teppich', 'münchen', 'meen', '6ter', 'stoppen', 'kunde', 'forum', 'bethel', 'schluß', 'klinik', 'jugoslawe', 'vorn', 'rudolf', 'london', 'kleingärtner', 'verbieten', 'gustav', 'treten', 'dreiminus', 'stoff', 'gauck', 'zähne', 'offenbar', 'griechenland', 'hemer', 'tankstelle', 'senne', 'sinken', 'verbesserungsvorschlag', '1900', 'heim', 'teuer', 'eier', 'oliver', 'gerhard', 'schröder', '700', 'aufarbeiten', 'wiederholen', 'bankdirektor', '20st', 'malermeister', 'bedienen', 'nest', 'wiese']

34 ['herr', 'kennen', 'doktor', 'kammer', 'franz', 'firma', 'dortmund', 'präsident', 'düsseldorf', 'spät', 'dr', 'krieg', 'fritz', 'handelskammer', 'otto', 'herrn', 'vorsitzend', 'geschäftsführer', 'hagen', 'berlin', 'karl', 'industrie', 'verband', 'büchler', 'geschäft', 'ordner', 'herbert', 'lachen', 'chef', 'hans', 'gehören', 'freund', 'wilhelm', 'müller', 'krefeld', 'nennen', 'hermann', 'konrad', 'wirtschaftsvereinigung', 'peter', 'heinrich', 'haspe', 'adenauer', 'kreis', 'gründen', 'wallram', '45', 'kram', 'fabrikant', 'vetter', 'vizepräsident', 'blüggel', 'nochmals', 'josef', 'brenninkmeijer', 'aufbauen', 'sohn', 'einzelhandel', 'präsidium', 'tengelmann', 'betrieb', 'inhaber', 'unternehmer', 'parteigenosse', 'lüttich', 'hitler', 'raum', 'richard', 'utermann', 'hess', 'verbindung', 'organisation', 'wussen', 'tot', 'zweiter', 'erich', 'lohmann', 'prokurist', 'dick', 'sitzung', 'lorenz', 'stettin', 'erwähnen', 'berg', 'ehrenämter', 'außenhandel', 'riedel', 'engländer', 'mister', 'brandt', 'stammen', 'hannover', 'berliner', 'damalig', 'friedrich', 'bernburg', 'gegner', 'reusch', 'gustav', 'vergessen']

35 ['deutsche', 'deutsch', 'dorf', 'erschießen', 'krieg', 'soldat', 'stadt', 'wald', 'erinnern', 'tag', 'haus', 'verstecken', 'mensch', 'deutschland', 'treiben', 'partisan', 'straße', 'front', 'spät', 'armee', 'partisane', 'wussten', 'angst', 'fliehen', 'truppe', 'töten', 'hören', 'polizist', 'schießen', 'führen', 'befreien', 'schicken', 'schaffen', 'pferd', 'schauen', 'richtung', 'panzer', 'fuß', 'kilometer', 'fangen', 'russisch', 'dörfer', 'erfahren', 'rannen', 'kämpfen', 'verschleppen', 'waffe', 'nähe', 'polizei', 'zeit', 'überleben', 'schrecklich', 'minsk', 'graben', '1942', 'auto', 'fluss', 'gruppe', '1943', 'flugzeug', 'versammeln', 'verbrennen', 'kind', 'werfen', 'verlassen', 'zweiter', 'entfernt', 'flüchten', 'evakuieren', 'sammeln', 'gewehr', 'zurückkehren', 'kleidung', 'marschieren', 'sowjetisch', 'fallen', 'befehl', '1941', 'nah', 'nennen', 'keller', 'umbringen', 'gefängnis', 'passieren', 'essen', 'jagen', 'jungs', 'brücke', 'gefangen', 'russe', 'maschinengewehr', 'nachts', 'umkommen', 'vernichten', 'art', 'geraten', 'sprengen', 'lebensmittel', 'schützengräb', '1944']

36 ['lachen', 'schön', 'gerne', 'richtig', 'mensch', 'gott', 'zeit', 'kennen', 'sögen', 'hören', 'tag', 'schlecht', 'nett', 'ehrlich', 'kind', 'reden', 'lieb', 'stimmen', 'geh', 'fallen', 'lernen', 'echt', 'spaß', 'find', 'lieber', 'schwer', 'rüber', 'bestimmen', 'froh', 'überlegen', 'schlimm', 'kenn', 'hör', 'wunderbar', 'freuen', 'kaputt', 'guck', 'moment', 'furchtbar', 'komisch', 'vergessen', 'passen', 'wenns', 'essen', 'fahrn', 'sachten', 'warten', 'krieg', 'kommsen', 'unterhalten', 'ändern', 'stolz', 'merken', 'herrlich', 'mutti', 'ruhig', 'haus', 'drüben', 'verrückt', 'helfen', 'hättn', 'angucken', 'arbeit', 'freund', 'ärgern', 'leise', 'kollege', 'hingehen', 'ecke', 'seh', 'unheimlich', 'schluss', 'auto', 'lass', 'tochter', 'kopf', 'weißen', 'lust', 'leid', 'fangen', 'woche', 'klappen', 'denkn', 'herr', 'lachend', 'dumm', 'weißt', 'passieren', 'brauch', 'gehören', 'stören', 'auge', 'schimpfen', 'mitmachen', 'wahr', 'gefällen', 'stunde', 'dick', 'bleib', 'hängen']

