0 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'kirchlich', 'christlich', 'pastor', 'religiös', 'gott', 'taufen', 'beten', 'religion', 'gemeinde', 'christ', 'gläubig', 'kind', 'mensch', 'katholik', 'jugendweihe', 'austreten', 'konfirmieren', 'zeit', 'konfirmation', 'gottesdienst', 'erziehen', 'religionsunterricht', 'bibel', 'eltern', 'rolle', 'gehören', 'priester', 'nennen', 'schule', 'predigen', 'bischof', 'streng', 'sonntags', 'fromm', 'jugend', 'gebet', 'heilig', 'geistlich', 'messe', 'kommunion', 'trauen', 'verbieten', 'besuchen', 'kaplan', 'glocke', 'papst', 'jesus', 'konfirmandenunterricht', 'taufe', 'gemeinschaft', 'mitglied', 'christus', 'schließen', 'kreuz', 'welt', 'hingehen', 'kloster', 'letzter', 'christentum', 'elternhaus', 'einstellung', 'gemeinsam', 'reich', 'kirchensteuer', 'konfessionell', 'protestantisch', 'fest', 'protestant', 'schön', 'erzogen', 'nonne', 'kindergottesdienst', 'ikonen', 'konfession', 'bindung', 'interessant', 'entscheiden', 'rom', 'andacht', 'läuten', 'bekennend', 'tisch', 'pater', 'theologie', 'verschieden', 'katholiken', 'versammlung', 'studieren', 'sekt', 'wert', 'erklären', 'ort', 'sünde', 'lernen', 'lehre', 'zwingen']

6 ['schäfer', 'chile', 'gruppe', 'kolonie', 'deutschland', 'colonia', 'paul', 'wussen', 'spät', 'kind', 'chilenisch', 'wolfgang', 'dignidad', 'deutsch', 'hopp', 'santiago', 'botschaft', 'reden', 'jungs', 'mädchen', 'krankenhaus', 'gruppentante', 'zeit', 'hartmut', 'gemeinde', 'herr', 'schmidt', 'bibel', 'müller', 'wussten', 'colono', 'gehören', 'system', 'passieren', 'mitbekommen', 'papa', 'schmidtke', 'baar', 'siegburg', 'kinderhaus', 'sogenannter', 'diktatur', 'erfahren', 'wagen', 'opfer', 'sekt', 'nennen', 'hugo', 'missbrauch', 'horst', 'gronau', 'seewald', 'bulnes', 'parral', 'mitkriegen', 'berg', 'versammlung', 'mücke', 'normal', 'saal', 'schlagen', 'ursel', 'missbrauchen', 'karl', 'verschieden', 'kontakt', 'wahnsinnig', 'willi', 'dina', 'beten', 'zwischendurch', 'peter', 'doktor', 'fliehen', 'helfen', 'schaffen', 'küche', 'verstecken', 'schnellenkamp', 'gerd', 'foltern', 'spanisch', 'neukra', 'täter', 'ansprechen', 'flucht', 'pinochet', 'wahrheit', 'endlich', 'fliegen', 'heide', 'acker', 'manfred', 'frank', 'villa', 'freihaus', 'flüchten', 'süden', 'heilsarmee', 'chilen']

7 ['punk', 'musik', 'düsseldorf', 'hof', 'zeit', 'straße', 'richtig', 'spät', 'kennen', 'rating', 'konzert', 'ratinger', 'gehören', 'laden', 'szene', 'platte', '79', 'club', '78', 'anfang', 'hören', '80er', 'relativ', 'echt', 'mettmann', 'auflegen', 'super', '81', 'lustig', 'treffen', '80', 'normal', 'sommer', '70er', 'rocker', 'mitte', 'kaufen', 'london', 'wochenende', 'lernen', 'geil', 'typ', 'düsseldorfer', 'altstadt', 'label', 'freund', 'geschichte', '77', 'richtung', 'scheiße', '1980', 'party', 'dokie', '82', 'stadt', 'haar', 'droge', 'ahnung', 'rock', 'gruppe', 'cool', 'mitbekommen', 'festival', 'ecke', 'clique', 'unglaublich', 'absolut', 'partys', 'boah', 'punkrock', 'krause', '83', 'bock', 'woche', '90er', 'england', 'jürgen', 'haare', 'martin', 'iserlohn', 'irgendwelcher', 'verbringen', 'kneipe', 'abend', 'unterwegs', 'komisch', 'peter', 'erkrath', 'find', 'herbst', 'nennen', 'künstler', 'zuhause', 'letzter', 'hart', 'umfeld', 'zweiter', 'nett', 'hassen', 'jasper']

8 ['feiern', 'weihnachten', 'geburtstag', 'schön', 'fest', 'tag', 'feiertag', 'kind', 'ostern', 'einladen', 'schenken', 'feier', 'geschenk', 'neujahr', 'geschenke', 'erinnern', 'kuchen', 'familie', 'hochzeit', 'pfingst', 'tisch', 'silvester', 'kaufen', 'freuen', 'heiligabend', 'tanzen', 'kerze', 'besonderer', 'abend', 'tradition', 'fallen', 'puppe', 'besuch', 'heilig', 'freude', 'karneval', 'haus', 'kennen', 'üblich', 'geburtstage', 'kindheit', 'gebacken', 'schützenfest', 'muttertag', 'fröhlich', 'wünschen', 'weihnachtsbaum', 'zuhause', 'feiertage', 'jubiläum', 'kirmes', 'lustig', 'ehren', 'schmücken', 'letzter', 'begehen', 'lied', 'verkleiden', 'golden', 'laden', 'gäste', 'vergessen', 'weihnachtsfeier', 'nachbar', 'backen', 'tannenbaum', 'saal', 'erinnerung', 'mitmachen', 'kaffee', 'blumenstrauß', 'dorf', 'namenstag', 'blume', 'puppenwag', 'wunderschön', 'karte', 'mitbringen', 'baden', 'erlebnis', 'spaß', 'gemeinsam', 'herrlich', 'baum', 'eier', 'gaststätte', 'anziehen', 'gegessen', 'basteln', 'hängen', 'glück', 'gedicht', 'wohnzimmer', 'sylvester', 'konfirmation', 'überreichen', 'vorbereiten', 'weihnachtszeit', 'aufstellen', 'tafel']

9 ['schiff', 'budapest', 'wien', 'ungarn', 'boot', 'hafen', 'ungarisch', 'kaschau', 'schön', 'bord', 'nndi', 'österreich', 'rumänien', 'insel', 'herr', 'gehören', 'zug', 'dingsda', 'wasser', 'kapitän', 'marine', 'daraufhin', 'hand', 'nennen', 'deck', 'dampfer', 'odessa', 'wiener', 'matrose', 'meer', 'arbeitsdienst', 'land', 'danzig', 'riesig', 'werft', 'interessant', 'österreichisch', 'szeged', 'küste', 'glück', 'bremerhaven', 'kurzum', 'versenken', 'donau', 'jugoslawien', 'unterbringen', 'sopron', 'befinden', 'kiel', 'gelangen', 'ehemann', 'uboot', 'ostsee', 'flugzeug', 'slowakisch', 'ankommen', 'kopenhagen', 'engländer', 'schiffe', 'pillau', 'organisieren', 'daheim', 'wilhelmshaven', 'haff', 'nett', 'eisenbahn', 'gemeinsam', 'kistelek', 'strand', 'schweden', 'ehefrau', 'mittelmeer', 'bor', 'fluss', 'reisen', 'ziegelfabrik', 'elbing', 'mädel', 'schiffen', 'swinemünd', 'antworten', 'geschehen', 'wunderschön', 'vera', 'häfen', 'bosch', 'bayern', 'verlassen', 'halper', 'nah', 'traurig', 'kreuzer', 'ständig', 'brake', 'slowakei', 'nndor', 'jen', 'israel', 'schluss', 'sturm']

10 ['deutsch', 'polen', 'polnisch', 'pole', 'deutschland', 'russisch', 'deutsche', 'sprache', 'russe', 'krieg', 'grenze', 'russland', 'tschechisch', 'warschau', 'land', 'österreich', 'familie', 'tscheche', 'gebiet', 'stadt', 'prag', 'sowjetunion', 'litauen', 'tschechoslowakei', 'krakau', 'gehören', 'schlesien', 'gegend', '1939', 'breslau', 'ukraine', 'sibirien', 'pos', 'hitler', 'wohnen', 'armee', 'zweiter', 'tschechien', 'reich', 'nennen', 'danzig', 'lodz', 'tschechei', 'bevölkerung', 'regierung', 'lettland', 'flüchten', 'weltkrieg', 'verschieden', 'staatsbürgerschaft', 'lernen', '39', 'rumänien', 'aufstand', 'polin', 'ort', 'vertreiben', 'litauer', 'flüchtling', 'stammen', 'österreichisch', 'ausländer', 'staat', 'ungarn', 'besetzen', 'österreicher', 'zuhause', 'heimat', 'bürger', 'hälfte', 'sudetenland', 'grund', 'osten', 'litauisch', 'volksdeutsch', 'versuchen', 'frankreich', 'kilometer', 'anfang', 'riga', 'nationalität', 'ändern', '40', 'besetzt', 'dritter', 'staatsangehörigkeit', 'lublin', 'ukrainer', 'oberschlesi', 'ukrainisch', 'ehemalig', 'nähe', '41', 'bialystok', 'verbieten', 'lette', 'östlich', 'vilnius', 'unterschied', 'abkommen']
