0 ['bdm', 'jugend', 'hitlerjugend', 'uniform', 'jungvolk', 'schule', 'gruppe', 'mädchen', 'deutsch', 'politisch', 'schön', 'hj', 'marschieren', 'antreten', 'arbeitsdienst', 'nennen', 'führerin', 'lachen', 'führer', 'fahne', 'eltern', 'mitmachen', 'erinnern', 'dienst', 'jugendgruppe', 'lager', 'mussen', 'gerne', 'lieder', 'essen', 'hitler', 'katholisch', 'bund', 'fahrt', 'fallen', 'führerinn', 'sport', 'fähnleinführer', 'jugendbewegung', 'jugendliche', 'fdj', 'wandern', 'kameradschaft', 'wanderung', 'jugendlich', 'pimpfe', 'vater', 'begeistert', 'nationalsozialismus', 'kinderlandverschickung']
9 ['kirche', 'apostel', 'stammapostel', 'gemeinde', 'botschaft', 'gottesdienst', 'neuapostolisch', 'bischoff', 'kuhlen', 'kuhl', 'güttinger', 'düsseldorf', 'gott', 'bezirksapostel', 'vater', 'apostolisch', 'bezirk', 'grunde', 'vorsteher', 'bischof', 'kennen', 'erleben', 'amt', 'otto', 'herr', 'priester', 'sterben', 'predigen', 'geschwister', 'nak', 'nachfolger', 'schmidt', 'gottesdienste', 'vag', 'frankfurt', 'schweiz', 'ruhestand', 'trennung', 'streckeise', 'geist', 'stelle', 'gehören', 'schrift', 'liebe', 'sohn', 'spät', 'gedanke', 'familie', 'christi', 'bibel']

10 ['stimme', 'heben', 'hauchen', 'lachen', 'stöhnen', 'betonen', 'lübben', 'räusperen', 'verhalten', 'wahr', 'nuschelen', 'stocken', 'murmeln', 'schleppend', 'luft', 'russe', 'jamlitz', 'husten', 'aufgeregt', 'schreien', 'stockend', 'dehnen', 'klatschen', 'richtig', 'jemacht', 'klopfen', 'jaipks', 'flüstern', 'geräusch', 'nuschelt', 'frage', 'autogeräusch', 'erstaunt', 'cottbus', 'günter', 'uff', 'jawoll', 'jekriegt', 'abgehacken', 'lieberose', 'spät', 'ahaipks', 'lager', 'hase', 'jekommen', 'klacken', 'gesehn', 'keutel', 'ernst', 'blättern']

11 ['lager', 'buchenwald', 'baracke', 'jamlitz', 'russe', 'barack', 'ketschendorf', 'entlassen', 'lazarett', 'mühlberg', 'russisch', 'häftling', 'sachsenhause', 'tag', 'tor', 'deutsch', 'weimar', 'entlassung', 'offizier', 'sterben', '46', 'transport', '47', '48', 'gehören', 'posten', 'zeit', 'kennen', 'ehemalig', 'zone', 'verpflegung', 'erfahren', '45', 'kz', 'melder', 'möglichkeit', 'tot', 'küche', 'jugendliche', 'sogenannter', 'russland', 'richtig', 'schlimm', 'sowjetisch', 'brot', 'jugendlich', 'nennen', 'kommandant', 'bunker', 'erleben']

12 ['film', 'radio', 'fernsehen', 'kino', 'hören', 'erinnern', 'gehören', 'zeit', 'fernseher', 'sendung', 'gerne', 'musik', 'nachricht', 'theater', 'spät', 'zeigen', 'sender', 'kaufen', 'zeitung', 'drehen', 'krieg', 'programm', 'interessiert', 'fünfziger', 'abends', 'apparat', 'tanzen', 'schwarz', 'wochenschau', 'interessant', 'kennen', 'volksempfänger', 'besonderer', '50er', 'ansehen', 'schauspieler', 'reden', 'rundfunk', 'verbieten', 'neintaf', 'ipehefrau', 'abend', 'amerikanisch', 'jugend', 'bild', 'erinnerung', 'westfernsehen', 'welt', 'zdf', 'karte']

13 ['betrieb', 'chemnitz', 'bandzerrung', 'rabenstein', 'lachen', 'dresden', 'leipzig', 'karlmarxstadt', 'drüben', 'maschine', 'wismut', '45', 'rathaus', 'siegmar', 'stadt', 'polar', 'chef', 'ort', 'gehören', 'herr', 'aue', 'drinnen', 'sachsen', 'bürgermeister', 'erzgebirge', 'handschuhe', 'volkseigen', 'bauen', 'übernehmen', 'gemeinde', 'betreiben', 'karl', 'sohn', 'schmiedeberg', 'lengefeld', 'bockau', 'zschorlau', 'zwickau', 'gott', 'rüber', 'schön', 'plau', 'freiberg', 'schaffen', 'heimarbeit', 'ddr', 'fabrik', 'marx', 'handschuh', 'sächsisch']

14 ['kontakt', 'treffen', 'kennen', 'freund', 'zeit', 'familie', 'wohnen', 'besuchen', 'spät', 'beziehung', 'mensch', 'freundschaft', 'freundin', 'gruppe', 'eng', 'verbindung', 'unterhalten', 'einladen', 'verhältnis', 'gemeinsam', 'lernen', 'helfen', 'gehören', 'kreis', 'nett', 'befreundet', 'reden', 'untereinander', 'aufnehmen', 'wussen', 'erinnern', 'organisieren', 'hören', 'nachbar', 'verschieden', 'frage', 'kollege', 'gegenseitig', 'besuch', 'gespräch', 'ergeben', 'essen', 'trennen', 'problem', 'versuchen', 'ehemalig', 'kümmern', 'ort', 'interessant', 'privat']

15 ['tag', 'tür', 'angst', 'wussen', 'hören', 'fenster', 'passieren', 'hund', 'rufen', 'schlagen', 'polizei', 'richtig', 'kopf', 'hand', 'wussten', 'nachts', 'kennen', 'mensch', 'merken', 'bett', 'schlafen', 'gehören', 'warten', 'schlimm', 'straße', 'gott', 'abend', 'abends', 'tisch', 'wusste', 'ecke', 'klopfen', 'fallen', 'spät', 'zeigen', 'herr', 'aufmachen', 'verstecken', 'stunde', 'hingehen', 'woche', 'letzter', 'offen', 'versuchen', 'platz', 'ruhig', 'melden', 'licht', 'geh', 'morgens']

16 ['mama', 'gott', 'mädchen', 'mutter', 'papa', 'erinnern', 'krieg', 'weinen', 'wohnen', 'kind', 'schwester', 'haus', 'sterben', 'straße', 'lieben', 'schauen', 'schicken', 'arbeit', 'tochter', 'helfen', 'deutschland', 'vater', 'rufen', 'tante', 'bitten', 'dorf', 'zeit', 'charkow', 'spät', 'stadt', 'arm', 'nadja', 'maria', 'warten', 'mensch', 'zeigen', 'foto', 'antworten', 'geh', 'kiew', 'nennen', 'freundin', 'treffen', 'herrin', 'schura', 'hausherrin', 'hausherr', 'nachbarin', 'krank', 'schlecht']

17 ['lager', 'deutsch', 'arbeit', 'deutsche', 'erinnern', 'baracke', 'stadt', 'fabrik', 'deutschland', 'essen', 'tag', 'barack', 'mensch', 'schicken', 'franzose', 'werk', 'mädchen', 'schlagen', 'russe', 'führen', 'spät', 'polen', 'jungs', 'russisch', 'fliehen', 'kriegsgefangen', 'polizist', 'wohnen', 'kleidung', 'zimmer', 'zeit', 'verschieden', 'amerikaner', 'schauen', 'kantine', 'pole', 'brot', 'zweiter', 'schlecht', 'trennen', 'wussten', 'konzentrationslager', 'befreien', 'behandeln', 'waggon', 'stacheldraht', 'nennen', 'nähe', 'arbeiter', 'zaun']

18 ['vater', 'mutter', 'gebären', 'familie', 'eltern', 'kind', 'großvater', 'großmutter', 'bruder', 'schwester', 'sterben', 'krieg', 'großeltern', 'geschwister', 'zeit', 'heiraten', 'kindheit', 'weltkrieg', 'schule', 'haus', 'zweiter', 'oma', 'brüder', 'spät', 'stammen', 'onkel', 'aufwachsen', 'wohnen', 'erinnern', 'opa', 'jahrgang', 'erinnerung', 'großelter', 'beruf', 'kennen', 'mütterlicherseits', 'besuchen', 'väterlicherseits', 'lernen', 'elternhaus', 'nennen', 'dorf', 'nähe', 'tante', 'geburt', 'fangen', 'üblich', 'generation', 'gewohnen', 'gegend']

19 ['arzt', 'krankenhaus', 'krank', 'tag', 'sterben', 'woche', 'krankheit', 'schwer', 'doktor', 'operieren', 'spät', 'medikament', 'behandeln', 'helfen', 'gesund', 'untersuchen', 'schlimm', 'operation', 'bett', 'krankenschwester', 'schlecht', 'ärztin', 'klinik', 'zeit', 'patient', 'bein', 'schwester', 'behandlung', 'professor', 'fieber', 'zweiter', 'untersuchung', 'spritze', 'feststellen', 'herz', 'medizinisch', 'angst', 'station', 'ordnung', 'lunge', 'tuberkulose', 'letzter', 'glück', 'normal', 'arbeit', 'krebs', 'pflegen', 'schmerz', 'warten', 'ärzten']

20 ['nähen', 'anziehen', 'kaufen', 'schön', 'kleidung', 'rot', 'hose', 'schuh', 'schwarz', 'stoff', 'kleid', 'stricken', 'kleider', 'blau', 'anzug', 'haare', 'haar', 'stiefel', 'mantel', 'mädchen', 'jacke', 'mutter', 'hemd', 'zeit', 'erinnern', 'waschen', 'winter', 'rock', 'pullover', 'farbe', 'strümpf', 'bluse', 'hosen', 'grün', 'uniform', 'kopf', 'kreuz', 'warm', 'hand', 'grau', 'kalt', 'leder', 'klamotte', 'schneider', 'stopfen', 'tasche', 'braun', 'dick', 'mitbringen', 'schicken']

21 ['trinken', 'gruppe', 'alkohol', 'therapie', 'synanon', 'trocken', 'alkoholiker', 'droge', 'nüchtern', 'problem', 'abstinenz', 'merken', 'süchtig', 'freund', 'richtig', 'lernen', 'abhängig', 'jüdisch', 'ändern', 'verändern', 'reden', 'ziel', 'situation', 'woche', 'passieren', 'angst', 'abstinent', 'sinn', 'phase', 'beziehung', 'gefühl', 'krankenhaus', 'erfahrung', 'partnerschaft', 'schaffen', 'schritt', 'saufen', 'zeit', 'anfang', 'normal', 'kennen', 'bewusst', 'moment', 'entwickeln', 'rückfall', 'mensch', 'körperlich', 'kontakt', 'freundin', 'ansprechen']

22 ['feiern', 'weihnachten', 'schön', 'geburtstag', 'fest', 'feiertag', 'tag', 'ostern', 'einladen', 'kind', 'hochzeit', 'schenken', 'feier', 'geschenk', 'neujahr', 'kaufen', 'kuchen', 'familie', 'geschenke', 'freuen', 'kennen', 'freude', 'fallen', 'besonderer', 'pfingst', 'erinnern', 'silvester', 'kerze', 'heiligabend', 'tanzen', 'golden', 'besuch', 'vergessen', 'haus', 'heilig', 'tisch', 'gebacken', 'laden', 'geburtstage', 'tradition', 'schmücken', 'fröhlich', 'muttertag', 'lustig', 'abend', 'ehren', 'üblich', 'feiertage', 'kaffee', 'schützenfest']

23 ['studieren', 'studium', 'professor', 'student', 'universität', 'semester', 'uni', 'institut', 'spät', 'hochschule', 'münster', 'examen', 'köln', 'vorlesung', 'berlin', 'promovieren', 'bonn', 'freiburg', 'fakultät', 'zeit', 'fach', 'philosophie', 'kollege', 'geschichte', 'münchen', 'wissenschaftlich', 'zweiter', 'psychologie', 'abitur', 'stelle', 'seminar', 'jurist', 'kennen', 'pädagogisch', 'relativ', 'interessant', 'medizin', 'jura', 'deutsch', 'göttingen', 'staatsexamen', 'beworben', 'assistent', 'heidelberg', 'akademie', 'promotion', 'lernen', 'lehrstuhl', 'dozent', 'dortmund']

24 ['deutsch', 'polen', 'polnisch', 'russisch', 'deutschland', 'deutsche', 'sprache', 'russe', 'russland', 'krieg', 'pole', 'land', 'lernen', 'sowjetunion', 'mensch', 'stalin', 'moskau', 'tschechisch', 'ukraine', 'tscheche', 'familie', 'wussten', 'grenze', 'gehören', 'sowjetisch', 'gebiet', 'zeit', 'kennen', 'armee', 'stadt', 'österreich', 'hitler', 'zweiter', 'bevölkerung', 'reden', 'mhmh', 'ukrainisch', 'erinnern', 'tschechoslowakei', 'ausländer', 'hören', 'sibirien', 'verschieden', 'weltkrieg', 'warschau', 'übersetzen', 'jugoslawien', 'regierung', 'ukrainer', 'unterschied']

25 ['frage', 'zeit', 'richtig', 'versuchen', 'problem', 'politisch', 'gewiß', 'art', 'rolle', 'führen', 'geschichte', 'sinn', 'mensch', 'situation', 'meinung', 'erfahrung', 'gehören', 'möglichkeit', 'weise', 'form', 'erleben', 'entwicklung', 'entwickeln', 'letzter', 'grunde', 'unterschiedlich', 'verschieden', 'gespräch', 'anfang', 'merken', 'bereich', 'richtung', 'ändern', 'diskussion', 'unterschied', 'diskutieren', 'generation', 'deutlich', 'grund', 'relativ', 'gefühl', 'spät', 'verhältnis', 'interessant', 'passieren', 'offen', 'positiv', 'absolut', 'sozial', 'vorstellung']

26 ['lager', 'tag', 'auschwitz', 'mensch', 'arbeit', 'erinnern', 'wussten', 'baracke', 'deutsch', 'essen', 'gruppe', 'sterben', 'zeit', 'nummer', 'spät', 'barack', 'ort', 'block', 'ss', 'häftling', 'mädchen', 'jude', 'schicken', 'überleben', 'art', 'wussen', 'deutsche', 'brot', 'appell', 'schauen', 'reihe', 'kleidung', 'transport', 'platz', 'krank', 'hören', 'zählen', 'dachau', 'wasser', 'schrecklich', 'belsen', 'befreien', 'fabrik', 'buchenwald', 'bergen', 'marschieren', 'schlafen', 'schlagen', 'passieren', 'konzentrationslager']

27 ['konzert', 'punk', 'spät', 'düsseldorf', 'kennen', '78', '79', 'richtig', 'mettmann', 'zeit', 'gehören', 'sommer', '80', 'straße', 'anfang', '81', '77', 'typ', 'krause', 'platte', 'echt', '1980', 'lernen', 'hof', 'scheiße', 'szene', 'england', 'dokie', 'jasper', 'treffen', 'zweiter', 'herbst', 'komisch', 'geil', 'hören', 'london', 'dortmund', 'festival', 'kaufen', 'düsseldorfer', 'absolut', 'musik', 'rating', 'luis', 'vd', 'ratinger', '76', 'aram', 'campino', 'rocker']

28 ['essen', 'brot', 'kochen', 'kartoffel', 'gegessen', 'tag', 'suppe', 'hunger', 'butter', 'zucker', 'kaufen', 'fleisch', 'milch', 'küche', 'lebensmittel', 'wurst', 'mehl', 'wasser', 'kaffee', 'abends', 'woche', 'aßen', 'backen', 'zeit', 'schlecht', 'schmecken', 'gramm', 'erinnern', 'fett', 'tisch', 'fisch', 'pfund', 'hungern', 'löffel', 'mittagessen', 'helfen', 'gemüse', 'stückchen', 'speck', 'eier', 'satt', 'salz', 'teller', 'gebacken', 'klauen', 'aß', 'scheibe', 'kuchen', 'sack', 'morgens']

29 ['trinken', 'kaffee', 'rauchen', 'bier', 'flasche', 'zigarett', 'wein', 'schnaps', 'glas', 'kaufen', 'tasse', 'tee', 'zigarette', 'tabak', 'alkohol', 'wasser', 'tisch', 'verkaufen', 'schokolade', 'gerne', 'kneipe', 'abends', 'richtig', 'anbieten', 'schön', 'schwarz', 'essen', 'cola', 'schluck', 'zigaretten', 'wodka', 'tag', 'zucker', 'geschäft', 'milch', 'schmecken', 'durst', 'paket', 'tasche', 'getränk', 'schachtel', 'bestellen', 'gläser', 'gegessen', 'heiß', 'lokal', 'mitbringen', 'kuchen', 'morgens', 'abend']

30 ['schule', 'klasse', 'lehrer', 'lernen', 'schüler', 'kind', 'gymnasium', 'lehrerin', 'unterricht', 'eltern', 'spät', 'unterrichten', 'erinnern', 'grundschule', 'schulzeit', 'volksschule', 'mädchen', 'schuljahr', 'abitur', 'besuchen', 'richtig', 'zeit', 'vierter', 'oberschule', 'fünfter', 'englisch', 'achter', 'direktor', 'zweiter', 'realschule', 'dritter', 'stunde', 'zehnter', 'geschichte', 'schlecht', 'einschulen', 'mittelschule', 'sechster', 'gerne', 'vater', 'deutsch', 'schulleiter', 'neunter', 'mathematik', 'latein', 'normal', 'hauptschule', 'schülerin', 'internat', 'siebter']

31 ['musik', 'theater', 'lieder', 'schön', 'klavier', 'chor', 'lied', 'lernen', 'hören', 'konzert', 'geige', 'tanzen', 'musikalisch', 'kennen', 'orchester', 'üben', 'stimme', 'gitarre', 'gerne', 'musiker', 'bühne', 'oper', 'kultur', 'text', 'wunderbar', 'sänger', 'instrument', 'melodie', 'aufführen', 'abend', 'akkordeon', 'beibringen', 'gesang', 'aufführung', 'nennen', 'schauspieler', 'gehören', 'kapelle', 'modern', 'musizieren', 'spaß', 'volkslieder', 'kulturell', 'interessant', 'unterricht', 'künstler', 'orgel', 'flügel', 'auftreten', 'musikschule']

32 ['gefängnis', 'verhaften', 'zelle', 'entlassen', 'verurteilen', 'tag', 'bautzen', 'russe', 'wussen', 'russisch', 'cottbus', 'spät', 'einsperren', 'offizier', 'gefangener', 'waldheim', 'verhören', 'verhaftung', 'ddr', 'sowjetisch', 'erfahren', 'buchenwald', 'werwolf', 'haft', 'unterschreiben', 'stasi', 'wussten', 'entlassung', 'politisch', 'westen', 'keller', 'polizei', 'verhör', 'deutsch', 'ehemalig', 'vernehmung', 'sogenannter', 'zeit', 'woche', 'zuchthaus', 'lager', 'kennen', 'nennen', 'halle', 'berlin', 'abholen', 'strafe', 'dresden', '25', 'zellen']

