0 ['bdm', 'jugend', 'hitlerjugend', 'uniform', 'jungvolk', 'schule', 'gruppe', 'mädchen', 'deutsch', 'politisch', 'schön', 'hj', 'marschieren', 'antreten', 'arbeitsdienst', 'nennen', 'führerin', 'lachen', 'führer', 'fahne', 'eltern', 'mitmachen', 'erinnern', 'dienst', 'jugendgruppe', 'lager', 'mussen', 'gerne', 'lieder', 'essen', 'hitler', 'katholisch', 'bund', 'fahrt', 'fallen', 'führerinn', 'sport', 'fähnleinführer', 'jugendbewegung', 'jugendliche', 'fdj', 'wandern', 'kameradschaft', 'wanderung', 'jugendlich', 'pimpfe', 'vater', 'begeistert', 'nationalsozialismus', 'kinderlandverschickung']
38 ['gericht', 'herr', 'unterschreiben', 'antrag', 'prozess', 'akte', 'richter', 'unterlage', 'urteil', 'verfahren', 'grund', 'anwalt', 'papier', 'deutsch', 'beantragen', 'rechtsanwalt', 'gesetz', 'bescheinigung', 'unterschrift', 'behörde', 'spät', 'ausweis', 'ablehnen', 'zeuge', 'entschädigung', 'verurteilen', 'staatsanwalt', 'politisch', 'melden', 'schriftlich', 'dokument', 'schicken', 'bestätigen', 'einreichen', 'berlin', 'amt', 'verhandlung', 'aussage', 'ministerium', 'erklären', 'anerkennen', 'stempel', 'polizei', 'bescheid', 'justiz', 'mitteilen', 'nummer', 'ausstellen', 'abgeben', 'stasi']

39 ['russe', 'amerikaner', 'soldat', 'krieg', 'russisch', 'deutsch', 'amerikanisch', 'gefangenschaft', 'offizier', 'engländer', 'tag', 'lager', 'franzose', 'angst', 'ami', '45', 'passieren', 'essen', 'englisch', 'erleben', 'wussten', 'armee', 'sowjetisch', 'straße', 'zeit', 'spät', 'gehören', 'schlimm', 'gefangener', 'haus', 'panzer', 'französisch', 'truppe', 'kriegsgefangen', 'schießen', 'besetzen', 'kriegsend', 'russland', 'glück', 'erschießen', 'rüber', '1945', 'uniform', 'vergewaltigen', 'besatzung', 'dorf', 'kaputt', 'letzter', 'entlassen', 'zone']

40 ['grenze', 'dorf', 'bürgermeister', 'drüben', 'lpg', 'ort', 'rüber', 'westen', 'landwirtschaft', 'bauer', 'lachen', 'kreis', 'zwingen', 'erfurt', 'gaststätte', '52', 'gemeinde', 'worbis', 'betrieb', 'zeit', '61', 'duderstadt', 'sperrgebiet', 'land', 'magdeburg', 'vierzehn', 'abhauen', 'enteignen', 'nordhausen', 'versammlung', 'wohnen', 'gehören', 'mitmachen', 'aussiedeln', 'heiligenstadt', 'fünfzig', 'polizei', 'dörfer', 'einsperren', 'aussiedlung', 'erinnern', 'letzter', 'weisen', 'zwangsaussiedlung', 'ebent', 'hof', 'stasi', 'gastwirtschaft', 'typ', 'bleicherode']

41 ['zeit', 'schön', 'richtig', 'gerne', 'mensch', 'arbeit', 'schwer', 'schlecht', 'merken', 'versuchen', 'lernen', 'frage', 'gefühl', 'schlimm', 'schaffen', 'problem', 'fallen', 'kennen', 'erleben', 'helfen', 'hören', 'überlegen', 'anfang', 'froh', 'gott', 'fühlen', 'beruf', 'letzter', 'reden', 'möglichkeit', 'tag', 'spät', 'grund', 'wussen', 'schwierigkeit', 'erfahrung', 'empfinden', 'stimmen', 'gehören', 'ehrlich', 'gewiß', 'zufrieden', 'ändern', 'grunde', 'spaß', 'gedanke', 'sinn', 'geld', 'klappen', 'moment']

42 ['dorf', 'krieg', 'kolchose', 'deutschland', 'vater', 'erinnern', 'mutter', 'schule', 'deutsche', 'sterben', 'minsk', 'mensch', 'gebiet', 'haus', 'spät', 'armee', 'familie', 'iwan', 'bauen', 'bruder', 'pferd', 'kolchos', 'schwester', 'klasse', 'stadt', '1941', 'wohnen', 'kilometer', 'kuh', 'land', 'kreis', 'dörfer', 'ukraine', 'schicken', 'deutsch', 'fuß', 'kennen', 'kiew', 'hunger', 'hungersnot', 'verschleppen', 'kind', 'gott', 'kehren', '1943', 'straße', 'kyjiw', 'front', 'treffen', 'gehören']

43 ['geld', 'bezahlen', 'kaufen', 'verdienen', 'kosten', 'zahlen', 'verkaufen', 'rente', 'pfennig', 'zeit', 'prozent', '50', 'arbeit', 'teuer', 'sparen', 'billig', 'euro', 'tag', 'schaffen', 'preis', 'lohn', 'schlecht', 'ausgeben', 'finanziell', 'staat', '40', 'gehalt', 'geschäft', 'wert', '25', 'leisten', 'auszahlen', 'abgeben', 'steuer', '500', 'rechnen', 'einkaufen', 'letzter', 'stunde', '200', '1000', 'woche', 'miete', 'summe', 'million', 'hälfte', 'haus', 'schuld', '400', 'entschädigung']

44 ['flüchtling', 'dorf', 'ort', 'heimat', 'flucht', 'bauer', 'land', 'stadt', 'ostpreuß', 'schlesien', 'polen', 'grenze', 'königsberg', 'hannover', 'kilometer', 'danzig', 'gehören', 'polnisch', 'flüchten', 'breslau', 'hamburg', 'wohnen', 'westen', 'familie', 'kennen', 'gegend', 'ostpreußen', 'dörfer', 'bayern', 'bauernhof', 'nennen', 'osten', 'schleswig', 'stammen', 'gebiet', '45', 'thüringen', 'mecklenburg', 'ruhrgebiet', 'kreis', 'schwerin', 'richtung', 'niedersachsen', 'sachsen', 'pommern', 'stettin', 'berlin', 'sogenannter', 'ecke', 'schön']

45 ['jude', 'jüdisch', 'ungarn', 'ungarisch', 'erinnern', 'stadt', 'budapest', 'familie', 'synagoge', 'israel', 'religiös', 'hebräisch', 'rumänien', 'rumänisch', 'vater', 'nennen', 'gemeinde', 'bruder', 'ort', 'lernen', 'bukarest', 'jiddisch', 'rabbiner', 'gehören', 'orthodox', 'zeit', 'problem', 'kind', 'rabbi', 'wussen', 'zwangsarbeit', 'synagog', 'mensch', 'zurückkehren', 'beten', 'schabbat', 'krieg', 'tag', 'befinden', 'straße', 'schicken', 'feiertag', 'arbeit', 'religion', 'kaschau', 'kippur', 'pessach', 'brüder', 'kennen', 'wien']

46 ['zeitung', 'artikel', 'journalist', 'verlag', 'redaktion', 'redakteur', 'presse', 'chefredakteur', 'nachricht', 'zeitschrift', 'drucken', 'lizenz', 'papier', 'druckerei', 'handelsblatt', 'vogel', 'kennen', 'verleger', 'freiheit', 'anzeige', 'herr', 'bericht', 'deutsch', 'post', 'politisch', 'redakteure', 'leser', 'rheinisch', 'spiegel', 'rundschau', 'blatt', 'wirtschaft', 'volkszeitung', 'tageszeitung', 'meldung', 'mitarbeiter', 'journalistisch', 'wahnsinnig', 'engländer', 'journalismus', 'verbieten', 'nationalzeitung', 'auflage', 'kollege', 'brite', 'text', 'abonnieren', 'lokal', 'tag', 'woche']

47 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'gemeinde', 'kirchlich', 'christlich', 'pastor', 'taufen', 'religion', 'religiös', 'beten', 'christ', 'gott', 'gläubig', 'kind', 'gottesdienst', 'katholik', 'zeit', 'eltern', 'konfirmieren', 'jugendweihe', 'austreten', 'predigen', 'mensch', 'bischof', 'konfirmation', 'religionsunterricht', 'nennen', 'rolle', 'erziehen', 'gehören', 'priester', 'stadt', 'fromm', 'bibel', 'jugend', 'trauen', 'sonntags', 'geistlich', 'herr', 'kommunion', 'gebet', 'besuchen', 'messe', 'streng', 'jesus', 'heilig', 'mitglied', 'schule']

48 ['heiraten', 'kind', 'sohn', 'tochter', 'verheiraten', 'gebären', 'zweiter', 'familie', 'wohnen', 'sterben', 'wohnung', 'kennen', 'enkel', 'hochzeit', 'lernen', 'schwiegermutter', 'scheiden', 'spät', 'schön', 'söhne', 'eltern', 'schwiegervater', 'mutter', 'mädchen', 'schwiegersohn', 'töchter', 'schwester', 'haus', 'welt', 'geld', 'enkelin', 'schwiegertochter', 'tag', 'scheidung', 'lieben', 'zeit', 'verloben', 'beruf', 'schwanger', 'heirat', 'studieren', 'dritter', 'enkelkind', 'gerne', 'arbeit', 'gott', 'trennen', 'schwer', 'besuchen', 'freundin']

49 ['zeche', 'krupp', 'kohle', 'bergbau', 'essen', 'ruhrgebiet', 'steiger', 'tag', 'bergmann', 'krieg', 'kumpel', 'zeit', 'schicht', 'arbeit', 'bergleute', 'schacht', 'nennen', 'mülheim', 'hauer', 'meter', 'straße', 'borbeck', 'wagen', 'betriebsführer', 'heimaterde', 'spät', 'kruppsch', 'duisburg', 'wohnen', 'fördern', 'franzose', 'verdienen', 'arbeiter', 'tonne', 'schachtanlage', 'leistung', 'stempel', 'gehören', 'oberhausen', 'kumpels', 'bergarbeiter', 'altenesse', 'grube', 'streb', 'wahr', 'kollege', 'wohnung', 'walsum', 'recklinghausen', 'anton']

50 ['zeit', '45', 'krieg', '48', '46', '47', '49', '50', 'spät', 'anfang', '52', '1950', '51', '53', '50er', 'lachen', '1945', 'währungsreform', '1948', 'erinnern', 'aufbauen', '1946', '1949', 'nachkriegszeit', '1947', '55', '54', 'normal', 'gefangenschaft', 'schwer', '1951', 'damalig', 'entlassen', '40', 'heiraten', 'essen', '1952', 'fünfziger', 'düsseldorf', 'richtig', '56', 'zone', '57', 'fangen', '1953', '44', 'kriegsgefangenschaft', 'stimmen', 'relativ', 'zerstören']

51 ['sport', 'fußball', 'verein', 'schwimmen', 'sportlich', 'sportverein', 'spiel', 'mitmachen', 'richtig', 'jugend', 'mannschaft', 'handball', 'sportplatz', 'zeit', 'freund', 'vereine', 'schön', 'sportler', 'ball', 'turnen', 'erinnern', 'turnverein', 'treiben', 'spaß', 'freizeit', 'schule', 'gewinnen', 'tennis', 'trainieren', 'schach', 'training', 'stadion', 'jungs', 'boot', 'straße', 'vereinen', 'trainer', 'gerne', 'olympiade', 'leichtathletik', 'gruppe', 'wandern', 'fußballspiel', 'jugendlich', 'tischtennis', 'skat', 'leistung', 'fußballer', 'mitglied', 'organisieren']

52 ['tag', 'stunde', 'woche', 'abends', 'zeit', 'morgens', 'arbeit', 'essen', 'abend', 'nachmittags', 'mittags', 'schlafen', 'sonntags', 'nachts', 'spät', 'wochenende', 'schön', 'urlaub', 'aufstehen', 'bett', 'nachmittag', 'samstags', 'minute', 'richtig', 'vierzehn', 'elf', 'mittag', 'letzter', 'mittagessen', 'mussen', 'dauern', 'zweimal', 'freizeit', 'unterwegs', 'zuhause', 'schicht', 'gerne', 'warten', 'gegessen', 'schlecht', 'sommer', 'arbeitszeit', 'anfang', 'viertel', 'feierabend', 'tagsüber', 'nachtschicht', 'frühstück', 'schluss', 'normal']

53 ['dortmund', 'herr', 'hagen', 'weiss', 'westfalenpost', 'sträter', 'soest', 'hattingen', 'zeitung', 'lachen', 'siegen', 'butz', 'hanke', 'westfälisch', 'richtig', 'lensing', 'hamm', 'westdruck', 'westfalen', 'gehören', 'dr', 'schmelzer', 'bochum', 'unna', 'iserlohn', 'spät', 'heisst', 'lüdenscheid', 'druck', 'lippstadt', 'herrn', 'ruhrgebiet', 'betrieb', 'gustav', 'ausgabe', 'pesch', 'gebiet', '49', 'altverleger', 'kurier', 'haspe', 'rundschau', 'vertrag', 'sauerland', 'peukert', 'firma', 'neuendorf', 'witten', 'technisch', 'dortmunder']

54 ['wahr', 'jasenovac', 'kollege', 'kuckuck', 'ustascha', 'gruppe', 'spät', 'gehören', 'warschau', 'geschichte', 'herr', 'verschieden', 'schlecht', 'normal', 'eventuell', 'toi', 'stottern', 'gradika', 'schluß', 'tonqualität', 'seinerzeit', 'stara', 'kennen', 'augenblick', 'dinger', 'hinrichten', 'sogenannter', 'drüben', 'vierzehn', 'weltkrieg', 'ehemalig', 'komisch', 'polnisch', 'handwerker', 'angeblich', 'staudinger', 'dauern', 'serbe', 'einheit', 'sögen', 'bezirk', 'kettwig', 'garnicht', 'stotternd', 'kroate', 'paß', 'zeugs', 'material', 'gestehen', 'fahrer']

55 ['schäfer', 'gruppe', 'chile', 'deutschland', 'kolonie', 'colonia', 'paul', 'wussen', 'wolfgang', 'spät', 'chilenisch', 'dignidad', 'deutsch', 'hopp', 'botschaft', 'santiago', 'krankenhaus', 'reden', 'kind', 'jungs', 'gruppentante', 'schmidt', 'hartmut', 'gemeinde', 'zeit', 'bibel', 'müller', 'herr', 'mädchen', 'colono', 'siegburg', 'schmidtke', 'system', 'mitbekommen', 'gehören', 'baar', 'sekt', 'papa', 'sogenannter', 'horst', 'passieren', 'wussten', 'diktatur', 'opfer', 'kinderhaus', 'missbrauch', 'gronau', 'wahnsinnig', 'schaffen', 'hugo']

56 ['lernen', 'geschäft', 'lehre', 'beruf', 'zeit', 'schule', 'firma', 'arbeit', 'laden', 'vater', 'verdienen', 'verkaufen', 'haushalt', 'verkäuferin', 'betrieb', 'lehrling', 'lehrstelle', 'krieg', 'lachen', 'ausbildung', 'geld', 'meister', 'kaufmännisch', 'kennen', 'gerne', 'übernehmen', 'richtig', 'maurer', 'konsum', 'zuhause', 'kunde', 'duisburg', 'arbeitslos', 'arbeitsamt', 'chef', 'bäcker', 'bäckerei', 'stelle', 'heiraten', 'büro', 'selbständig', 'helfen', 'bruder', 'nennen', 'angestellter', 'beschäftigen', 'berufsschule', 'eltern', 'schlosser', 'schwer']

57 ['kind', 'kindergarten', 'eltern', 'krippe', 'gruppe', 'einrichtung', 'erzieher', 'wende', 'schön', 'erzieherin', 'dresden', 'leiterin', 'schule', '', 'ddrzeit', 'lernen', 'ausbildung', 'hort', 'arbeit', 'erziehung', 'mutti', 'gerne', 'erinnern', 'ddr', 'zeit', 'kindergärtnerin', 'kindergärt', 'freiheit', 'betreuen', 'lehrer', 'kindergarte', 'kita', 'gehören', 'kinderkrippe', 'schaffen', 'beschäftigung', 'betrieb', 'sozial', 'dorf', 'narayen', 'kollegin', 'alltag', 'erziehen', 'stunde', 'raum', 'wendezeit', 'kollege', 'spaß', 'kindheit', 'pädagogik']

58 ['berlin', 'mauer', 'ddr', 'westen', 'westberlin', 'drüben', 'rüber', 'berliner', 'grenze', 'ostberlin', 'stadt', 'westdeutschland', 'osten', 'straße', 'leipzig', 'wohnen', 'besuchen', 'erinnern', 'west', 'kennen', 'auto', 'ost', 'kreuzberg', 'besuch', 'tor', 'potsdam', 'bauen', 'tag', 'sbahn', 'wahnsinnig', 'westberliner', 'kontakt', 'abhauen', 'mauerbau', 'unglaublich', 'brandenburger', 'gehören', 'zoo', 'bahnhof', 'richtung', 'westdeutsch', 'vergessen', 'politisch', 'treffen', 'friedrichstraße', 'bundesrepublik', 'kudamm', 'verwandter', 'ubahn', 'bild']

59 ['stocken', 'brechen', 'wald', 'natur', 'baum', 'naturschutz', 'förster', 'herr', 'jagd', 'jäger', 'fläche', 'kennen', 'pflanze', 'gebiet', 'schön', 'tier', 'pflanzen', 'landschaft', 'vögel', 'lienenkämper', 'forstamt', 'hektar', 'gehören', 'lüdenscheid', 'wachsen', 'grün', 'wälder', 'moor', 'bäume', 'naturschutzgebiet', 'bielefeld', 'betreiben', 'lachen', 'bauer', 'solingen', 'schmidt', 'schießen', 'jagen', 'raum', 'hecke', 'zeigen', 'leverkusen', 'schützen', 'bd', 'düren', 'kreis', 'mensch', 'heide', 'sgv', 'hase']

60 ['frage', 'interview', 'geschichte', 'herr', 'gerne', 'gespräch', 'interessant', 'zeit', 'lebensgeschichte', 'schön', 'hören', 'zweiter', 'archiv', 'bitten', 'nachfragen', 'interessiert', 'führen', 'moment', 'letzter', 'kennen', 'schicken', 'richtig', 'herrn', 'spät', 'stimmen', 'gehören', 'tonband', 'bild', 'reden', 'projekt', 'versuchen', 'adresse', 'buch', 'bericht', 'aufgeschrieben', 'erfahren', 'erfahrung', 'anfang', 'ausführlich', 'kopieren', 'verschieden', 'kamera', 'akte', 'erinnerung', 'beschäftigen', 'aufnehmen', 'melden', 'zusammenhang', 'fangen', 'zeigen']

61 ['armee', 'iphe', 'bundeswehr', 'intavp', 'offizier', 'major', 'soldat', 'militär', 'general', 'militärisch', 'hauptmann', 'dienst', 'oberst', 'rostock', 'bulgarisch', 'sofia', 'gruppe', 'dienen', 'bulgarien', 'lager', 'herr', 'befehl', 'volksarmee', 'einberufen', 'wehrdienst', 'arbeit', 'kaserne', 'kommissar', 'kommandeur', 'polizei', 'dobritsch', 'auftrag', 'waffe', 'bataillon', 'rang', 'national', 'interessant', 'oberleutnant', 'regiment', 'sowjetisch', 'truppe', 'chaskowo', 'reserve', 'kommandant', 'erfüllen', 'intavpn', 'objekt', 'normal', 'uniform', 'verweigern']

62 ['gewerkschaft', 'betriebsrat', 'betrieb', 'kollege', 'wählen', 'vorsitzend', 'mitglied', 'gewerkschaftlich', 'ig', 'essen', 'krupp', 'arbeit', 'spät', 'firma', 'streik', 'belegschaft', 'metall', 'vorstand', 'angestellter', 'zeit', 'politisch', 'frage', 'aeg', 'herr', 'mitbestimmung', 'dgb', 'hauptamtlich', 'gesetz', 'organisieren', 'arbeitgeber', 'betriebsverfassungsgesetz', 'arbeitsplatz', 'lachen', 'versammlung', 'aufsichtsrat', 'damalig', 'spd', 'deutsch', 'wahl', 'arbeitsfront', 'arbeiter', 'riegel', 'beschäftigen', 'arbeitnehmer', 'kpd', 'vertreten', 'ehrenamtlich', 'betreiben', 'einzeln', 'ötv']

63 ['lieberose', 'cottbus', 'jamlitz', 'brechen', 'uff', 'jemacht', 'forst', 'fürstenberg', 'lieberos', 'keene', 'lübben', 'lachen', 'eko', 'iss', 'pusten', 'stocken', 'eisenhüttenstadt', 'stöhnend', 'jesacht', 'zeit', 'hochofen', 'gube', 'zwee', 'nüscht', 'neuzelle', 'drüben', 'frankfurt', 'ofen', 'kleene', 'gloobe', 'tag', 'richtig', 'rüber', 'mensch', 'sin', 'sachten', 'eenmal', 'inne', 'ss', 'sägewerk', 'jearbeitet', 'beeskow', 'lübbenau', 'kenn', 'stein', 'gaststätte', 'nüschen', 'unjefähr', 'ruhig', 'globe']

64 ['auto', 'fahrrad', 'wagen', 'bus', 'straße', 'kilometer', 'fahrer', 'führerschein', 'lkw', 'motorrad', 'schön', 'unterwegs', 'tag', 'fahrzeug', 'kaufen', 'fuß', 'fahrräder', 'fahrt', 'autobahn', 'warten', 'rad', 'fahrn', 'richtung', 'benzin', 'hingefahren', 'motor', 'bauen', 'bahn', 'berg', 'anhalten', 'mercedes', 'kennen', 'strecke', 'wartburg', 'kaputt', 'reparieren', 'hinfahren', 'platz', 'lastwagen', 'mitfahren', 'abholen', 'verkehr', 'opel', 'freundin', 'garage', 'gegend', 'räder', 'spät', 'bahnhof', 'mitgefahren']

65 ['schwester', 'mutter', 'bruder', 'vater', 'onkel', 'tante', 'familie', 'sterben', 'eltern', 'kind', 'wohnen', 'spät', 'besuchen', 'haus', 'schicken', 'wussen', 'krieg', 'tag', 'schwager', 'zeit', 'cousine', 'heiraten', 'cousin', 'tant', 'geschwister', 'sohn', 'tochter', 'brüder', 'tot', 'schwägerin', 'besuch', 'kennen', 'erfahren', 'kontakt', 'fallen', 'ankommen', 'adresse', 'gehören', 'post', 'treffen', 'verwandter', 'drüben', 'zurückkommen', 'verheiraten', 'wussten', 'zurückgekommen', 'wohnung', 'oma', 'aufnehmen', 'helfen']

66 ['kind', 'eltern', 'mutter', 'familie', 'tochter', 'schule', 'schön', 'mädchen', 'gebären', 'mutti', 'oma', 'schwester', 'haus', 'richtig', 'sohn', 'baby', 'mütter', 'schwanger', 'kindergarten', 'spät', 'schlimm', 'kümmern', 'puppe', 'kindheit', 'arm', 'zuhause', 'alter', 'gerne', 'zeit', 'erziehen', 'welt', 'kennen', 'haushalt', 'erwachsen', 'papa', 'erinnern', 'erziehung', 'merken', 'aufpassen', 'geburt', 'normal', 'weinen', 'abholen', 'kinderwagen', 'furchtbar', 'mama', 'angst', 'helfen', 'schwer', 'garten']

67 ['buch', 'bücher', 'geschichte', 'literatur', 'gedicht', 'interessant', 'bibliothek', 'deutsch', 'schön', 'schriftsteller', 'kennen', 'zeigen', 'zeit', 'beschreiben', 'zeitschrift', 'roman', 'büchern', 'spät', 'schrift', 'verlag', 'interessiert', 'schenken', 'übersetzen', 'goethe', 'lernen', 'nennen', 'welt', 'berühmt', 'artikel', 'kaufen', 'professor', 'beschäftigen', 'jahrhundert', 'dick', 'stefan', 'menge', 'versuchen', 'karl', 'bild', 'schicken', 'berlin', 'wolf', 'zweiter', 'heft', 'text', 'buchhandlung', 'bücherei', 'zeitung', 'herausgeben', 'blättern']

68 ['deutsch', 'deutsche', 'soldat', 'erschießen', 'wald', 'tag', 'dorf', 'haus', 'verstecken', 'straße', 'schießen', 'hören', 'fliehen', 'stadt', 'partisan', 'panzer', 'treiben', 'truppe', 'erinnern', 'front', 'armee', 'wussten', 'spät', 'krieg', 'mensch', 'waffe', 'angst', 'töten', 'partisane', 'richtung', 'führen', 'rannen', 'polizist', 'schaffen', 'gewehr', 'werfen', 'schauen', 'fangen', 'russisch', 'kämpfen', 'nähe', 'fallen', 'nachts', 'polizei', 'offizier', 'kilometer', 'befehl', 'nah', 'flugzeug', 'brücke']

69 ['lachen', 'schön', 'gott', 'richtig', 'kennen', 'gerne', 'mensch', 'hören', 'sögen', 'stimmen', 'reden', 'schlecht', 'ehrlich', 'leise', 'herr', 'überlegen', 'kenn', 'nett', 'echt', 'husten', 'zeit', 'tag', 'fallen', 'find', 'lieb', 'moment', 'hör', 'vergessen', 'rüber', 'wussen', 'kollege', 'gehören', 'drüben', 'komisch', 'unterhalten', 'passen', 'ruhig', 'warten', 'lachend', 'merken', 'spaß', 'kaputt', 'bestimmen', 'wahr', 'wenns', 'herrlich', 'lieber', 'geschichte', 'geh', 'schlimm']

70 ['zimmer', 'küche', 'bett', 'schlafen', 'waschen', 'wasser', 'wäsche', 'schlafzimmer', 'wohnzimmer', 'kochen', 'wohnung', 'tisch', 'raum', 'sauber', 'putzen', 'ofen', 'haus', 'fenster', 'keller', 'toilette', 'waschmaschine', 'heizen', 'tür', 'kalt', 'schrank', 'flur', 'warm', 'möbel', 'bad', 'schön', 'herd', 'essen', 'mutter', 'boden', 'baden', 'licht', 'spülen', 'matratze', 'decken', 'schlief', 'elektrisch', 'kohle', 'morgens', 'holz', 'mädchen', 'abends', 'wand', 'treppe', 'einrichten', 'tag']

71 ['musik', 'hof', 'düsseldorf', 'zeit', 'punk', 'straße', 'richtig', 'rating', 'ratinger', 'laden', 'club', 'gehören', 'kennen', 'relativ', 'spät', 'szene', 'auflegen', 'platte', '80er', 'super', 'anfang', 'hören', 'konzert', 'echt', 'mitte', 'stadt', 'normal', 'lustig', 'freund', 'label', 'party', 'wochenende', 'altstadt', '70er', 'ecke', 'richtung', 'treffen', 'verbringen', 'clique', 'unglaublich', 'mitbekommen', 'abend', 'geschichte', 'tanzen', 'irgendwelcher', 'gruppe', 'partys', 'iserlohn', 'künstler', 'bock']

72 ['bild', 'foto', 'zeigen', 'malen', 'schön', 'fotografieren', 'zeichnen', 'ausstellung', 'künstler', 'kunst', 'gerne', 'farbe', 'papier', 'zeit', 'hängen', 'aufnehmen', 'aufnahme', 'fotografie', 'fotograf', 'kamera', 'maler', 'interessant', 'zeichnung', 'spät', 'museum', 'platz', 'verschieden', 'album', 'wand', 'erkennen', 'buch', 'angucken', 'nummer', 'weißen', 'fotos', 'mitte', 'zweiter', 'aussehen', 'anschauen', 'fotoapparat', 'mitbringen', 'künstlerisch', 'entwickeln', 'film', 'schauen', 'warten', 'entstehen', 'galerie', 'dokument', 'arbeit']

73 ['arbeit', 'maschine', 'fabrik', 'meister', 'betrieb', 'werk', 'schwer', 'bauen', 'herstellen', 'arbeiter', 'hand', 'stunde', 'schicht', 'schlosser', 'werkstatt', 'zeit', 'lernen', 'eisen', 'tag', 'ingenieur', 'verschieden', 'abteilung', 'vorarbeiter', 'reparieren', 'kennen', 'halle', 'kaputt', 'produktion', 'drehen', 'kran', 'material', 'werkzeug', 'firma', 'metall', 'anlage', 'elektrisch', 'spät', 'technisch', 'einsetzen', 'reparatur', 'mussen', 'akkord', 'richtig', 'arbeitsplatz', 'dreher', 'chef', 'nennen', 'bohren', 'beruf', 'produzieren']

74 ['pionier', 'klasse', 'schüler', 'schule', 'lehrer', 'fdj', 'ddr', 'direktor', 'unterricht', 'jugendweihe', 'halstuch', 'schulrat', 'arbeitsgemeinschaft', 'volksbildung', 'ddrzeit', 'kollege', 'zehnter', 'geschichte', 'vorbereiten', 'blau', 'lieberose', 'kreisleitung', 'polytechnisch', 'thälmann', 'mitmachen', 'politisch', 'achter', 'erfurt', 'lieberos', 'oberschule', 'stunde', 'neunter', 'eltern', 'wandzeitung', 'erweitert', 'russisch', 'eos', 'ministerium', 'wende', 'pädagogisch', 'kreis', 'fdjler', 'lehrerin', 'organisation', 'weiterbildung', 'bezirk', 'lehrplan', 'angucken', 'reden', 'sed']

75 ['firma', 'bauen', 'industrie', 'unternehmen', 'betrieb', 'technisch', 'prozent', 'unternehmer', 'verkaufen', 'aufbauen', 'herstellen', 'frage', 'bereich', 'wirtschaft', 'entwicklung', 'düsseldorf', 'produzieren', 'übernehmen', 'liefern', 'markt', 'handelskammer', 'interessant', 'million', 'organisation', 'geschäft', 'bank', 'kunde', 'gründen', 'betreiben', 'wirtschaftlich', 'gehören', 'werk', 'geschichte', 'maschine', 'geschäftsführer', 'siemens', 'auftrag', 'kriege', 'verhältnis', 'präsident', 'vernünftig', 'nennen', 'technik', 'kohle', 'produkt', 'mitarbeiter', 'duisburg', 'beschäftigen', 'schwierigkeit', 'stahl']

76 ['krieg', 'einziehen', 'soldat', 'zeit', 'arbeitsdienst', '45', '44', '43', '39', '42', '41', 'melden', 'freiwillig', '40', 'vater', '1940', 'anfang', 'militär', 'gefangenschaft', 'gebären', 'russland', 'wehrmacht', 'entlassen', '38', 'jahrgang', '1941', 'schwer', 'front', 'mitmachen', '1939', '1943', 'zweiter', 'urlaub', '1942', 'letzter', 'weltkrieg', 'spät', 'woche', '1944', 'frankreich', 'tag', 'kriegsend', 'evakuieren', 'bruder', 'ausbildung', 'verwunden', 'fallen', 'erleben', '1945', 'schluss']

77 ['naturschutz', 'kreis', 'herr', 'beirat', 'stadt', 'landschaft', 'kennen', 'bereich', 'düsseldorf', 'natur', 'behörde', 'doktor', 'naturschutzgebiet', 'vorsitzend', 'amt', 'gemeinde', 'kreisbeauftragt', 'fläche', 'regierungspräsident', 'münster', 'tätigkeit', 'stellungnahme', 'gehören', 'bezirksbeauftragt', 'land', 'kreisbeauftragter', 'wald', 'beauftragt', 'naturschützer', 'bund', 'landschaftsbeirat', 'gebiet', 'spät', 'naturschutze', 'stelle', 'neuss', 'arnsberg', '75', 'landwirtschaft', 'beauftragter', 'landschaftsgesetz', 'brechen', 'kollege', 'ministerium', 'problem', 'zeit', 'interessant', 'bezirk', 'tagung', 'lehrer']

78 ['betrieb', 'partei', 'arbeit', 'bitterfeld', 'werk', 'kollektiv', 'lachen', 'arbeiter', 'genosse', 'ddr', 'sozialistisch', 'sowjetisch', 'funktion', 'fdj', 'brigade', 'gehören', 'meister', 'gewerkschaft', 'tag', 'eisenhüttenstadt', 'halle', 'direktor', 'mitglied', 'problem', 'kollege', 'parteisekretär', 'kombinat', 'sed', 'filmfabrik', 'aktivist', 'mensch', 'auszeichnung', 'leipzig', 'drüben', 'politisch', 'bgl', 'gesellschaftlich', 'frage', 'wolf', 'fdgb', 'sowjetunion', 'leistung', 'tätigkeit', 'stalin', 'schicht', 'eko', 'produktion', 'freundschaft', 'betreiben', 'leiter']

