0 ['jüdisch', 'jude', 'erinnern', 'religiös', 'synagoge', 'hebräisch', 'israel', 'vater', 'familie', 'rabbiner', 'jiddisch', 'gemeinde', 'nennen', 'orthodox', 'synagog', 'ort', 'rabbi', 'lernen', 'kind', 'stadt', 'schabbat', 'feiertag', 'beten', 'pessach', 'kippur', 'religion', 'mensch', 'fest', 'zuhause', 'schule', 'jom', 'jeschiwa', 'essen', 'ungarisch', 'gebet', 'spät', 'schwester', 'befinden', 'art', 'bar', 'mädchen', 'bruder', 'helfen', 'tora', 'fromm', 'rosch', 'nichtjude', 'cheder', 'ungarn', 'kosch']
39 ['bauen', 'meter', 'stein', 'holz', 'erde', 'graben', 'hand', 'berg', 'mussen', 'sand', 'bau', 'zeit', 'nennen', 'loch', 'zement', 'wasser', 'dick', 'boden', 'arbeit', 'straße', 'tag', 'spät', 'stelle', 'bretter', 'richtig', 'wagen', 'maschine', 'hart', 'eisen', 'breit', 'kiste', 'zentimeter', 'schwer', 'draht', 'löcher', 'ziegel', 'verlegen', 'dach', 'fest', 'schaffen', '50', 'beton', 'grube', 'kilometer', 'baustelle', 'material', 'mauer', 'brechen', 'hacken', 'schaufel']

40 ['tür', 'tag', 'fenster', 'richtig', 'klopfen', 'abends', 'aufmachen', 'straße', 'abend', 'angst', 'ecke', 'hören', 'wussen', 'tisch', 'kaputt', 'gehören', 'passieren', 'rufen', 'kennen', 'treppe', 'rüber', 'offen', 'hand', 'nachts', 'licht', 'warten', 'mensch', 'gott', 'wussten', 'rauskommen', 'schlüssel', 'wand', 'tor', 'fallen', 'bett', 'öffnen', 'morgens', 'moment', 'stecken', 'haus', 'versuchen', 'hingehen', 'merken', 'letzter', 'dunkel', 'zeigen', 'verstecken', 'keller', 'gestehen', 'gang']

41 ['berlin', 'westberlin', 'mauer', 'berliner', 'ostberlin', 'stadt', 'osten', 'straße', 'erinnern', 'ddr', 'westen', 'kreuzberg', 'tor', 'sbahn', 'rüber', 'lachen', 'kennen', 'westberliner', 'wahnsinnig', 'wohnen', 'kontakt', 'grenze', 'potsdam', 'brandenburger', 'spät', 'freund', 'relativ', 'zoo', 'westdeutschland', 'fallen', 'besuchen', 'ubahn', 'großartig', 'kudamm', 'friedrichstraße', 'unglaublich', 'bahnhof', 'lustig', 'mauerfall', 'brandenburg', 'schön', 'west', 'neukölln', 'interessant', 'ost', 'offen', 'wannsee', 'auto', 'berg', 'freundin']

42 ['lettland', 'wohnen', 'leningrad', 'riga', 'peterhof', 'lette', 'park', 'moskau', 'litauen', 'stadt', 'großmutter', 'schicken', 'gatschina', 'fabrik', 'mama', 'lettisch', 'baltikum', 'estland', 'lisa', 'sestrorezk', 'kronstadt', 'prospekt', 'magadan', 'hausherrin', 'woronesh', 'bahnhof', 'siedlung', 'denkmal', 'stuttgart', 'kirow', 'evakuieren', 'baltisch', 'ulan', 'atelier', 'hotel', 'schaffnerin', 'nähen', 'verhaften', 'baden', 'militärwerk', 'fundort', 'wanja', 'borka', 'julia', 'finnisch', 'zuvor', 'papierindustrie', 'fünfter', 'seemann', 'glatt']

43 ['mensch', 'versuchen', 'zeit', 'richtig', 'fühlen', 'schwer', 'gewiß', 'situation', 'merken', 'problem', 'gefühl', 'reden', 'frage', 'schlecht', 'erleben', 'sinn', 'helfen', 'art', 'meinung', 'fallen', 'weise', 'möglichkeit', 'gerne', 'ändern', 'führen', 'schön', 'schaffen', 'lernen', 'grund', 'offen', 'gespräch', 'familie', 'erfahrung', 'rolle', 'akzeptieren', 'hart', 'normal', 'entscheiden', 'absolut', 'hören', 'druck', 'falsch', 'menschlich', 'verhältnis', 'umgehen', 'empfinden', 'beziehung', 'erklären', 'kennen', 'treffen']

44 ['amerikaner', 'amerikanisch', 'soldat', 'engländer', 'deutsch', 'russe', 'gefangenschaft', 'englisch', 'krieg', 'ami', 'russisch', 'lager', '45', 'zone', 'tag', 'sowjetisch', 'armee', 'franzose', 'offizier', 'amerika', 'befreien', '1945', 'truppe', 'essen', 'neger', 'engländern', 'schwarz', 'besatzung', 'befreiung', 'wussten', 'britisch', 'schokolade', 'besetzen', 'panzer', 'gefangen', 'deutschland', 'bremen', 'gefangener', 'angst', 'deutsche', 'kriegsend', 'elbe', 'gebiet', 'gehören', 'entlassen', 'kriegsgefangenschaft', 'besatzungsmacht', 'kriegsgefangen', 'straße', 'zeit']

45 ['bild', 'foto', 'zeigen', 'fotografieren', 'schön', 'aufnehmen', 'spät', 'kamera', 'fotograf', 'aufnahme', 'fotografie', 'gerne', 'erinnerung', 'museum', 'buch', 'album', 'aussehen', 'erkennen', 'hängen', 'mitte', 'mitbringen', 'letzter', 'fotoapparat', 'fotos', 'schauen', 'moment', 'warten', 'nummer', 'entstehen', 'hochzeit', 'besuch', 'angucken', 'interview', 'schenken', 'schade', 'linker', 'hübsch', 'schicken', 'lieb', 'bruder', 'stolz', 'rechter', 'licht', 'zeitung', 'zeign', 'traurig', 'dokument', 'golden', 'tisch', 'bildern']

46 ['kartoffel', 'garten', 'feld', 'sammeln', 'ernten', 'gemüse', 'helfen', 'obst', 'herbst', 'äpfel', 'rüben', 'land', 'pflücken', 'sommer', 'wachsen', 'getreide', 'weizen', 'winter', 'pflanzen', 'ernte', 'anbauen', 'tomat', 'bauer', 'arbeit', 'rot', 'säck', 'unkraut', 'blume', 'frühjahr', 'kind', 'felder', 'gurke', 'erde', 'korn', 'verkaufen', 'pflanze', 'boden', 'erinnern', 'wald', 'kohl', 'erbse', 'gras', 'möhre', 'rogg', 'maschine', 'säen', 'binden', 'graben', 'bohne', 'grün']

47 ['bochum', 'verein', 'bochumer', 'wattenscheid', 'kennen', 'wohnen', 'zeche', 'dienstverpflichten', 'dienstverpflichtung', 'sauerland', 'langendreer', 'krieg', 'meister', 'haushalt', 'parallel', 'betrieb', 'mhmm', 'pommern', 'arbeiter', 'ruhig', 'kran', 'wern', 'verdienen', 'herr', 'gehören', 'verheiraten', 'bombe', 'schweiß', 'tante', 'dortmund', 'wahr', 'nett', 'werk', 'schonmal', 'weitmar', 'sudetengau', 'hermann', 'theater', 'straßenbahn', 'echt', 'direktor', 'litzmannstadt', 'hintergrund', 'umstand', 'roland', 'stahlhause', 'kortumstraße', 'harpe', 'herne', 'biernath']

48 ['jemacht', 'hochofen', 'eko', 'jesacht', 'nüscht', 'ofen', 'schicht', 'sachten', 'brigade', 'arbeit', 'jearbeitet', 'sin', 'nüschen', 'unjefähr', 'keene', 'jekriegt', 'hochöfner', 'zwee', 'rüber', 'jenau', 'jegangn', 'jegeben', 'dit', 'husten', 'erzähln', 'fürstenberg', 'brigadier', 'sowat', 'betrieb', 'drüben', 'hochof', 'eisenhüttenstadt', 'ruhig', 'jehen', 'wes', '53', 'eisen', 'jekommen', 'jugend', 'stehn', 'uff', 'fahrn', 'jeld', 'masselgießmaschine', 'kleene', 'kriech', 'draheim', 'jeheiratet', 'dis', 'jelernt']

49 ['professor', 'universität', 'philosophie', 'institut', 'wissenschaftlich', 'student', 'kollege', 'promovieren', 'uni', 'wissenschaft', 'fakultät', 'psychologie', 'geschichte', 'interessant', 'stelle', 'deutsch', 'fach', 'dissertation', 'lehrstuhl', 'herr', 'promotion', 'forschung', 'hagen', 'bonn', 'vorlesung', 'sozial', 'mitarbeiter', 'bewerben', 'wissenschaftler', 'spannend', 'professur', 'spät', 'doktorarbeit', 'prof', 'habilitieren', 'saarbrücken', 'assistent', 'untersuchen', 'seminar', 'akademie', 'akademisch', 'soziologie', 'fernuni', 'doktor', 'beckmann', 'heidelberg', 'studieren', 'fernuniversität', 'historiker', 'deutschland']

50 ['rente', 'bezahlen', 'verdienen', 'geld', 'zahlen', 'prozent', '50', 'stunde', 'lohn', 'gehalt', '400', 'letzter', '600', '25', '80', 'arbeit', '500', '40', '300', '150', '200', '70', 'tag', 'schaffen', 'rechnen', 'pfennig', 'verdienst', 'richtig', '1000', 'zeit', 'normal', 'rentner', 'kosten', 'arbeiter', 'zahl', 'löhne', 'prämie', 'woche', 'schlecht', '800', 'schwer', '700', 'niedrig', '90', 'leistung', 'anfang', 'beitrag', 'überstunde', 'zusätzlich', '000']

51 ['musik', 'club', 'platte', 'auflegen', 'zeit', 'echt', 'label', 'richtig', 'letzter', 'party', 'geld', 'kaufen', 'super', 'merken', 'großstadt', 'spaß', 'türlich', 'produzieren', 'partys', 'moment', 'dj', 'geil', 'bock', 'freund', 'bar', 'wahnsinnig', 'laden', 'woche', 'album', 'relativ', 'phase', 'ätzend', 'grund', 'richtung', 'elektronisch', 'hören', 'routine', 'job', 'euro', 'lustig', 'abend', 'live', 'platt', 'grunde', 'gefühl', 'bla', 'djs', 'techno', 'plattenlade', 'erfolgreich']

52 ['otto', 'ratte', 'eichhörnchen', 'martin', 'osnabrück', 'spatz', 'mittlerweile', 'specht', 'drucker', 'starkstrom', 'busch', 'saus', 'unwahrscheinlich', 'luther', 'garten', 'tier', 'jochen', 'braus', 'vögel', 'kragh', 'beobachten', 'ecke', 'penne', 'computer', 'fledermäuse', 'viert', 'ulrich', 'rehe', 'fotografieren', 'normalverbraucher', 'kompliment', 'krähe', 'irrtum', 'trude', 'hausmann', 'ornithologisch', 'auskennen', 'krähen', 'bestens', 'ast', 'erfreut', 'klose', 'handbuch', 'sausen', 'erdnüsse', 'tiegel', 'orientierungsstufe', 'nüsse', 'ballade', 'walnüsse']

53 ['fabrik', 'maschine', 'arbeit', 'werk', 'meister', 'herstellen', 'betrieb', 'hand', 'arbeiter', 'schicht', 'bauen', 'tag', 'halle', 'drehen', 'stunde', 'abteilung', 'metall', 'eisen', 'ingenieur', 'produktion', 'kran', 'art', 'anlage', 'material', 'schwer', 'verschieden', 'zeigen', 'vorarbeiter', 'form', 'werkzeug', 'arbeitsplatz', 'gerät', 'kennen', 'akkord', 'firma', 'einsetzen', 'pulver', 'gießerei', 'werkbank', 'presse', 'produzieren', 'bedienen', 'millimeter', 'lernen', 'ordnung', 'blech', 'dick', 'nachtschicht', 'werkstatt', 'riesig']

54 ['düsseldorf', 'duisburg', 'köln', 'aachen', 'essen', 'oberhausen', 'rhein', 'gehören', 'niederrhein', 'wesel', 'mülheim', 'wuppertal', 'ruhrgebiet', 'neuss', 'stadt', 'holland', 'rheinland', 'eifel', 'krefeld', 'düsseldorfer', 'hamborn', 'kennen', 'westfalen', 'schwer', 'lachen', 'rheinisch', 'kölner', 'aachener', 'kleve', 'meiderich', 'rüber', 'linker', 'xanten', 'grenze', 'ruhr', 'ruhrort', 'duisburger', 'mannesmann', 'mühlheim', 'moers', 'gebiet', 'beeck', 'bergisch', 'drittel', 'mittlerweile', 'holländisch', 'anschließend', 'rheinbrücke', 'rheinländer', 'eilendorf']

55 ['deutschland', 'entschädigung', 'geld', 'organisation', 'stiftung', 'bescheinigung', 'euro', 'häftling', 'ehemalig', 'rente', 'zahlen', 'helfen', 'zweiter', 'antrag', 'hilfe', 'dokument', 'arbeit', 'frage', 'schicken', 'rubel', 'anerkennen', 'summe', 'letzter', 'mensch', 'lager', 'opfer', 'auszahlen', 'krieg', 'archiv', 'minderjährig', 'kz', 'gesundheit', 'papier', 'deutsch', 'befreiung', 'spät', 'zwangsarbeiter', 'verheimlichen', 'deutsche', 'wiedergutmachung', 'treffen', 'wenden', 'meinung', 'ausfüllen', 'veteran', 'zwangsarbeit', 'einladen', 'gefangener', 'konzentrationslager', 'beantragen']

56 ['kpd', 'willi', 'spät', 'spd', 'fritz', 'herr', 'essen', 'richard', 'karl', 'heinz', 'franz', 'riegel', 'hermann', 'müller', 'hans', 'paul', 'walter', 'kollege', 'josef', 'schmidt', 'schneider', 'kommunist', 'chef', 'kennen', 'dr', 'wallram', 'doktor', 'ortsverwaltung', 'renner', 'peter', 'becker', 'frisch', 'herbert', 'heinrich', 'strauß', 'krupp', 'erich', 'blüggel', 'bevollmächtigter', 'tot', 'sozialdemokrat', 'berger', 'lüttich', 'emil', 'ludwig', 'werner', 'marshallplan', 'gehören', 'bevollmächtigt', 'nochmals']

57 ['zeit', '56', 'sterben', '65', 'spät', '68', 'letzter', '58', '70', '75', '62', '55', '63', '64', '57', '72', '61', '67', '54', '71', '74', '1960', '53', '80', 'gebären', '69', '73', '59', 'zweiter', '66', '76', 'anfang', 'richtig', '1970', '78', '50', '79', '52', 'übernehmen', 'schluss', '1961', 'rente', 'stimmen', '77', '1956', '1972', 'moment', 'rentner', '1958', '1980']

58 ['kommunist', 'kommunistisch', 'art', 'gruppe', 'widerstand', 'politisch', 'partei', 'hamburg', 'deutschland', 'versöhnler', 'hamburger', 'international', 'spanien', 'illegal', 'genosse', 'kpd', 'kontakt', 'antifaschistisch', 'spät', 'ddr', 'prieß', 'position', 'mitglied', 'organisation', 'absolut', 'kommissar', 'verhaften', 'heinz', 'rot', 'faschismus', 'bewegung', 'spanienkämpfer', 'sinn', 'jugendverband', 'nennen', 'biographie', 'brigade', 'antifaschiste', 'linie', 'komitee', 'chefredakteur', 'kopenhagen', 'konflikt', 'erklären', 'hilfe', 'frankreich', 'karl', 'solidarität', 'politik', 'emigration']

59 ['jude', 'mhmh', 'lager', 'sarajevo', 'jasenovac', 'zagreb', 'araber', 'ustascha', 'kroatien', 'libyen', 'fliehen', 'schauen', 'wahr', 'jugoslawien', 'bedeuten', 'italiener', 'shalom', 'belgrad', 'esel', 'serbe', 'problem', 'wussen', 'italienisch', 'gradika', 'ordnung', 'partisan', 'kroate', 'stara', 'hinrichten', 'tripolis', 'mostar', 'gruppe', 'flüchten', 'bosnien', 'sidi', 'jugoslawisch', 'grenze', 'gemeinsam', 'tito', 'schau', 'zurückgekommen', 'kroatisch', 'azaz', 'weggehen', 'kilometer', 'passen', 'partisane', 'unterschied', 'vermuten', 'ort']

60 ['spanien', 'spanisch', 'deutschland', 'portugal', 'spanier', 'italien', 'portugiesisch', 'griechenland', 'madrid', 'deutsch', 'barcelona', 'portugiese', 'indien', 'holland', 'griechisch', 'lissabon', 'franco', 'kolonie', 'land', 'ochtrup', 'ausländer', 'ladino', 'kahn', 'grieche', 'kennen', 'bürgerkrieg', 'grundschule', 'hotel', 'international', 'hauptsächlich', 'mallorca', 'david', 'reisen', 'condor', 'frankreich', 'legion', 'echt', 'inseln', 'holländisch', '74', 'südtirol', 'italienisch', '70', 'absolut', 'verrückt', 'angola', '72', 'italiener', 'held', 'diplomat']

61 ['herr', 'interessant', 'buch', 'schicken', 'geschichte', 'zeigen', 'archiv', 'unterlage', 'liste', 'zeit', 'kennen', 'gerne', 'stimmen', 'bericht', 'nennen', 'zeitung', 'kopieren', 'kopie', 'sammeln', 'zweiter', 'frage', 'richtig', 'artikel', 'akte', 'blättern', 'aufgeschrieben', 'papier', 'bitten', 'schriftlich', 'unterschreiben', 'dokument', 'aufnehmen', 'text', 'erwähnen', 'melden', 'warten', 'gehören', 'hand', 'adresse', 'erfahren', 'bild', 'gespräch', 'vorlesen', 'erklären', 'herrn', 'interessiert', 'original', 'karte', 'letzter', 'zettel']

62 ['entlassen', 'buchenwald', 'lager', 'verurteilen', 'waldheim', 'entlassung', 'verhaften', 'weimar', 'herr', 'sachsenhause', 'politisch', 'ehemalig', 'ddr', 'berlin', '45', 'einsperren', 'westen', 'häftling', 'bautzen', 'cottbus', '1950', 'russe', 'haft', 'grund', 'sowjetisch', 'verhaftung', 'internieren', 'kz', 'deutsch', 'zuchthaus', 'nattke', 'westberlin', 'urteil', 'erfahren', 'russisch', '1945', 'mühlberg', 'gefangenschaft', 'entlassungsschein', 'wende', 'inhaftieren', '50', 'grunde', 'melden', 'haftzeit', 'sterben', 'gerhard', 'helmut', 'ketschendorf', 'herrn']

63 ['gott', 'beten', 'kirche', 'mensch', 'bibel', 'gläubig', 'religion', 'religiös', 'liebe', 'gebet', 'jesus', 'geist', 'heilig', 'welt', 'christlich', 'christ', 'erde', 'taufen', 'christus', 'herr', 'sünde', 'himmel', 'versammlung', 'helfen', 'reich', 'seele', 'gedanke', 'ikonen', 'gemeinde', 'gottes', 'sinn', 'predigen', 'lieben', 'gemeinschaft', 'herz', 'lernen', 'ändern', 'geschichte', 'nennen', 'studieren', 'böse', 'taufe', 'testament', 'zweifel', 'evangelium', 'christentum', 'lieb', 'volk', 'fromm', 'kennen']

64 ['stocken', 'brechen', 'lachen', 'herr', 'lüdenscheid', 'naturschutz', 'natur', 'lienenkämper', 'kennen', 'vögel', 'leise', 'schmidt', 'herrn', 'bd', 'leverkusen', 'rademach', 'zeit', 'grün', 'köln', 'wandern', 'heimat', 'vogelweln', 'räusperen', 'vogelwart', 'mittel', 'interessiert', 'wanderung', 'ehrenamtlich', 'westfälisch', 'erleben', 'station', 'helgoland', 'doktor', 'freuen', 'naturwissenschaftlich', 'witzig', 'gebiet', 'tier', 'akte', 'sgv', '65', 'kötter', 'bruch', 'freistellen', 'gladbach', 'mitt', 'verfügung', 'weise', 'hauptamtlich', 'beringen']

65 ['bonn', 'wettbewerb', 'schön', 'coburg', 'dritter', 'rheinland', 'reich', 'interessant', 'godesberg', 'koblenz', 'rhein', 'doktor', 'bonner', 'ministerium', 'auflösen', 'düren', 'gott', 'siegkreis', 'architekt', 'bamberg', 'städtisch', 'vortrag', 'köln', 'eifel', 'siegburg', 'wunderbar', 'königswinter', 'referat', 'referendar', 'mitmachen', 'land', 'betreuen', 'marr', 'schluß', 'wirtschaftsministerium', 'minister', 'wechsel', 'verfügung', 'pension', 'landkreis', 'graf', 'hervorragend', 'siebengebirge', 'landschaftsverband', 'rheinsiegkreis', 'bad', 'hara', 'bundesregierung', 'beamter', 'kammer']

66 ['zahnarzt', 'zähne', 'zahn', 'apos', 'quot', 'ähmm', 'lager', 'norilsk', 'zähn', 'anna', 'kauen', 'buenos', 'deutschland', 'aires', 'konvoi', 'sonnenberg', 'leningrad', 'banane', 'angehen', 'prothese', 'berg', 'mund', 'zahnschmerzen', 'wellington', 'verbannung', 'reinhard', 'häftlingsstatus', 'gebiss', 'maria', 'krasnoje', 'zahnärztin', 'zementwerk', 'schritt', 'zahnärztlich', 'eskorte', 'politik', 'skorbut', 'behandlung', 'photo', 'süßstoff', 'ose', 'unterkiefer', 'selo', 'aberkennen', 'bupp', 'kaugummi', 'zone', 'mangel', 'baugrube', 'lazar']

67 ['schön', 'kind', 'zeit', 'zeche', 'woche', 'arbeit', 'sachten', 'kaputt', 'gott', 'rüber', 'gerne', 'geld', 'richtig', 'mutter', 'tot', 'morgens', 'verheiraten', 'kricht', 'zack', 'sögen', 'chef', 'schlecht', 'hand', 'vater', 'krieg', 'straße', 'haushalt', 'wohnen', 'hören', 'nachbar', 'letzter', 'vatter', 'pastor', 'schwer', 'abends', 'hingehen', 'bezahlen', 'karte', 'lieber', 'brücke', 'paderborn', 'zweiter', 'ehrlich', 'mer', 'ecke', 'stimmen', 'helfen', 'zwischendurch', 'hättn', 'haus']

68 ['leise', 'lachen', 'räusperen', 'hintergrund', 'undeutlich', 'betonen', 'husten', 'geräusch', 'flüstern', 'murmeln', 'äußerung', 'reden', 'blättern', 'stimme', 'stöhnen', 'schwer', 'verständlich', 'klappern', 'stockend', 'dömitz', 'atmen', 'gott', 'klopfen', 'typisch', 'kreischend', 'berühmt', 'diskutieren', 'miterleben', 'erfahrung', 'räusper', 'wuppertal', 'dialektal', 'furchtbar', 'ungeheuer', 'mädchen', 'luft', 'erstens', 'geschirr', 'wenns', 'bisl', 'stottern', 'vogelzwitscher', 'betrieb', 'nachdenklich', 'seufzt', 'selbstverständlich', 'mosel', 'tonaufnahme', 'kenn', 'knapp']

69 ['radio', 'fernsehen', 'hören', 'gehören', 'fernseher', 'nachricht', 'sendung', 'musik', 'zeitung', 'sender', 'erinnern', 'abends', 'rundfunk', 'kaufen', 'kassette', 'film', 'volksempfänger', 'medium', 'programm', 'westfernsehen', 'englisch', 'interessiert', 'abend', 'apparat', 'welt', 'interessant', 'propaganda', 'meldung', 'vater', 'geraten', 'gerne', 'zdf', 'lautsprecher', 'schwarz', 'bild', 'antenne', 'übertragen', 'westlich', 'bbc', 'aufnehmen', 'mode', 'werbung', 'rede', 'schalten', 'verbieten', 'london', 'informieren', 'mitbekommen', 'fernsehapparat', 'nachbar']

70 ['wasser', 'waschen', 'wäsche', 'sauber', 'toilette', 'baden', 'läuse', 'seife', 'tag', 'kalt', 'waschmaschine', 'heiß', 'eimer', 'warm', 'duschen', 'kochen', 'dusche', 'bett', 'trinken', 'zeit', 'wuschen', 'bad', 'brunnen', 'waschraum', 'woche', 'hand', 'erinnern', 'mussen', 'waschbecken', 'kessel', 'arbeit', 'trocknen', 'schüssel', 'kleidung', 'wanne', 'banja', 'dreckig', 'essen', 'wanzen', 'fließend', 'waschküch', 'badewanne', 'raum', 'winter', 'decke', 'spülen', 'aufhängen', 'sommer', 'reinigen', 'wäscherei']

71 ['punk', 'hof', 'düsseldorf', 'straße', 'richtig', 'kennen', 'spät', 'rating', 'zeit', 'konzert', 'ratinger', 'musik', 'laden', 'gehören', 'szene', '79', '78', 'anfang', '80er', 'mettmann', '81', 'treffen', 'hören', 'relativ', '80', '70er', 'echt', 'rocker', 'lustig', 'altstadt', 'platte', 'normal', 'düsseldorfer', 'sommer', '77', '1980', 'dokie', 'lernen', 'mitte', 'super', 'london', 'typ', 'scheiße', 'wochenende', 'absolut', 'geil', 'rock', 'festival', 'cool', 'boah']

72 ['betrieb', 'maschine', 'lachen', 'betreiben', 'volkseigen', 'firma', 'produzieren', 'polar', 'rabenstein', 'chef', 'drüben', 'gehören', 'handschuhe', 'privat', 'übernehmen', 'privatbetrieb', 'handschuh', 'produktion', 'staatlich', 'schmiedeberg', 'arbeiter', 'ddr', 'sohn', 'einsetzen', 'direktor', '45', 'karlmarxstadt', 'betriebsleiter', 'stricken', 'arbeitskraft', 'merkel', 'herstellen', 'normal', 'veb', 'ort', 'junghans', 'pretzsch', 'heimarbeit', 'technik', 'produktionsleiter', 'enorm', 'meister', 'bgl', 'kraft', 'werk', 'kombinat', 'rat', 'ware', 'volkseig', '50er']

73 ['bayer', 'leverkusen', 'aufsatz', 'van', 'gutachten', 'nest', 'vögel', 'werk', 'distel', 'gutachter', 'köster', 'elster', 'bethel', 'helmer', 'männchen', 'brüten', 'unbekannt', 'mäuse', 'nester', 'schulte', 'pawlik', 'dr', 'gollomb', 'vogel', 'fliegen', 'hochinteressant', 'kleen', 'hennig', 'adlerstein', 'bunt', 'biala', 'weibchen', 'mitgehen', 'begutachten', 'pott', 'feldscheune', 'asselt', 'eier', 'ehemann', 'beschäftigen', 'hajo', 'hindern', 'funke', 'schöffe', 'kaufleut', 'metrologie', 'kabarett', 'wangerooge', 'normung', 'möllenbeck']

74 ['krise', 'passieren', 'bundeswehr', 'problem', 'richtig', 'funktionieren', 'normal', 'bedrohung', 'erleben', 'bedrohlich', 'prinzip', 'impfen', 'gedanke', 'umgehen', 'relativ', 'tschernobyl', 'betreffen', 'treffen', 'schaffen', 'system', 'prozent', 'afghanistan', 'china', 'merkel', 'situation', 'bereich', '2008', 'bedrohen', 'überlegen', 'versuchen', 'sprich', 'feststellen', 'corona', 'gesellschaftlich', 'pandemie', 'nato', 'auswirkung', 'angst', 'erkennen', 'sögen', 'privat', 'hoffen', 'sogenannter', 'wenns', 'usa', 'erwähnen', 'tod', 'schweiz', 'durchziehen', 'extrem']

75 ['bitterfeld', 'werk', 'wolf', 'filmfabrik', 'betrieb', 'kombinat', 'sowjetisch', 'halle', 'lachen', 'dessau', 'wolfen', 'mensch', 'farbenfabrik', 'chemiekombinat', 'meister', 'garnicht', 'drüben', 'sandersdorf', 'grunde', 'jeßnitz', 'mulde', 'tätigkeit', 'sogenannter', 'ckb', 'kraftwerk', 'tag', 'delitzsch', 'damalig', 'leipzig', 'berufsausbildung', 'jut', 'kulturhaus', 'werktätig', 'funktionär', 'richtung', 'unmittelbar', 'labor', 'bgl', 'generaldirektor', 'gespräch', 'bitterfelder', 'holzweißig', 'jugendlich', 'film', 'nord', 'zentral', 'jawoll', 'buna', 'arbeit', 'gerhard']

76 ['wald', 'baum', 'förster', 'fläche', 'natur', 'schön', 'jagd', 'jäger', 'pflanze', 'bäume', 'gebiet', 'pflanzen', 'wachsen', 'hektar', 'landschaft', 'bauer', 'wild', 'grün', 'meter', 'moor', 'wälder', 'tier', 'schützen', 'mensch', 'holz', 'hecke', 'forstamt', 'wiese', 'fällen', 'jagen', 'wasser', 'naturschutz', 'pflegen', 'hase', 'kiefer', 'gehören', 'schießen', 'begriff', 'schlagen', 'eiche', 'revier', 'schmetterling', 'schutz', 'landwirte', 'dicht', 'wunderschön', 'naturschutzgebiet', 'boden', 'landwirtschaft', 'bäum']

77 ['flucht', 'danzig', 'stettin', 'waisenhaus', 'bauernhof', 'pommern', 'schneidemühl', 'schlimm', 'heinz', 'ostfriesland', 'schleswig', 'holstein', 'woche', 'werner', '2t', 'limburg', '2ter', 'abgeben', 'erlangen', 'schluß', 'hoffmann', 'heim', 'flüchten', 'bromberg', '35', 'heimat', 'hagen', 'annehmen', 'kreis', 'flüchtling', 'remscheid', 'schwerin', 'fred', 'richard', 'cuxhaven', 'nazi', 'pflegeelter', 'nonne', 'augenblick', 'greifswald', 'birke', 'luxemburg', 'rudi', 'ausmachen', 'blankenburg', 'oberfrohna', 'kindheit', 'brose', 'dachdecker', 'vermuten']

78 ['haus', 'bauen', 'straße', 'wohnen', 'schön', 'garten', 'stadt', 'gebäude', 'grundstück', 'gehören', 'hof', 'platz', 'richtig', 'spät', 'kennen', 'ecke', 'abreißen', 'kaufen', 'park', 'häuschen', 'nachbar', 'verkaufen', 'zeit', 'gewohnen', 'gelände', 'siedlung', 'aufbauen', 'gegend', 'fenster', 'schloss', 'nachbarschaft', 'wunderschön', 'auto', 'villa', 'krieg', 'dach', 'wohnung', 'nähe', 'wunderbar', 'grün', 'bau', 'umbauen', 'anfang', 'hütte', 'mauer', 'garage', 'ausbauen', 'wald', 'architekt', 'führen']

79 ['gericht', 'colonia', 'deutsch', 'prozess', 'richter', 'urteil', 'chilenisch', 'chile', 'dignidad', 'verfahren', 'anwalt', 'deutschland', 'diktatur', 'rechtsanwalt', 'staatsanwalt', 'verurteilen', 'staat', 'zeuge', 'opfer', 'justiz', 'aussagen', 'kolonie', 'staatsanwaltschaft', 'aussage', 'landgericht', 'colono', 'dina', 'sekt', 'verhandlung', 'juristisch', 'amt', 'foltern', 'verbrechen', 'spät', 'gefangener', 'politisch', 'amnesty', 'prozesse', 'täter', 'auswärtig', 'botschaft', 'zeugen', 'missbrauch', 'vertreten', 'führen', 'passieren', 'reden', 'folter', 'mord', 'pinochet']

80 ['betriebsrat', 'gewerkschaft', 'betrieb', 'kollege', 'gewerkschaftlich', 'firma', 'streik', 'wählen', 'belegschaft', 'ig', 'angestellter', 'arbeitgeber', 'arbeitsplatz', 'aeg', 'metall', 'frage', 'zeit', 'betriebsverfassungsgesetz', 'essen', 'betreiben', 'mitbestimmung', 'arbeitnehmer', 'schwierigkeit', 'mitglied', 'organisieren', 'arbeiter', 'gesetz', 'aufsichtsrat', 'vorsitzend', 'arbeitsfront', 'herr', 'vertreten', 'politisch', 'damalig', 'betriebsversammlung', 'arbeit', 'betriebsratsvorsitzender', 'christlich', 'gestreikt', 'betrieblich', 'freistellen', 'geschäftsleitung', 'einstellen', 'aufgabe', 'betriebsratsvorsitzend', 'unternehmer', 'forderung', 'betriebsräte', 'mitmachen', 'lohn']

