0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']
9 ['geld', 'verdienen', 'bezahlen', 'kaufen', 'zeit', 'pfennig', 'kosten', 'arbeit', 'sparen', 'tag', 'schön', 'schlecht', 'arm', 'teuer', 'billig', 'schwer', 'leisten', 'essen', 'woche', 'taschengeld', '50', 'kind', 'stunde', 'krieg', 'finanziell', 'lachen', 'ausgeben', 'unterstützen', 'abgeben', 'helfen', '25', 'miete', 'anfang', '40', 'reichen', 'zufrieden', 'haushalt', 'eltern', 'froh', 'reich', 'anschaffen', 'schaffen', 'preis', 'fest', 'zahlen', 'fangen', 'richtig', 'urlaub', '80', 'sorgen']

10 ['frauenstraße', 'münster', 'haus', 'politisch', '24', 'kneipe', 'wohnen', 'aktion', 'student', 'asta', 'erinnern', 'auseinandersetzung', 'etage', 'besetzung', 'gerd', 'zeit', 'makler', 'stadt', 'flugblätter', 'frauenstr', 'hans', 'besetzen', 'kontakt', 'wg', 'dkp', 'anfang', 'unterstützen', 'plakat', 'uni', 'leg', 'stürmer', 'wohngemeinschaft', 'gruppe', 'idee', 'linker', 'geschichte', 'stattfinden', 'organisieren', 'grunde', 'münsteraner', 'veranstaltung', 'mitbekommen', 'rolle', 'wohnungsnot', 'wohnraum', 'ernst', 'hausbesetzung', 'einziehen', 'besetzt', 'politik']

11 ['göttingen', 'frieden', 'benzin', 'marie', 'gleichberechtigung', 'landrat', 'gelsenberg', 'igfarben', 'uerding', 'neugierig', 'moral', 'flugzeug', 'einsetzen', 'friede', 'unsinnig', 'bedenken', 'ag', 'katalysator', 'glaubwürdig', 'moralisch', 'bestreben', 'liefern', 'mitgekommen', 'kaiserstraße', 'aufschlagzünder', 'bleifreies', 'zange', 'eisern', 'jeep', 'gleichstellung', 'industriehof', 'alu', 'sogenannter', 'undeutlich', 'psychologin', 'vererbung', 'bekanntgeben', 'krajowa', 'ddrgeschichte', 'mitgefahren', 'bünde', 'verderb', 'oschatz', '100ig', 'weggelaufen', 'radtour', 'vorbildern', 'fressen', 'heißluft', 'bürge']

12 ['wohnung', 'haus', 'wohnen', 'zimmer', 'gewohnen', 'straße', 'familie', 'bauen', 'eltern', 'schön', 'kind', 'gehören', 'nachbar', 'einziehen', 'zeit', 'garten', 'umziehen', 'stadt', 'kaufen', 'tochter', 'kennen', 'nähe', 'gewohnt', 'sohn', 'siedlung', 'platz', 'viertel', 'miete', 'häuschen', 'anfang', 'verkaufen', 'mieten', 'etage', 'möbel', 'freund', 'zweiter', 'grundstück', 'ausziehen', 'vermieten', 'wohnn', 'gegend', 'hof', 'nett', 'mieter', 'ausgezogen', 'stadtteil', 'einrichten', 'heiraten', 'bad', 'ecke']

13 ['philipp', 'brühl', 'medebach', 'wahrnehmen', 'felix', 'pyramide', 'dritter', 'ineinander', 'ganzheitlich', 'ägypten', 'philip', 'nummer', 'strahlend', 'thilo', 'yoga', 'muster', 'meditation', 'biographie', 'scheinehe', 'motor', 'söhne', 'rückmeldung', 'grundlos', 'meditieren', 'bewußt', 'fröhlich', 'durchführen', 'kreativ', 'dicht', 'zurechtlegen', 'zustande', 'phillip', 'weißenfels', 'umfangreich', 'innsbruck', 'meßdiener', 'bandelstraße', 'hell', 'bereit', 'eigenartig', 'wanderung', 'zollitsch', 'mitteilen', 'selbstmordversuch', 'haushaltsplan', 'leberentzündung', 'korsett', 'vermeiden', 'scheinverheiratet', 'petschory']

