0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']

119 ['räusperen', 'wahr', 'jaipks', 'flüstern', 'stöhnen', 'dömitz', 'ahaipks', 'jawoll', 'stockend', 'leise', 'murmeln', 'klatschen', 'betonen', 'miksdorf', 'hmipks', 'geräusch', 'ipks', 'hotel', 'zone', 'leningrad', 'husten', 'verhalten', 'bützow', 'zugführer', 'dunkelheit', 'falkensee', 'stottern', 'blättern', 'moskau', 'rollbahn', 'hausfrauenbund', 'kultura', 'wilhelmstraße', 'unjefähr', 'neipks', 'hilversum', 'jokisch', 'kaliß', 'wiener', 'straße', 'stiefvater', 'krasnowadesk', 'roller', 'lindenburg', 'zeppelin', 'yorckstraße', 'kaffee', 'haller', 'zahlmeister', 'werth']

120 ['chile', 'wolfgang', 'schäfer', 'gronau', 'siegburg', 'hugo', 'schwester', 'heide', 'emmi', 'alfred', 'baar', 'müller', 'gruppe', 'willi', 'heinz', 'frank', 'hilde', 'deutschland', 'schaak', 'wagner', 'gemeinde', 'ewald', 'paul', 'haus', 'mission', 'irmgard', 'löffel', 'heim', 'horst', 'graz', 'inge', 'edith', 'österreich', 'fliegen', 'besuch', 'social', 'jugendheim', 'löschen', 'privat', 'schauen', 'krefeld', 'wochenende', 'gudrun', 'hermann', 'geschwister', 'kuhn', 'unfall', 'möglichkeit', 'cousine', 'flug']

121 ['aachen', 'drittel', 'aachener', 'eilendorf', 'sogenannter', 'mittlerweile', 'elf', 'luftwaffenhelfer', 'geschütze', 'windmühl', 'staatsdienst', 'überstellen', 'jecke', 'schrifttum', 'ortsteil', 'sprachlich', 'leibeigenschaft', 'trebbin', 'professor', 'luftwaffenhelferzeit', 'jülich', 'jecken', 'korotytsch', 'karpo', 'pension', 'teilnehmen', 'pantjeljej', 'lebus', 'eschweiler', '55', 'desjatin', 'philips', 'iwanowytsch', 'erfolgen', 'biosphärenreservate', 'vlatten', 'verfügung', 'maße', 'windmühle', 'nirmer', 'braunschweig', 'heimatverein', 'felser', 'vortragen', 'befassen', 'leo', 'staatlich', 'nizzaallee', 'abschaffen', 'jeck']

122 ['messe', 'stufe', 'ruck', 'zuck', 'federn', 'feder', 'rupfen', 'spat', 'füllhalter', 'huhn', 'menge', 'kunz', 'renger', 'treppenstufe', 'hinz', 'fritz', 'geheimrat', 'eigennutz', 'gesund', 'cha', 'füller', 'geilsheim', 'reparieren', 'leipziger', 'tierarzt', 'werkzeug', 'augsburg', 'absperrung', 'reservieren', 'kram', 'schleifen', 'kolben', 'beutel', 'verlegen', 'wasserwaage', 'verteilen', 'kruschtkoffer', 'verheiraten', 'schnute', 'warenhäuser', 'hochheben', 'entwerfen', 'schnur', 'reparatur', 'kuchen', 'ei', 'einmischen', 'schwupp', 'elfhundern', 'gemeinnutz']

123 ['schäfer', 'deutschland', 'kolonie', 'paul', 'chile', 'wussen', 'spät', 'kind', 'zeit', 'krankenhaus', 'herr', 'schmidt', 'santiago', 'gruppe', 'gemeinde', 'hartmut', 'schmidtke', 'hopp', 'mitbekommen', 'jungs', 'doktor', 'wagen', 'gehören', 'mücke', 'passieren', 'bulnes', 'botschaft', 'verstecken', 'mitkriegen', 'bibel', 'berg', 'parral', 'mädchen', 'schlimm', 'reden', 'seewald', 'zwischendurch', 'system', 'schaffen', 'schnellenkamp', 'versammlung', 'küche', 'horst', 'gerd', 'gerhard', 'ursel', 'saal', 'erfahren', 'ingrid', 'wahrheit']

124 ['pionier', 'jugendweihe', 'fdj', 'schule', 'klasse', 'mitmachen', 'politisch', 'halstuch', 'ddr', 'blau', 'organisation', 'freundschaft', 'konfirmation', 'sozialistisch', 'thälmann', 'veranstaltung', 'fdjler', 'sammeln', 'zuhause', 'rot', 'oberschule', 'ernst', 'pionierrepublik', 'pionieren', 'eos', 'wandzeitung', 'ferienlager', 'achten', 'erwachsen', 'zettel', 'jungpioniere', 'achter', 'nachmittage', 'hemd', 'zirkel', 'republik', 'jugend', 'nennen', 'pionierorganisation', 'kirchlich', 'bereit', 'stolz', 'deutschsowjetisch', 'fahnenappell', 'geschenke', 'delegieren', 'zehnter', 'pioniere', 'grund', 'teilnehmen']

125 ['hans', 'leningrad', 'stadt', 'anton', 'christoph', 'blockade', 'iwanowo', 'dino', 'ewgenija', 'alois', 'daschkowitschi', 'katja', 'schub', 'baku', 'wolkowysk', 'metrologie', 'nahrungsmittel', 'achim', 'böckler', 'julius', 'nikola', 'ortschaft', 'porosowo', 'briefkasten', 'wasja', 'galina', 'normung', 'tossja', 'aschhabad', 'zuvor', 'adamowna', 'prospekt', 'julian', 'dshalal', 'rosa', 'zentralasien', 'städtisch', 'station', 'petersburg', 'datscha', 'abad', 'udelnaja', 'schaffen', 'mobilmachung', 'wolodja', 'wojnow', 'zwölfer', 'weißrussisch', 'justitiar', 'mochowaja']

126 ['dorf', 'kyjiw', 'gebiet', 'kolchos', 'iwan', 'kiew', 'befinden', 'browary', 'kreis', 'burty', 'kolchose', 'kagarlyk', 'tetjana', 'tscherkassy', 'mädchen', 'dorfsowjet', '2005', 'solotonoscha', '1933', 'dorfrat', 'mykola', 'petro', 'wyhuriwschtschyna', 'vorsitzend', 'poltawa', 'bezirk', 'revolution', 'warja', 'bilden', 'herrn', 'ukraine', 'stepanowitsch', 'fluss', 'ehefrau', 'heim', 'hungersnot', 'stammen', 'smila', 'leiter', 'kiewer', 'vergessen', 'tereschtschenko', 'schewtschenko', 'km', 'iwanowna', 'zuhause', 'marija', 'schuldirektor', 'rotmistriwka', 'myhajlo']

127 ['verhaften', 'gefängnis', 'entlassen', 'tag', 'russe', 'offizier', 'verurteilen', 'russisch', 'verhören', 'wussen', 'einsperren', 'lager', 'spät', 'deutsch', 'werwolf', 'keller', 'wussten', 'verhaftung', 'sowjetisch', 'verhör', 'zelle', 'erfahren', 'vernehmung', 'unterschreiben', 'kennen', 'abholen', 'entlassung', 'gestapo', 'nennen', 'protokoll', 'gehören', 'dolmetscherin', 'vernehmen', 'woche', 'buchenwald', 'ehemalig', 'nkwd', 'frage', 'grund', 'zuchthaus', 'polizei', 'hören', 'freund', 'gruppe', 'cottbus', 'angeblich', 'melden', 'dolmetsch', 'bürgermeister', 'kommunist']

128 ['kind', 'eltern', 'familie', 'schule', 'erziehen', 'erziehung', 'vater', 'zeit', 'streng', 'kindheit', 'jugend', 'verhältnis', 'mutter', 'zuhause', 'frage', 'normal', 'schön', 'erwachsen', 'unterschied', 'erleben', 'spät', 'alter', 'generation', 'problem', 'elternhaus', 'selbstverständlich', 'welt', 'ändern', 'aufwachsen', 'gehören', 'jugendlich', 'merken', 'reden', 'prägen', 'mütter', 'erwachsene', 'gemeinsam', 'empfinden', 'wert', 'gerne', 'rolle', 'beziehung', 'bestimmen', 'mitkriegen', 'freiheit', 'fühlen', 'geschwister', 'autorität', 'freund', 'verbieten']

129 ['75', '68', '72', '76', '74', '70', '71', '78', '73', '69', '67', '1970', '77', 'letzter', '66', '1974', 'anfang', '80', '65', '1972', '1975', '1973', '79', '1969', '1968', '1980', '1971', 'zweiter', '64', '1976', '1978', 'mitte', 'mittlerweile', 'übernehmen', '1977', 'stimmen', '1967', 'sommer', '83', 'ausscheiden', 'rentner', 'herbst', '60er', '1960', 'schließen', '62', '70er', 'elf', 'gehören', 'anbieten']

130 ['bandzerrung', 'mensch', 'bentheim', 'parallel', 'herr', 'krupp', 'reden', 'draht', 'hannes', 'betriebsführer', 'abteilung', 'walzwerk', 'betrieb', 'ring', 'meister', 'bandfehler', 'bandsprung', 'karl', 'kollege', 'stange', 'straße', 'räusperen', 'altendorf', 'ringe', 'jupp', 'büro', 'mikrophon', 'drahtzieher', 'borbeck', 'beize', 'bewegen', 'hinzkowski', 'dünn', 'jüdisch', 'frohnhauser', 'drücken', 'drahtzieh', 'verdammen', 'geh', 'johann', 'passen', 'feierabend', 'gestapo', 'lowa', 'aufpassen', 'haspel', 'werkschutz', 'klappen', 'blech', 'brausen']

131 ['50', '52', '51', '49', '1950', '48', '53', '1951', '1952', '1949', '54', '55', '1948', 'anfang', '47', 'wittenberge', 'fangen', 'volkspolizei', 'heim', 'legebruch', 'weihnachten', '1954', 'falsch', 'kaiserslautern', 'frühjahr', 'vergessen', 'kaserniert', 'viertel', '195', 'gründung', 'ka', 'evtl', 'ersatz', 'zone', '1990', 'leisten', 'deutschlandtreffen', 'vormund', 'weltfestspiele', 'debatte', '56', '37', '5253', 'saargebiet', '1958', 'identisch', 'nachgucken', 'weltfestspielen', 'jupp', 'tusche']

132 ['ulrich', 'schmidt', 'elisabeth', 'michael', 'bärbel', 'tagesordnung', 'unbequem', 'partie', 'differenz', 'johannes', 'verstorben', 'ev', 'anton', 'ullrich', 'ursula', 'friedberg', 'ulli', 'pilatus', 'pontius', 'höherem', 'che', 'benennen', 'pension', 'spät', 'landmann', 'ulrichs', 'kerner', 'predigt', 'zurückkehren', 'nochn', 'totenfeier', 'föhse', 'cloppenburg', 'immich', 'bejahen', 'schmeißer', 'evamaria', 'uli', 'nachschlagen', 'bertelsmann', '6ter', 'erzsbet', 'transportunternehmen', 'elli', 'gag', 'recklinghausen', '50000', 'stickig', 'vorzeigen', 'strumpffabrik']

133 ['lager', 'deutsch', 'franzose', 'russe', 'deutsche', 'kriegsgefangen', 'polen', 'russisch', 'mensch', 'gefangener', 'arbeit', 'pole', 'ausländer', 'essen', 'behandeln', 'deutschland', 'schlecht', 'erinnern', 'italiener', 'verschieden', 'amerikaner', 'ukrainer', 'kriegsgefangener', 'krieg', 'arbeiter', 'belgier', 'gefangen', 'holländer', 'wussten', 'kriegsgefangenen', 'werk', 'zwangsarbeiter', 'brot', 'fremdarbeiter', 'kriegsgefangene', 'französisch', 'zivilist', 'tscheche', 'schicken', 'heimat', 'verbieten', 'sowjetisch', 'freiwillig', 'front', 'befreien', 'helfen', 'bauer', 'ukraine', 'polnisch', 'ukrain']

134 ['tag', 'woche', 'abholen', 'wussen', 'spät', 'eltern', 'warten', 'essen', 'zeit', 'koffer', 'melden', 'ankommen', 'packen', 'wohnen', 'wussten', 'glück', 'besuchen', 'zug', 'schicken', 'haus', 'unterwegs', 'hingehen', 'treffen', 'helfen', 'abend', 'schaffen', 'dauern', 'bescheid', 'letzter', 'schwester', 'post', 'adresse', 'aufnehmen', 'zimmer', 'zuhause', 'wohnung', 'abends', 'wusste', 'papier', 'stunde', 'kennen', 'erfahren', 'anfang', 'ort', 'nett', 'freundin', 'überlegen', 'versuchen', 'zurückkommen', 'hinkommen']

135 ['ort', 'bürgermeister', 'dorf', 'zwingen', 'grenze', 'worbis', 'gaststätte', 'drüben', 'sperrgebiet', '52', 'duderstadt', 'zeit', 'kreis', 'wohnen', 'nordhausen', 'erfurt', 'heiligenstadt', 'aussiedeln', 'gemeinde', 'gehören', 'westen', '61', 'bleicherode', 'lachen', 'aussiedlung', 'gastwirtschaft', 'landwirtschaft', 'zwangsaussiedlung', 'erinnern', 'polizei', 'aktion', 'hinkommen', 'polizist', 'letzter', 'mitmachen', 'genehmigung', 'eichsfeld', 'nachbarort', 'ecklingerode', 'weisen', 'melden', 'grenzgebiet', 'bauer', 'stasi', 'lpg', 'stöckey', 'familie', 'bockelnhag', 'dörfer', 'arbeit']

136 ['gebären', 'vater', 'mutter', 'eltern', 'schwester', 'jahrgang', 'bruder', 'kind', 'familie', 'krieg', 'sterben', 'erinnern', 'zeit', 'kindheit', 'spät', 'schule', 'heiraten', 'weltkrieg', 'aufwachsen', 'zweiter', 'geschwister', 'stammen', '24', '1930', '22', 'besuchen', 'brüder', '21', '27', '1925', '29', '1923', '1929', 'fangen', '1924', '1920', 'geburt', '1927', '25', '1919', 'erinnerung', 'kreis', '1928', '1937', '1926', 'wohnen', 'stadt', 'einziehen', 'volksschule', '1939']

137 ['zug', 'waggon', 'tag', 'bahnhof', 'essen', 'stadt', 'deutschland', 'unterwegs', 'mensch', 'ankommen', 'erinnern', 'wagen', 'transport', 'lager', 'transportieren', 'fahrt', 'ort', 'station', 'fuß', 'verladen', 'eisenbahn', 'treiben', 'trennen', 'richtung', 'offen', 'wussten', 'spät', 'deutsch', 'schicken', 'soldat', 'polen', 'tür', 'züge', 'warten', 'woche', 'platz', 'aussteigen', 'ausladen', 'brot', 'güterzug', 'ankamen', 'laden', 'einsteigen', 'wagon', 'grenze', 'fenster', 'russland', 'wasser', 'springen', 'gepäck']

138 ['amsterdam', 'jüdisch', 'vught', 'hengelo', 'sohn', 'nennen', 'krieg', 'haushaltshilfe', 'philips', 'hilversum', 'volk', 'schatz', 'anzeige', 'mitglied', 'het', 'werkspoor', 'anfertigen', 'holland', 'bridge', 'bussum', 'lutmastraat', 'cornelis', 'vrije', 'umziehen', 'philip', 'letzter', 'art', 'mieten', 'evertsenstraat', 'enschede', 'verkaufen', 'riouwstraat', 'nummer', 'schwiegertochter', 'anzeigenwerber', 'signaal', 'amersfoort', 'stadtblatt', 'mussen', 'boberick', 'entschuldigung', 'echt', 'sozialarbeit', 'schouwburg', 'van', 'fallen', 'weise', 'boden', 'saffierstraat', 'wunderschön']

139 ['bautzen', 'elend', 'görlitz', 'kelch', 'sorbisch', 'erträglich', 'straubing', 'bautze', 'frühstück', 'geradeaus', 'merseburg', 'volksmund', 'fördermittel', 'verhaften', 'oderberg', 'cafe', 'jeßnitz', '30er', 'untergrundgruppe', 'lebensstandard', 'lausitz', 'betonen', 'shomer', 'gipfeln', 'bewohner', 'frühstücken', 'frauenzentrum', 'zittau', 'bezirkskommandantur', 'tennenbaum', 'frauenfrühstück', 'wattejacke', 'spitzel', 'registrieren', 'kontaktfreudig', 'klicks', 'haften', 'gesundbrunn', 'erfunden', 'mährisch', 'fraueninitiative', 'auszahln', 'sicheln', 'rehau', 'landwehr', 'westgrenze', 'bereichernd', 'ostrau', 'rübenkraut', 'verschwommen']

140 ['masse', 'bösartig', 'klug', 'dienen', 'unsicherheit', 'schuld', 'abgetrennt', 'eindruck', 'vorurteil', 'schlag', 'verstricken', 'arrogant', 'improvisieren', 'akzent', 'löwenthal', 'begegnung', 'verantwortlich', 'notzeit', 'korn', 'kauf', 'wollsten', 'verschaffen', 'wirklichkeit', 'subversiv', 'tätigkeit', 'kittel', 'eingeprägt', 'schalten', 'schikanieren', 'eintritt', 'zukünftig', 'fäden', 'trese', 'verwirrung', 'wulka', 'joachim', 'pohl', 'gesprungen', 'würze', 'geburtenstark', 'opium', 'abgewartet', 'kaderali', 'aufziehen', 'missständ', 'hungerei', 'humoristisch', 'suhrkamp', 'pluralismus', 'verheizen']

141 ['bad', 'pyrmont', 'lachen', 'lübben', 'kur', 'hameln', 'kreuznach', 'berka', 'überlegen', 'homburg', 'godesberg', 'lauterbach', 'liebenstein', 'karte', 'elster', 'reichenhall', 'mergentheim', 'harz', 'feri', 'lauterberg', 'westen', 'hersfeld', 'hundertmark', 'kurort', 'zeichen', 'harzburg', 'lauchstädt', 'paderborn', 'hart', 'flugplatz', 'salzuflen', 'vorladen', 'lütjenburg', 'seinerzeit', 'wohnsitz', 'meinberg', 'nauheim', 'auszug', 'fein', 'abkürzung', 'bäder', 'wörishofen', 'eutin', 'postkarte', 'drieburg', 'lehrerbildungsanstalt', 'kissingen', 'assmann', 'driburg', 'verlagern']

142 ['lüneburg', '68', 'lorenz', 'erstaunlich', 'bruno', 'loben', 'pünktlich', '69', 'herkunft', 'studieren', 'humanistisch', '63', 'riemen', 'schmal', 'erwerben', 'feindschaft', 'bahn', 'verfassungsschutz', 'glück', 'rainer', 'marian', 'asg', 'konrad', 'bildungsforum', 'erich', 'klaus', 'vertrauensverhältnis', '67', 'abberufen', 'bruni', 'anger', 'zuträger', 'notwohnung', 'spruch', 'tamburin', 'aktivität', 'rhythmisch', 'kennkarte', 'dutschke', 'mühsam', 'posaunenchor', 'wesseling', 'kommandantur', 'siebelstraße', 'familienbildung', 'studentenunion', 'ursprung', 'multiplikator', 'einweisen', 'diskussion']

143 ['firma', 'unternehmen', 'bereich', 'selbständig', 'gründen', 'kunde', 'unternehmer', 'aufbauen', 'mitarbeiter', 'pleite', 'geschäftsführer', 'frage', 'wirtschaft', 'chef', 'markt', 'auftrag', 'mittelständisch', 'job', 'bauen', 'betrieb', 'bauunternehmer', 'branche', 'industrie', 'interessant', 'brüggemann', 'gewinn', 'herstellen', 'beteiligen', 'konkurs', 'verlust', 'bauwirtschaft', 'wirtschaftlich', 'gesellschafter', 'aufträge', 'umgehen', 'bank', 'konzertagentur', '1900', 'erfolgreich', 'angebot', 'normalerweise', 'beschäftigter', 'preis', 'industriell', 'produzieren', 'kündigen', 'vorstand', 'düsseldorf', 'partner', 'filiale']

144 ['professor', 'universität', 'student', 'institut', 'kollege', 'uni', 'fakultät', 'wissenschaftlich', 'promovieren', 'philosophie', 'vorlesung', 'deutsch', 'seminar', 'studium', 'herr', 'bonn', 'wissenschaft', 'studieren', 'promotion', 'spät', 'stelle', 'assistent', 'dissertation', 'lehrstuhl', 'forschung', 'mitarbeiter', 'dozent', 'hochschule', 'wissenschaftler', 'master', 'fach', 'bewerben', 'beworben', 'chef', 'habilitieren', 'akademie', 'kennen', 'stipendium', 'bachelor', 'doktor', 'akademisch', 'studierend', 'fernuniversität', 'fernuni', 'professur', 'hörsaal', 'bieten', 'anbieten', 'lehren', 'normal']

145 ['konstanz', 'bodensee', 'michael', 'hospital', 'relativ', 'verbringen', 'sven', 'brauerei', 'sigmaringen', 'schweiz', 'huntsman', 'aupair', 'dialog', 'forum', 'friedrichshafen', 'kleinstadt', 'ursprünglich', 'dankbar', 'prägung', 'schweizer', 'augusta', 'hohentwiel', 'jackson', 'gießerei', 'radolfzell', 'kreuzlingen', 'hallig', 'schwimmen', 'hirn', 'sigmaringe', 'tuttlingen', 'internationalisierung', 'lind', 'falkenberg', 'kowel', 'ulm', 'hooge', 'rita', 'blumentopf', 'auslandssemester', 'sturmflut', 'dementsprechend', 'studierende', '1975', 'gottmading', 'konfrontieren', 'heimkehrer', 'füllen', 'unglaublich', 'weltreise']

146 ['schwarz', 'auge', 'rot', 'blau', 'farbe', 'grün', 'brille', 'braun', 'gelb', 'streichen', 'schaf', 'grau', 'uniform', 'gesicht', 'aussehen', 'blick', 'gefahr', 'buchstabe', 'letzter', 'dunkel', 'schwarze', 'übernehmen', 'tuch', 'blind', 'star', 'himmel', 'malen', 'kreide', 'hellblau', 'augenarzt', 'auffallen', 'färben', 'hinstellen', 'pulver', 'armbinde', 'rechnen', 'weiße', 'tracht', 'nah', 'brillenträger', 'tropfen', 'aug', 'minus', 'flecke', 'pappe', 'flecken', 'dunkelbraun', 'glaukom', 'armbind', 'dunkelblau']

147 ['tanzen', 'tanz', 'musik', 'kennen', 'lernen', 'gerne', 'kino', 'kirmes', 'abends', 'jugend', 'abend', 'kapelle', 'tanzschule', 'freizeit', 'fest', 'tango', 'mädchen', 'feiern', 'club', 'ausgehen', 'sonntags', 'rock', 'walzer', 'lokal', 'komisch', 'roll', 'tänz', 'saal', 'verbieten', 'modern', 'wochenende', 'samstags', 'karneval', 'tanzsaal', 'hingehen', 'geld', 'auffordern', 'mitgehen', 'tanzfläche', 'jazz', 'veranstaltung', 'bein', 'ball', 'radio', 'verheiraten', 'tanzveranstaltung', 'tanzlokal', 'gasthof', 'caf', 'weiterentwickeln']

148 ['leder', 'schlittschuh', 'bauen', 'demag', 'arnold', 'schlittschuhe', 'einbruch', 'reuter', 'drehen', 'heimann', 'schuhsohle', 'riemen', '400', 'eisbahn', 'iwag', 'tschechien', 'augenhöhe', 'öffentlich', 'reck', 'dinger', 'schlittschuhlaufe', 'hell', 'zpo', 'klimmzüge', 'kruzifixe', 'kleinigkeit', 'rollschuh', 'verkehrsmittel', 'notiz', 'bonus', 'zweimal', 'fluktuation', 'absatz', 'quantität', 'siebtel', 'lederriem', '350', 'impfen', 'glatteis', 'leutnant', 'rieme', 'wettbewerber', 'verknüpfung', 'kinderarzt', 'schuhsohl', 'polio', 'fischtran', 'gerben', 'blumengärt', 'stöckche']

149 ['straße', 'erinnern', 'mutter', 'park', 'kiew', 'haus', 'ta', 'markt', 'deutsche', 'minen', 'deutsch', 'ljuda', 'gebäude', 'sprengen', 'nina', 'hauptsächlich', 'interessant', 'retten', 'befinden', 'petschersk', 'nummer', 'landsberg', 'krieg', 'mironowka', 'tante', 'ecke', 'grund', 'arsenal', '1941', 'spüren', 'weggefahren', 'zentrum', 'kreschtschatik', 'riesig', 'großmutter', 'buchstäblich', 'platz', 'schwarz', 'marganez', 'hotel', 'ukrainisch', 'tauchen', 'oje', 'razzia', 'verkünden', 'gasse', 'puschkin', 'institut', 'mine', 'treten']

150 ['vetter', 'herr', 'ralf', 'bachmann', 'schiller', 'durcheinander', 'corinna', 'werkstatt', 'kamenz', 'farm', 'anschaffen', 'rombow', 'burscheid', 'ziellos', 'gauleiter', 'holzeinschlag', 'katasteramt', 'wiese', '05', 'oplad', 'bademantel', 'hermsdorf', 'oskar', 'stammzelle', 'neffe', 'bussen', 'täuschen', 'überweisung', 'gastwirt', 'zenek', 'stadtführer', 'abdecker', 'sokrates', 'verwegen', 'straßenecke', 'fähig', 'grote', 'ralfi', 'radevormwald', 'greifswald', 'tapferkeit', 'wärst', 'würds', 'gefeit', 'embryonal', 'bestens', 'gewinn', 'männern', 'badeanzug', 'franz']

151 ['gruppe', 'alkohol', 'synanon', 'trinken', 'therapie', 'droge', 'nüchtern', 'trocken', 'alkoholiker', 'abstinenz', 'süchtig', 'jüdisch', 'abstinent', 'abhängig', 'freund', 'richtig', 'merken', 'problem', 'ziel', 'lernen', 'woche', 'ändern', 'saufen', 'phase', 'rückfall', 'reden', 'passieren', 'sinn', 'partnerschaft', 'angst', 'krankenhaus', 'trockenheit', 'rückfällig', 'rauchen', 'verändern', 'gesoffen', 'ehrlich', 'anonym', 'ausstieg', 'körperlich', 'einstellung', 'ansprechen', 'entzug', 'krise', 'zufrieden', 'bewusst', 'bewältigen', 'schritt', 'nüchternheit', 'stoff']

152 ['angst', 'wussen', 'wussten', 'passieren', 'erfahren', 'zeit', 'gehören', 'spät', 'tag', 'reden', 'wusste', 'hören', 'schlimm', 'kennen', 'richtig', 'erinnern', 'mensch', 'nachricht', 'gefühl', 'gott', 'versuchen', 'ahnung', 'merken', 'bescheid', 'verbieten', 'gefährlich', 'letzter', 'verlieren', 'fühlen', 'straße', 'erklären', 'zeigen', 'moment', 'verfolgen', 'anfang', 'mitkriegen', 'treffen', 'situation', 'schrecklich', 'bestimmen', 'geschichte', 'hingehen', 'trauen', 'furchtbar', 'freund', 'nähe', 'heimlich', 'spüren', 'nachbar', 'schaffen']

153 ['krieg', 'deutschland', 'armee', 'dorf', 'schicken', 'deutsche', 'stadt', 'gebiet', 'sterben', 'erinnern', 'mensch', 'kolchose', 'spät', 'front', 'zurückkehren', 'moskau', 'arbeit', 'mutter', '1941', 'verschleppen', 'dienen', 'kehren', 'ukraine', 'sibirien', 'befreien', 'einberufen', '1943', 'wohnen', 'kennen', 'charkow', 'geraten', 'fabrik', 'werk', '1945', 'helfen', 'sowjetisch', 'zeit', 'evakuieren', '1942', 'komsomol', 'deutsch', '1947', 'bruder', 'schule', 'truppe', 'iwan', 'kiew', 'station', 'gott', 'brest']

154 ['politisch', 'frage', 'richtig', 'meinung', 'zeit', 'versuchen', 'diskutieren', 'gehören', 'sinn', 'politik', 'gewiß', 'diskussion', 'rolle', 'spät', 'art', 'gespräch', 'grund', 'richtung', 'auseinandersetzung', 'problem', 'mensch', 'einstellung', 'unterschied', 'geschichte', 'weise', 'interessiert', 'führen', 'verhältnis', 'überzeugen', 'nennen', 'grunde', 'letzter', 'falsch', 'entwicklung', 'ändern', 'absolut', 'hart', 'linie', 'erklären', 'kennen', 'überlegen', 'kritisch', 'vertreten', 'form', 'echt', 'gruppe', 'unterschiedlich', 'merken', 'einfluss', 'ansicht']

155 ['naturschutz', 'doktor', 'herr', 'bezirksbeauftragt', 'düsseldorf', 'stelle', 'arnsberg', 'münster', 'ökologie', 'zimmermann', 'stimme', 'ministerium', 'aachen', 'kollege', 'regierung', 'spät', 'regierungspräsident', 'husten', 'bezirk', 'siedlungsverband', 'kötter', 'köln', 'lachen', 'land', 'ökologisch', 'landesanstalt', 'regierungsbezirk', 'ruhrkohlenbezirk', 'landesstelle', 'bezirksregierung', 'abteilung', 'heben', 'professor', 'fachlich', 'dinter', 'landschaftsverband', 'damalig', 'wissenschaftlich', 'förster', 'forstmann', 'tagung', 'behörde', 'vortrag', 'mitarbeiter', 'schutzgemeinschaft', 'bonn', 'übernehmen', 'räusperen', 'stocken', 'gutachten']

156 ['schule', 'klasse', 'lehrer', 'schüler', 'gymnasium', 'lernen', 'lehrerin', 'unterricht', 'grundschule', 'unterrichten', 'zehnter', 'schuljahr', 'fünfter', 'eltern', 'achter', 'vierter', 'oberschule', 'kind', 'schulzeit', 'erinnern', 'sechster', 'neunter', 'schlecht', 'spät', 'mathematik', 'geschichte', 'abitur', 'siebter', 'realschule', 'zweiter', 'hauptschule', 'fach', 'mathe', 'fächer', 'note', 'direktor', 'wechseln', 'physik', 'klassenlehrer', 'fallen', 'gerne', 'besuchen', 'schülerin', 'deutsch', 'richtig', 'dritter', 'wussen', 'mädchen', 'normal', 'fächern']

157 ['lebertran', 'markt', 'mehl', 'tauschen', 'übergeben', 'tausch', 'bewahren', 'worpswede', 'podest', 'yachten', 'widersprechen', 'veranlagung', 'hängengeblieben', 'langenfeld', 'grob', 'ortsgruppenleiter', 'reingeschoben', 'löwental', 'poltawa', 'drechseln', 'verhaften', 'zusammentragen', 'instinktiv', 'inventar', 'anführungsstrichen', 'gegenstandslos', 'veredeln', 'hugler', 'betonmischer', 'stellungnahme', 'fünfzig', 'leuchter', 'videorecord', 'öfen', 'edlb', 'werdegang', 'langenberg', 'fiebig', 'dax', 'mehlwürmer', 'nichtigkeit', 'verdrücken', 'ekel', 'gretel', 'weizen', 'gewürzbehälter', 'kaution', 'beackern', 'urlaubsbescheinigung', 'selbstgebastelt']

158 ['vermissen', 'gefällen', 'lüdenscheid', 'sieper', 'molkerei', 'deutschland', 'gelingen', 'sauerland', 'momentan', 'beantworten', 'brese', 'themenkomplex', 'wiedervereinigt', 'iserlohn', 'traumberuf', 'sauerländer', '1961', 'betreffen', 'beskow', 'akzent', 'lüdenscheider', 'sizilien', 'bund', 'stressig', 'lire', 'streß', 'sizilie', 'macke', 'schein', 'klima', 'bereitwillig', 'jederzeit', 'fiscina', 'unbeschwertheit', 'kaffeemaschine', 'zusammenfassung', 'gedenktafel', 'anschaffen', 'gesellschaftskritisch', 'doppel', 'hochstraße', 'überangebot', 'westkirch', 'brd', 'stürzen', 'abschlußfrage', 'schluß', 'zuckerbäcker', 'hansa', 'vereinigen']

